,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
0,2020-12-25,-23.3423100802915,-46.7458478802915,"('Partially cloudy', None)",3
1,2020-12-15,-23.5074552802915,-46.8687358802915,"('Clear', None)",8
2,2020-12-15,-23.5274237,-46.8640458,"('Partially cloudy', None)",13
3,2020-12-04,-23.5267139802915,-46.5778302802915,"('Overcast', None)",21
4,2020-12-02,-23.4382374802915,-46.4974011802915,"('Partially cloudy', None)",10
5,2020-11-24,-23.5274237,-46.8640458,"('Overcast', None)",4
6,2020-11-18,-23.4819396802915,-46.8778999802915,"('Overcast', None)",13
7,2020-10-18,-23.5512265,-46.4050742,"('Overcast', None)",23
8,2020-10-16,-23.6037953802915,-46.6531187802915,"('Overcast', None)",18
9,2020-10-14,-23.5060701,-46.5403355,"('Partially cloudy', None)",5
10,2020-10-12,-23.6676159802915,-46.7848145802915,"('Clear', None)",10
11,2020-09-30,-23.4086868802915,-46.4010941802915,"('Clear', None)",19
12,2020-09-21,-23.7763555802915,-46.60061088029149,"('Rain, Partially cloudy', 0.04)",15
13,2020-09-18,-23.4235123802915,-46.8514055802915,"('Partially cloudy', None)",21
14,2020-09-13,-23.6814815802915,-46.8981064802915,"('Clear', None)",0
15,2020-08-30,-23.7171890802915,-46.61287228029149,"('Overcast', None)",22
16,2020-08-30,-23.4072710802915,-47.0084434802915,"('Clear', None)",11
17,2020-07-30,-23.5668461802915,-46.03758038029149,"('Partially cloudy', None)",14
18,2020-07-29,-23.4085539802915,-46.4094979802915,"('Overcast', None)",21
19,2020-07-12,-23.6455562802915,-46.7360019802915,"('Clear', None)",2
20,2020-07-03,-23.3348387802915,-46.8376804802915,"('Partially cloudy', None)",22
21,2020-04-22,-23.593504,-46.4135172,"('Partially cloudy', None)",0
22,2020-03-17,-23.6347854,-46.7285093,"('Clear', None)",9
23,2020-03-01,-23.4724469802915,-46.60720798029149,"('Partially cloudy', None)",18
24,2020-01-13,-23.5120064802915,-46.34126248029149,"('Partially cloudy', None)",18
25,2020-01-10,-23.6657537802915,-46.44949968029151,"('Partially cloudy', None)",4
26,2020-01-01,-23.5707476802915,-46.3369383802915,"('Clear', None)",6
27,2019-12-11,-23.8173935,-46.7146132,"('Partially cloudy', None)",16
28,2019-12-07,-23.6798256802915,-46.55839178029149,"('Clear', None)",20
29,2019-12-01,-23.5538913802915,-46.8269669802915,"('Partially cloudy', None)",6
30,2019-11-17,-23.4746866802915,-46.34494368029149,"('Partially cloudy', None)",4
31,2019-11-09,-23.3788623,-46.8737409,"('Partially cloudy', None)",16
32,2019-11-09,-23.3788623,-46.8737409,"('Partially cloudy', None)",16
33,2019-10-31,-23.6336443,-46.7611498,"('Clear', None)",3
34,2019-10-25,-23.5951900802915,-46.8292981802915,"('Clear', None)",22
35,2019-09-15,-23.7713446802915,-46.47292228029149,"('Clear', None)",20
36,2019-09-14,-23.4624502802915,-46.3660242802915,"('Overcast', None)",4
37,2019-08-18,-23.6311908,-46.75448778029151,"('Clear', None)",8
38,2019-08-17,-23.6749229802915,-46.6154878802915,"('Clear', None)",18
39,2019-06-23,-23.5071557,-46.4909974,"('Clear', None)",15
40,2019-05-09,-23.5559252802915,-46.9127913802915,"('Partially cloudy', None)",17
