,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1361,2017-07-05,"-23,585973","-46,80858","('Clear', None)",18
1362,2017-07-04,"-23,602841","-46,600906","('Partially cloudy', None)",13
1363,2017-07-04,"-23,640304","-46,814227","('Partially cloudy', None)",4
1364,2017-07-03,"-23,359661371736426","-46,098326433679986","('Partially cloudy', None)",10
1365,2017-07-02,"-23,502812","-46,659841","('Partially cloudy', None)",18
1366,2017-07-02,"-23,612357","-46,487948","('Partially cloudy', None)",18
1367,2017-07-01,"-23,556624","-46,411118","('Partially cloudy', None)",7
1368,2017-07-01,"-23,558991","-46,74754","('Partially cloudy', None)",7
1369,2017-07-01,"-23,699216","-46,548962","('Clear', None)",2
1370,2017-07-01,"-23,690699","-46,590155","('Overcast', None)",6
1371,2017-07-01,"-23,321089","-46,225002","('Partially cloudy', None)",23
1372,2017-07-01,"-23,515776","-46,788185","('Partially cloudy', None)",18
1373,2017-06-30,"-23,521081","-46,641674","('Clear', None)",7
1374,2017-06-30,"-23,718664","-46,850475","('Clear', None)",5
1375,2017-06-29,"-23,595173","-46,744894","('Partially cloudy', None)",16
1376,2017-06-29,"-23,531449","-46,552435","('Clear', None)",12
1377,2017-06-28,"-23,640992","-46,522626","('Partially cloudy', None)",18
1378,2017-06-26,"-23,569368","-46,600999","('Partially cloudy', None)",8
1379,2017-06-25,"-23,497897","-46,442258","('Partially cloudy', None)",5
1380,2017-06-25,"-23,709825","-46,530577","('Partially cloudy', None)",19
1381,2017-06-25,"-23,472595","-46,423229","('Partially cloudy', None)",4
1382,2017-06-25,"-23,470175","-46,352233","('Partially cloudy', None)",8
1383,2017-06-25,"-23,494265","-46,180658","('Clear', None)",15
1384,2017-06-24,"-23,476525","-46,641001","('Partially cloudy', None)",22
1385,2017-06-24,"-23,668414","-46,784679","('Partially cloudy', None)",5
1386,2017-06-24,"-23,400223","-46,522826","('Partially cloudy', None)",22
1387,2017-06-23,"-23,523997","-46,387542","('Partially cloudy', None)",20
1388,2017-06-22,"-23,3136320656166","-46,7569955772035","('Partially cloudy', None)",15
1389,2017-06-20,"-23,667925","-46,732121","('Overcast', None)",21
1390,2017-06-20,"-23,541217","-46,278501","('Overcast', None)",20
1391,2017-06-18,"-23,719749","-46,765115","('Clear', None)",3
1392,2017-06-18,"-23,645612","-46,773314","('Clear', None)",22
1393,2017-06-18,"-23,556784","-46,739854","('Clear', None)",23
1394,2017-06-18,"-23,544146","-46,25665","('Clear', None)",18
1395,2017-06-17,"-23,4274733358571","-46,5534225077142","('Clear', None)",0
1396,2017-06-12,"-23,69582671629","-46,5197773495215","('Partially cloudy', None)",10
1397,2017-06-12,"-23,563303","-46,847244","('Clear', None)",1
1398,2017-06-11,"-23,619816032","-46,714146634","('Clear', None)",1
1399,2017-06-11,"-23,562855","-46,749635","('Clear', None)",8
1400,2017-06-11,"-23,507892","-46,431251","('Clear', None)",18
1401,2017-06-11,"-23,713045","-46,504522","('Clear', None)",1
