,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2181,2016-01-31,"-23,619105731","-46,382981183","('Clear', None)",1
2182,2016-01-29,"-23,511696","-46,488432","('Partially cloudy', None)",20
2183,2016-01-29,"-23,722873353","-46,549410189","('Overcast', None)",0
2184,2016-01-28,"-23,649668","-46,749221","('Partially cloudy', None)",1
2185,2016-01-25,"-23,45744","-46,684784","('Partially cloudy', None)",18
2186,2016-01-25,"-23,676025","-46,750133","('Clear', None)",2
2187,2016-01-25,"-23,406672","-46,8886868","('Clear', None)",2
2188,2016-01-24,"-23,722428","-46,785264","('Overcast', None)",7
2189,2016-01-24,"-23,459043","-46,52159","('Overcast', None)",4
2190,2016-01-22,"-23,546175932","-46,206309973","('Partially cloudy', None)",23
2191,2016-01-20,"-23,492482","-46,441658","('Overcast', None)",23
2192,2016-01-18,"-23,599299","-46,697483","('Overcast', None)",21
2193,2016-01-17,"-23,602857","-46,744526","('Partially cloudy', None)",3
2194,2016-01-17,"-23,721547","-46,627511","('Partially cloudy', None)",21
2195,2016-01-17,"-23,2350383303","-45,9163265483","('Partially cloudy', None)",17
2196,2016-01-16,"-23,66728","-46,732063","('Partially cloudy', None)",18
2197,2016-01-16,"-23,44885","-46,49539","('Partially cloudy', None)",0
2198,2016-01-15,"-23,462313","-46,674802","('Overcast', None)",18
2199,2016-01-14,"-23,611454","-46,425972","('Rain, Overcast', 0.55)",22
2200,2016-01-13,"-23,495103","-46,41028","('Partially cloudy', None)",5
2201,2016-01-13,"-23,619799","-46,714149","('Overcast', None)",7
2202,2016-01-13,"-23,660517","-46,767535","('Overcast', None)",22
2203,2016-01-13,"-23,39275","-46,835307","('Partially cloudy', None)",6
2204,2016-01-12,"-23,4202542","-46,6653746","('Overcast', None)",16
2205,2016-01-10,"-23,450686","-46,735324","('Overcast', None)",21
2206,2016-01-10,"-23,508520612","-46,687604841","('Rain, Partially cloudy', 0.02)",16
2207,2016-01-10,"-23,534747","-46,21812","('Partially cloudy', None)",13
2208,2016-01-10,"-23,344132801","-46,82911501","('Partially cloudy', None)",12
2209,2016-01-09,"-23,648549","-46,749164","('Clear', None)",3
2210,2016-01-09,"-23,707869","-46,560249","('Partially cloudy', None)",7
2211,2016-01-09,"-23,704397859","-46,8289581665","('Clear', None)",5
2212,2016-01-08,"-23,6399077","-46,8097479","('Clear', None)",4
2213,2016-01-07,"-23,573962","-46,475832","('Clear', None)",22
2214,2016-01-04,"-23,688536","-46,772539","('Partially cloudy', None)",14
2215,2016-01-04,"-23,611501","-46,504421","('Overcast', None)",20
2216,2016-01-04,"-23,6865761","-46,6941076","('Partially cloudy', None)",13
2217,2016-01-03,"-23,651507","-46,554609","('Overcast', None)",1
2218,2016-01-01,"-23,440995","-46,717318","('Partially cloudy', None)",8
2219,2016-01-01,"-23,708720391","-46,523401775","('Partially cloudy', None)",2
2220,2016-01-01,"-23,534868946","-46,975602383","('Partially cloudy', None)",3
2221,2016-01-01,"-23,5374778868","-46,9799072354","('Partially cloudy', None)",3
