,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1402,2017-06-11,"-23,750579","-46,777128","('Clear', None)",4
1403,2017-06-10,"-23,6866850895909","-46,4604477543987","('Clear', None)",20
1404,2017-06-10,"-23,438451","-46,422913","('Partially cloudy', None)",1
1405,2017-06-09,"-23,652432846","-46,681115801","('Partially cloudy', None)",7
1406,2017-06-08,"-23,491203","-46,469715","('Clear', None)",20
1407,2017-06-08,"-23,486496","-46,31475","('Clear', None)",19
1408,2017-06-07,"-23,67876","-46,77146","('Partially cloudy', None)",6
1409,2017-06-07,"-23,591634","-46,775018","('Clear', None)",23
1410,2017-06-06,"-23,611385","-46,70052","('Clear', None)",17
1411,2017-06-05,"-23,441271","-46,588243","('Clear', None)",2
1412,2017-06-05,"-23,590837","-46,531356","('Clear', None)",5
1413,2017-06-04,"-23,481593","-46,563902","('Partially cloudy', None)",0
1414,2017-06-04,"-23,727462701","-46,416529064","('Clear', None)",19
1415,2017-06-03,"-23,519805","-46,444089","('Partially cloudy', None)",7
1416,2017-06-03,"-23,5185427449578","-46,9404206748267","('Clear', None)",10
1417,2017-06-02,"-23,572877","-46,604314","('Partially cloudy', None)",0
1418,2017-06-02,"-23,518285","-46,742931","('Clear', None)",9
1419,2017-06-02,"-23,406472","-46,73504","('Partially cloudy', None)",3
1420,2017-06-02,"-23,449358","-46,420764","('Partially cloudy', None)",1
1421,2017-06-01,"-23,593716","-46,546758","('Partially cloudy', None)",22
1422,2017-06-01,"-23,4194778165109","-46,7427781240419","('Partially cloudy', None)",19
1423,2017-05-31,"-23,738692","-46,529724","('Partially cloudy', None)",0
1424,2017-05-30,"-23,6574053440952","-46,6337376299283","('Clear', None)",0
1425,2017-05-30,"-23,629459","-46,638916","('Partially cloudy', None)",6
1426,2017-05-28,"-23,653112723519417","-46,72134985838137","('Overcast', None)",7
1427,2017-05-28,"-23,577703","-46,458382","('Partially cloudy', None)",1
1428,2017-05-28,"-23,554580234","-46,5268930341111","('Clear', None)",19
1429,2017-05-28,"-23,673303","-46,422074","('Partially cloudy', None)",1
1430,2017-05-28,"-23,6723578089999","-46,581303211","('Partially cloudy', None)",2
1431,2017-05-28,"-23,632608","-46,542918","('Partially cloudy', None)",6
1432,2017-05-27,"-23,584907","-46,523789","('Partially cloudy', None)",19
1433,2017-05-27,"-23,682472","-46,61762","('Partially cloudy', None)",1
1434,2017-05-26,"-23,293967","-46,746783","('Partially cloudy', None)",6
1435,2017-05-25,"-23,820362684","-46,582268556","('Partially cloudy', None)",18
1436,2017-05-23,"-23,4233060299999","-46,726212042","('Clear', None)",16
1437,2017-05-23,"-23,524182","-46,927257","('Partially cloudy', None)",1
1438,2017-05-20,"-23,4265722267","-46,2803324269","('Partially cloudy', None)",18
1439,2017-05-19,"-23,539146779","-46,470784436","('Partially cloudy', None)",14
1440,2017-05-18,"-23,694975","-46,763486","('Overcast', None)",23
1441,2017-05-17,"-23,468260142","-46,6591100159999","('Partially cloudy', None)",19
1442,2017-05-17,"-23,3464654902316","-46,7477327800433","('Overcast', None)",9
