,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
3124,2017-06-17,"-23,654355","-46,596428","('Clear', None)",15
3125,2017-06-15,"-23,646894","-46,434496","('Partially cloudy', None)",21
3126,2017-06-08,"-23,534956","-46,353745","('Clear', None)",10
3127,2017-06-06,"-23,526035","-46,526142","('Partially cloudy', None)",19
3128,2017-05-31,"-23,638598","-46,695068","('Clear', None)",19
3129,2017-05-21,"-23,605022","-46,480519","('Partially cloudy', None)",1
3130,2017-05-20,"-23,6259799082542","-46,6452252427353","('Partially cloudy', None)",18
3131,2017-05-16,"-23,6554470740701","-46,6556780420702","('Partially cloudy', None)",16
3132,2017-05-15,"-23,581683","-46,453967","('Partially cloudy', None)",8
3133,2017-05-14,"-23,537062","-46,586692","('Partially cloudy', None)",19
3134,2017-05-13,"-23,597945","-46,759353","('Partially cloudy', None)",14
3135,2017-05-10,"-23,5608112387398","-46,4659110021253","('Partially cloudy', None)",19
3136,2017-05-07,"-23,62622","-46,649019","('Partially cloudy', None)",14
3137,2017-04-27,"-23,57443","-46,730261","('Partially cloudy', None)",12
3138,2017-04-27,"-23,515688598922","-46,6476933850958","('Overcast', None)",20
3139,2017-04-26,"-23,637566","-46,641693","('Overcast', None)",16
3140,2017-04-25,"-23,527757","-46,446155","('Clear', None)",10
3141,2017-04-22,"-23,523581","-46,819387","('Partially cloudy', None)",5
3142,2017-04-20,"-23,6708422729999","-46,8558781039999","('Clear', None)",22
3143,2017-04-13,"-23,539444","-46,228412","('Partially cloudy', None)",12
3144,2017-04-12,"-23,421636","-46,787058","('Partially cloudy', None)",19
3145,2017-04-12,"-23,495744","-46,377634","('Overcast', None)",14
3146,2017-04-05,"-23,693419","-46,821609","('Partially cloudy', None)",18
3147,2017-04-02,"-23,32124","-46,228592","('Partially cloudy', None)",21
3148,2017-03-28,"-23,457861","-46,530469","('Partially cloudy', None)",19
3149,2017-03-28,"-23,4296030448908","-46,8473154551486","('Partially cloudy', None)",18
3150,2017-03-26,"-23,706392","-46,599615","('Partially cloudy', None)",16
3151,2017-03-24,"-23,6882109290889","-46,5641039644819","('Partially cloudy', None)",19
3152,2017-03-23,"-23,746234","-46,707522","('Partially cloudy', None)",15
3153,2017-03-20,"-23,502488","-46,878533","('Partially cloudy', None)",15
3154,2017-03-16,"-23,6425826764839","-46,7381452169163","('Clear', None)",16
3155,2017-03-12,"-23,752724","-46,697034","('Partially cloudy', None)",18
3156,2017-03-11,"-23,6135417396684","-46,4557964963217","('Partially cloudy', None)",15
3157,2017-03-11,"-23,551544","-46,779069","('Partially cloudy', None)",19
3158,2017-03-10,"-23,576084","-46,664785","('Rain, Partially cloudy', 0.08)",21
3159,2017-03-10,"-23,691216","-46,557963","('Partially cloudy', None)",16
3160,2017-03-06,"-23,8155058619815","-46,7351503390098","('Partially cloudy', None)",13
3161,2017-03-02,"-23,541745","-46,415893","('Clear', None)",1
3162,2017-03-02,"-23,656455","-46,763097","('Partially cloudy', None)",16
3163,2017-02-27,"-23,469763","-46,52243","('Partially cloudy', None)",17
3164,2017-02-26,"-23,5918262115199","-46,5019300212","('Partially cloudy', None)",14
