,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
11,2020-12-18,"-23,520184243401008","-46,623988286461916",Partially cloudy,20
12,2020-12-16,"-23,5706038730833","-46,6451578113509",Partially cloudy,23
13,2020-12-15,"-23,723568855592834","-46,6817901",Partially cloudy,23
14,2020-12-14,"-23,48540795903779","-46,486434486509275",Clear,7
15,2020-12-14,"-23,66698207512908","-46,42861238468512",Partially cloudy,14
16,2020-12-12,"-23,6421005528744","-46,6742355069332",Overcast,0
17,2020-12-11,"-23,418102298841816","-46,37791152937248",Clear,9
18,2020-12-11,"-23,650802470635373","-46,8168426023568",Partially cloudy,6
19,2020-12-10,"-23,647420237056657","-46,582871638638245",Partially cloudy,4
20,2020-12-07,"-23,7226788756658","-46,6982042139851",Partially cloudy,23
21,2020-12-07,"-23,407240093456394","-47,00726578650608",Overcast,7
22,2020-12-05,"-23,657871114815116","-46,77215472333457",Overcast,22
23,2020-11-30,"-23,649956116144363","-46,592008658211235",Clear,2
24,2020-11-28,"-23,04586733500997","-45,58821860273697",Clear,8
25,2020-11-27,"-23,5586958501744","-46,7600997708379",Partially cloudy,23
26,2020-11-25,"-23,614062700005228","-46,724471817788675",Clear,10
27,2020-11-20,"-23,62224416632502","-46,45000509385428",Partially cloudy,22
28,2020-11-20,"-23,68544313693001","-46,59358100000547",Partially cloudy,15
29,2020-11-18,"-23,55931055369333","-46,134758061855756",Partially cloudy,5
30,2020-11-17,"-23,406444069252995","-46,73491924111718",Overcast,18
31,2020-11-16,"-23,5511469198674","-46,5277493699879",Partially cloudy,7
32,2020-11-16,"-23,495490051474537","-46,357499434036484",Partially cloudy,2
33,2020-11-13,"-23,455258","-46,693756",Partially cloudy,0
34,2020-11-11,"-23,499542","-46,188319",Partially cloudy,15
35,2020-11-11,"-23,579723","-46,794483",Partially cloudy,13
36,2020-11-09,"-23,619477979789792","-46,699985277372164",Clear,13
37,2020-11-08,"-23,550106844052","-46,4213781838229",Partially cloudy,8
38,2020-11-08,"-23,7036567868141","-46,700989389981",Clear,13
