,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2550,2015-06-28,"-23,6685974951","-46,6182911215","('Partially cloudy', None)",4
2551,2015-06-24,"-23,575068","-46,477145","('Rain, Overcast', 0.04)",15
2552,2015-06-24,"-23,526599","-46,740587","('Overcast', None)",18
2553,2015-06-24,"-23,665343","-46,517814","('Overcast', None)",18
2554,2015-06-24,"-23,66414677","-46,509528312","('Overcast', None)",12
2555,2015-06-24,"-23,6249314754","-46,8288456765","('Overcast', None)",17
2556,2015-06-23,"-23,482079087","-46,71778308","('Overcast', None)",23
2557,2015-06-23,"-23,573934","-46,504062","('Overcast', None)",17
2558,2015-06-23,"-23,523874","-46,600214","('Clear', None)",11
2559,2015-06-22,"-23,69411","-46,683313","('Clear', None)",6
2560,2015-06-21,"-23,759205","-46,664044","('Clear', None)",23
2561,2015-06-21,"-23,466284","-46,690614","('Clear', None)",13
2562,2015-06-21,"-23,5128400994","-46,5384195624","('Partially cloudy', None)",1
2563,2015-06-21,"-23,517581","-46,481166","('Partially cloudy', None)",0
2564,2015-06-21,"-23,303251077","-46,839609146","('Partially cloudy', None)",9
2565,2015-06-20,"-23,585511","-46,667804","('Partially cloudy', None)",8
2566,2015-06-20,"-23,613009","-46,468213","('Clear', None)",21
2567,2015-06-20,"-23,441750164","-46,353504901","('Partially cloudy', None)",6
2568,2015-06-19,"-23,417161","-46,455501","('Overcast', None)",22
2569,2015-06-19,"-23,510724018","-46,872864612","('Overcast', None)",18
2570,2015-06-18,"-23,550997","-46,624879","('Clear', None)",7
2571,2015-06-18,"-23,524074","-46,559791","('Clear', None)",6
2572,2015-06-16,"-23,566563","-46,743592","('Partially cloudy', None)",13
2573,2015-06-15,"-23,57632","-46,73153","('Clear', None)",1
2574,2015-06-15,"-23,529354","-46,586262","('Clear', None)",3
2575,2015-06-14,"-23,590868","-46,482749","('Clear', None)",19
2576,2015-06-14,"-23,525579","-46,771629","('Clear', None)",8
2577,2015-06-13,"-23,5805925346","-46,394248482","('Clear', None)",20
2578,2015-06-13,"-23,3368765207","-46,6628950443","('Clear', None)",20
2579,2015-06-13,"-23,4474006793","-46,4548902544","('Clear', None)",8
2580,2015-06-13,"-23,5466577824","-46,2056692457","('Partially cloudy', None)",7
2581,2015-06-11,"-23,70153","-46,634201","('Clear', None)",18
2582,2015-06-10,"-23,72484","-46,78583","('Clear', None)",22
2583,2015-06-10,"-23,515379","-46,672392","('Clear', None)",13
2584,2015-06-10,"-23,465217","-46,632147","('Clear', None)",1
2585,2015-06-10,"-23,646029","-46,754206","('Clear', None)",0
2586,2015-06-10,"-23,470411","-46,331759","('Clear', None)",11
2587,2015-06-09,"-23,5831868083","-46,7750740781","('Partially cloudy', None)",15
2588,2015-06-09,"-23,460864227","-46,352282721","('Clear', None)",18
2589,2015-06-08,"-23,5049478508","-46,872079757","('Clear', None)",8
2590,2015-06-08,"-23,601344","-46,766642","('Clear', None)",17
