,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1279,2017-08-29,"-23,779618","-46,714716","('Clear', None)",13
1280,2017-08-29,"-23,517597","-46,730281","('Partially cloudy', None)",1
1281,2017-08-29,"-23,40891","-46,305559","('Clear', None)",17
1282,2017-08-28,"-23,533014","-46,669196","('Clear', None)",15
1283,2017-08-28,"-23,716469","-46,534352","('Clear', None)",4
1284,2017-08-28,"-23,42991","-46,243931","('Clear', None)",12
1285,2017-08-27,"-23,5428266916192","-46,9637043019047","('Clear', None)",0
1286,2017-08-27,"-23,288228385","-46,865943074","('Clear', None)",8
1287,2017-08-26,"-23,521539","-46,625213","('Clear', None)",14
1288,2017-08-26,"-23,543326","-46,370912","('Clear', None)",6
1289,2017-08-24,"-23,507654","-46,848245","('Partially cloudy', None)",0
1290,2017-08-23,"-23,551307","-46,495995","('Overcast', None)",5
1291,2017-08-22,"-23,513812","-46,671879","('Overcast', None)",5
1292,2017-08-22,"-23,555492","-46,223747","('Overcast', None)",1
1293,2017-08-22,"-23,543963","-46,246453","('Partially cloudy', None)",13
1294,2017-08-21,"-23,70471","-46,433549","('Partially cloudy', None)",18
1295,2017-08-19,"-23,523205","-46,42798","('Partially cloudy', None)",1
1296,2017-08-19,"-23,662374","-46,470033","('Partially cloudy', None)",7
1297,2017-08-19,"-23,525128","-46,789689","('Partially cloudy', None)",14
1298,2017-08-17,"-23,7946790127197","-46,513305137796","('Partially cloudy', None)",19
1299,2017-08-17,"-23,530553","-46,774835","('Partially cloudy', None)",8
1300,2017-08-16,"-23,600547","-46,747725","('Partially cloudy', None)",13
1301,2017-08-16,"-23,533277","-46,772877","('Partially cloudy', None)",5
1302,2017-08-14,"-23,550202","-46,425724","('Clear', None)",0
1303,2017-08-14,"-23,544131","-46,25666","('Partially cloudy', None)",18
1304,2017-08-12,"-23,556518","-46,636361","('Overcast', None)",1
1305,2017-08-12,"-23,454506","-46,533488","('Partially cloudy', None)",4
1306,2017-08-10,"-23,523158","-46,612808","('Partially cloudy', None)",6
1307,2017-08-10,"-23,579402778","-46,808930556","('Partially cloudy', None)",17
1308,2017-08-09,"-23,509863917","-46,815188689","('Clear', None)",16
1309,2017-08-08,"-23,442765","-46,316302","('Clear', None)",20
1310,2017-08-08,"-23,6344002484405","-47,0552445297811","('Clear', None)",12
1311,2017-08-07,"-23,749348","-46,569359","('Clear', None)",14
1312,2017-08-07,"-23,7285883936679","-46,8458670043072","('Clear', None)",0
1313,2017-08-06,"-23,49055","-46,790881","('Partially cloudy', None)",13
1314,2017-08-05,"-23,530171","-46,594452","('Partially cloudy', None)",23
1315,2017-08-05,"-23,405103365","-46,828848124","('Partially cloudy', None)",5
1316,2017-08-03,"-23,473522676999","-46,29711252","('Partially cloudy', None)",23
1317,2017-08-02,"-23,522884","-46,63028","('Clear', None)",0
1318,2017-08-02,"-23,4102940673458","-46,5811875685819","('Clear', None)",1
1319,2017-08-01,"-23,480734","-46,737937","('Clear', None)",10
