,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
1730,2016-11-11,"-23,459177","-46,521564","('Clear', None)",6
1731,2016-11-09,"-23,790047109","-46,505971282","('Partially cloudy', None)",15
1732,2016-11-08,"-23,583796","-46,561734","('Clear', None)",21
1733,2016-11-08,"-23,578311","-46,499818","('Partially cloudy', None)",17
1734,2016-11-08,"-23,745807","-46,707396","('Clear', None)",18
1735,2016-11-08,"-23,603203","-46,443508","('Partially cloudy', None)",19
1736,2016-11-07,"-23,6841403196","-46,3717423471","('Clear', None)",21
1737,2016-11-06,"-23,479672","-46,611454","('Overcast', None)",6
1738,2016-11-06,"-23,744942","-46,796457","('Partially cloudy', None)",16
1739,2016-11-05,"-23,547998","-46,526049","('Partially cloudy', None)",9
1740,2016-11-03,"-23,550941641","-46,65975582","('Clear', None)",3
1741,2016-11-02,"-23,444467","-46,740291","('Partially cloudy', None)",15
1742,2016-10-30,"-23,7765329790817","-46,6595695361224","('Partially cloudy', None)",8
1743,2016-10-30,"-23,290424655","-46,734557292","('Partially cloudy', None)",3
1744,2016-10-29,"-23,697309","-46,633632","('Partially cloudy', None)",5
1745,2016-10-29,"-23,398743","-46,441807","('Partially cloudy', None)",20
1746,2016-10-29,"-23,492334","-46,84281","('Overcast', None)",23
1747,2016-10-28,"-23,50747","-46,666815","('Partially cloudy', None)",11
1748,2016-10-26,"-23,456856","-46,491546","('Partially cloudy', None)",6
1749,2016-10-25,"-23,6071985616","-46,7631583239","('Partially cloudy', None)",9
1750,2016-10-24,"-23,446409","-46,710122","('Overcast', None)",2
1751,2016-10-23,"-23,568268","-46,75756","('Overcast', None)",2
1752,2016-10-23,"-23,446332","-46,691456","('Partially cloudy', None)",14
1753,2016-10-23,"-23,6655136883","-46,6211241581","('Overcast', None)",0
1754,2016-10-22,"-23,6375604613","-46,8321672066","('Overcast', None)",5
1755,2016-10-21,"-23,6499646915","-46,5813802163","('Partially cloudy', None)",2
1756,2016-10-20,"-23,541886626","-46,634477461","('Partially cloudy', None)",18
1757,2016-10-20,"-23,9200116775","-46,8674640086","('Partially cloudy', None)",17
1758,2016-10-20,"-23,566496","-46,850953","('Overcast', None)",3
1759,2016-10-19,"-23,514224","-46,495287","('Clear', None)",8
1760,2016-10-19,"-23,685053922","-46,616604883","('Clear', None)",22
1761,2016-10-19,"-23,455751172","-46,490418016","('Clear', None)",1
1762,2016-10-19,"-23,5033928627918","-46,7888823178366","('Partially cloudy', None)",0
1763,2016-10-18,"-23,595075","-46,597618","('Overcast', None)",4
1764,2016-10-17,"-23,831685","-46,731033","('Overcast', None)",7
1765,2016-10-17,"-23,46336","-46,530821","('Overcast', None)",4
1766,2016-10-16,"-23,3716484572","-46,5560499337","('Partially cloudy', None)",14
1767,2016-10-16,"-23,508249","-46,626523","('Partially cloudy', None)",18
1768,2016-10-16,"-23,356515","-46,406388","('Clear', None)",19
1769,2016-10-16,"-23,494161","-46,794795","('Clear', None)",9
1770,2016-10-15,"-23,5677341479","-46,0573762776","('Partially cloudy', None)",16
