Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2020-11-05,"-23,612613072459055","-46,77887607028904",NUBLADO,17
2020-11-03,"-23,582905","-46,702741",NUBLADO,15
2020-11-03,"-23,656679","-46,506779",BOM,6
2020-11-02,"-23,599841893287387","-46,88231357497849",BOM,23
2020-11-01,"-23,486675703145725","-46,55949278381248",NUBLADO,17
2020-10-28,"-23,691581","-46,587131",BOM,18
2020-10-28,"-23,44309116907146","-46,44463413584089",BOM,12
2020-10-27,"-23,608811","-46,637951",BOM,19
2020-10-27,"-23,477128930919772","-46,52748343317096",NUBLADO,11
2020-10-26,"-23,4538","-46,675284",NUBLADO,3
2020-10-26,"-23,458365","-46,488871",BOM,17
2020-10-25,"-23,7325450477795","-46,697253565706",BOM,5
2020-10-25,"-23,703733731978453","-46,38271946224993",BOM,5
2020-10-25,"-23,566461","-46,850953",BOM,2
2020-10-24,"-23,388257","-46,712859",NUBLADO,22
2020-10-24,"-23,640588","-46,804807",BOM,23
2020-10-18,"-23,852192972","-46,841419357",NUBLADO,20
2020-10-17,"-23,34010700586835","-46,73849467636673",NUBLADO,5
2020-10-16,"-23,3999416099999","-46,399276922",NUBLADO,15
2020-10-15,"-23,569461","-46,547896",NUBLADO,6
2020-10-15,"-23,47034964531011","-46,894068301821065",NUBLADO,7
2020-10-14,"-23,5072935078528","-46,482846122852",BOM,3
2020-10-14,"-23,338905174851604","-46,7437990134228",NUBLADO,6
2020-10-13,"-23,499118","-46,351258",BOM,13
2020-10-12,"-23,52278458","-46,659077064",NUBLADO,2
2020-10-12,"-23,71969379026731","-46,557009256564214",NUBLADO,3
2020-10-12,"-23,506997606950733","-46,837929804587105",BOM,23
2020-10-11,"-23,595097","-46,486777",BOM,6
2020-10-10,"-23,62620998133874","-46,371328411605724",NUBLADO,10
2020-10-10,"-23,4228809839578","-46,8771364962445",BOM,16
2020-10-07,"-23,629285","-46,647897",NUBLADO,5
2020-10-05,"-23,755214","-46,712523",BOM,16
2020-10-05,"-23,68802880241155","-46,605568902170496",BOM,22
2020-10-04,"-23,405086","-46,407184",NUBLADO,19
2020-10-04,"-23,405081","-46,407181",NUBLADO,19
2020-10-04,"-23,461922","-46,38068",NUBLADO,4
2020-10-03,"-23,624638","-46,487766",BOM,2
2020-10-02,"-23,4550504492336","-46,6008140527821",BOM,21
2020-10-02,"-23,724699","-46,493643",BOM,21
2020-10-02,"-23,526754","-46,21507",BOM,7
2020-09-30,"-23,407688","-46,871046",NUBLADO,21
2020-09-30,"-23,408137","-46,852438",BOM,10
2020-09-28,"-23,525182","-46,60143",NUBLADO,17
2020-09-28,"-23,335007","-46,829226",BOM,19
2020-09-27,"-23,498252","-46,452668",BOM,4
2020-09-27,"-23,781599629352133","-46,91522329497038",BOM,12
2020-09-26,"-23,5191134","-46,9287594",BOM,1
2020-09-25,"-23,523548","-46,835292",BOM,1
2020-09-24,"-23,630513","-46,712867",BOM,12
2020-09-24,"-23,315639519882804","-46,823629967975734",NUBLADO,12
2020-09-23,"-23,6919244107523","-46,5262121893161",NUBLADO,4
2020-09-21,"-23,4699681072934","-46,6049624126422",NUBLADO,7
2020-09-21,"-23,660102","-47,006256",NUBLADO,5
2020-09-21,"-23,493396908663595","-46,812389624674445",NUBLADO,5
2020-09-20,"-23,6520304274786","-46,7909621081794",NUBLADO,15
2020-09-20,"-23,607355","-46,515163",NUBLADO,1
2020-09-20,"-23,636991","-46,779518",NUBLADO,1
2020-09-19,"-23,6300014024999","-46,5866764734999",BOM,1
2020-09-19,"-23,415073757867077","-46,804780433132684",NUBLADO,9
2020-09-19,"-23,61529544137163","-46,967788930989535",BOM,4
2020-09-18,"-23,65294","-46,687951",BOM,20
