,Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
829,2018-07-08,"-23,462262096102457","-46,491433951490066",Clear,1
830,2018-07-07,"-23,472917","-46,531543",Partially cloudy,6
831,2018-07-07,"-23,575752","-46,571116",Partially cloudy,7
832,2018-07-06,"-23,653874","-46,649372",Clear,22
833,2018-07-06,"-23,567477","-46,670023",Clear,17
834,2018-07-06,"-23,613179","-46,703618",Partially cloudy,23
835,2018-07-05,"-23,473620599999652","-46,492440600001025",Partially cloudy,6
836,2018-07-04,"-23,586469","-46,694565",Partially cloudy,23
837,2018-07-02,"-23,507902","-46,772354",Clear,0
838,2018-07-01,"-23,770908","-46,708882",Clear,13
839,2018-07-01,"-23,715071","-46,509882",Partially cloudy,2
840,2018-07-01,"-23,39776255653456","-46,71844152120796",Partially cloudy,18
841,2018-06-29,"-23,72028","-46,573531",Clear,23
842,2018-06-27,"-23,6563140502859","-46,7628285168211",Partially cloudy,18
843,2018-06-27,"-23,456108","-46,614323",Partially cloudy,17
844,2018-06-27,"-23,63785","-46,534338",Clear,2
845,2018-06-26,"-23,613148","-46,755237",Clear,8
846,2018-06-26,"-23,609678","-46,464215",Clear,23
847,2018-06-26,"-23,462262096102457","-46,491433951490066",Clear,7
848,2018-06-26,"-23,482251959203317","-46,525656215206126",Clear,20
849,2018-06-26,"-23,418102298841784","-46,377911529372376",Clear,18
850,2018-06-25,"-23,538596","-46,844859",Clear,14
851,2018-06-24,"-23,507278930238314","-45,88168655121649",Partially cloudy,14
852,2018-06-23,"-23,618857","-46,697703",Clear,23
853,2018-06-23,"-23,499778","-46,529487",Clear,6
854,2018-06-23,"-23,510388815768884","-46,820811748118615",Clear,5
855,2018-06-23,"-23,527235","-46,791751",Clear,2
856,2018-06-22,"-23,722604041834337","-46,889712280483124",Clear,20
857,2018-06-21,"-23,589888","-46,597969",Partially cloudy,14
858,2018-06-21,"-23,508","-46,535651",Clear,18
859,2018-06-20,"-23,44375","-46,538169",Clear,22
860,2018-06-19,"-23,760544","-46,586118",Partially cloudy,8
861,2018-06-17,"-23,580053","-46,741968",Overcast,18
862,2018-06-17,"-23,621877","-46,451243",Overcast,21
863,2018-06-16,"-23,57086589970297","-46,70105344753187",Overcast,2
864,2018-06-16,"-23,655254","-46,532159",Overcast,5
865,2018-06-15,"-23,755494","-46,712822",Overcast,10
866,2018-06-15,"-23,543631","-46,694447",Overcast,23
867,2018-06-14,"-23,656652","-46,654595",Overcast,21
868,2018-06-14,"-23,717578","-46,602291",Overcast,7
869,2018-06-14,"-23,605636","-46,914213",Overcast,23
