,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1450,188822,RUA SANTO EURILO,360,SAO PAULO,,,"RUA SANTO EURILO, 360, SAO PAULO","[-23.5554386302915, -46.7437402302915]"
1451,188884,Rodovia Hélio Smidt,2,GUARULHOS,,,"Rodovia Hélio Smidt, 2, GUARULHOS","[-23.4627889802915, -46.4920701802915]"
1452,189074,RUA VICENTE PIRES DOS SANTOS,804,TABOAO DA SERRA,,,"RUA VICENTE PIRES DOS SANTOS, 804, TABOAO DA SERRA","[-23.6329240802915, -46.8061252802915]"
1453,189153,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
1454,189207,RUA NOVA DO TUPAROQUERA,855,SAO PAULO,,,"RUA NOVA DO TUPAROQUERA, 855, SAO PAULO","[-23.6635989802915, -46.7392951802915]"
1455,189547,AVENIDA TIRADENTES,100,GUARULHOS,,,"AVENIDA TIRADENTES, 100, GUARULHOS","[-23.4736153802915, -46.5337299802915]"
1456,189575,AVENIDA JOAO DIAS,100,SAO PAULO,,,"AVENIDA JOAO DIAS, 100, SAO PAULO","[-23.6453355802915, -46.7036504802915]"
1457,189584,ACESSO DOUTOR ASSIS RIBEIRO,7750,SAO PAULO,,,"ACESSO DOUTOR ASSIS RIBEIRO, 7750, SAO PAULO","[-23.4997139802915, -46.5210269802915]"
1458,190241,RUA VEREADOR JOAO BATISTA FITIPALDI,1137,SUZANO,,,"RUA VEREADOR JOAO BATISTA FITIPALDI, 1137, SUZANO","[-23.5266574802915, -46.30571998029149]"
1459,190702,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,1,SAO BERNARDO DO CAMPO,,,"ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO, 1, SAO BERNARDO DO CAMPO","[-23.7255091802915, -46.5572602802915]"
1460,190897,ACESSO SEBASTIANA FELIX RIBEIRO,7,CAJAMAR,,,"ACESSO SEBASTIANA FELIX RIBEIRO, 7, CAJAMAR","[-23.3632739802915, -46.8718055802915]"
1461,191068,AVENIDA FERNANDO NOBRE,1332,COTIA,,,"AVENIDA FERNANDO NOBRE, 1332, COTIA","[-23.5851234802915, -46.88354078029151]"
1462,191194,ACESSO  M BOI MIRIM,4415,SAO PAULO,,,"ACESSO  M BOI MIRIM, 4415, SAO PAULO","[-23.6866538302915, -46.77124278029149]"
1463,191325,RUA DOUTOR DEODATO WERTHEIMER,0,MOGI DAS CRUZES,,,"RUA DOUTOR DEODATO WERTHEIMER, 0, MOGI DAS CRUZES","[-23.5261104802915, -46.19563918029149]"
1464,191337,AVENIDA VILA EMA,6143,SAO PAULO,,,"AVENIDA VILA EMA, 6143, SAO PAULO","[-23.5968803802915, -46.52594798029151]"
1465,191402,RUA ALVINOPOLIS,10,SAO PAULO,,,"RUA ALVINOPOLIS, 10, SAO PAULO","[-23.5348218802915, -46.5469898802915]"
1466,191782,AVENIDA ARICANDUVA,12000,SAO PAULO,,,"AVENIDA ARICANDUVA, 12000, SAO PAULO","[-23.5968396802915, -46.46750418029151]"
1467,191978,ACESSO AVENIDA JACUPESSEGO,100,SAO PAULO,,,"ACESSO AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
1468,192102,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,,,"AVENIDA CONDE DE FRONTIN, 10, SAO PAULO","[-23.5383987802915, -46.55935968029149]"
1469,192415,AVENIDA SAPOPEMBA,22000,SAO PAULO,,,"AVENIDA SAPOPEMBA, 22000, SAO PAULO","[-23.6208641802915, -46.44109548029151]"
1470,192416,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,100,OSASCO,,,"ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA, 100, OSASCO","[-23.5286264802915, -46.79318368029149]"
1471,192533,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO,,,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 100, SAO PAULO","[-23.6333669802915, -46.64819018029149]"
1472,192648,ACESSO TUNEL DOUTOR ARNALDO,10,SAO PAULO,,,"ACESSO TUNEL DOUTOR ARNALDO, 10, SAO PAULO","[-23.5572241802915, -46.66785128029149]"
