,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1350,172053,ACESSO ESQUERDO   IMIGRANTES,100,SAO PAULO,,,"ACESSO ESQUERDO   IMIGRANTES, 100, SAO PAULO","[-24.0082209, -46.825514]"
1351,172127,AVENIDA CONSELHEIRO CARRAO,2974,SAO PAULO,,,"AVENIDA CONSELHEIRO CARRAO, 2974, SAO PAULO","[-23.5521427802915, -46.5348163802915]"
1352,172355,AVENIDA RIO DAS PEDRAS,2919,SAO PAULO,,,"AVENIDA RIO DAS PEDRAS, 2919, SAO PAULO","[-23.5795014802915, -46.50425753029149]"
1353,172495,Rodovia dos Imigrantes,22,DIADEMA,,,"Rodovia dos Imigrantes, 22, DIADEMA","[-23.6528956802915, -46.6354700802915]"
1354,172916,RUA DOS COQUEIROS,0,SANTO ANDRE,,,"RUA DOS COQUEIROS, 0, SANTO ANDRE","[-23.6330355802915, -46.5468663802915]"
