,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1000,121338,RUA VALDOMIRO CAVAZANI,597,OSASCO,,,"RUA VALDOMIRO CAVAZANI, 597, OSASCO","[-23.4960073802915, -46.8087118802915]"
1001,121526,AVENIDA DEPUTADO EMILIO CARLOS,740,SAO PAULO,,,"AVENIDA DEPUTADO EMILIO CARLOS, 740, SAO PAULO","[-23.4997779802915, -46.6767109802915]"
1002,121530,ESTRADA DOS ALVARENGAS,53249,SAO BERNARDO DO CAMPO,,,"ESTRADA DOS ALVARENGAS, 53249, SAO BERNARDO DO CAMPO","[-23.7569838, -46.6319212]"
1003,121563,RUA NEPAL,800,SANTO ANDRE,,,"RUA NEPAL, 800, SANTO ANDRE","[-23.6409435802915, -46.49074588029151]"
1004,121612,AVENIDA MARGINAL DO RIO BAQUIRIVU,1000,GUARULHOS,,,"AVENIDA MARGINAL DO RIO BAQUIRIVU, 1000, GUARULHOS","[-23.4198243302915, -46.42586298029149]"
1005,121620,Rodovia Professor Alfredo Rolim de Moura,32.6,ARUJA,,,"Rodovia Professor Alfredo Rolim de Moura, 32.6, ARUJA","[-23.5609597802915, -46.13889528029149]"
1006,121761,AVENIDA INCONFIDENCIA MINEIRA,1737,SAO PAULO,,,"AVENIDA INCONFIDENCIA MINEIRA, 1737, SAO PAULO","[-23.5733922802915, -46.5126297302915]"
1007,121849,ESTRADA DE ITAPECERICA,1983,EMBU DAS ARTES,,,"ESTRADA DE ITAPECERICA, 1983, EMBU DAS ARTES","[-23.6668236802915, -46.8011240802915]"
1008,121948,AVENIDA DONA BELMIRA MARIN,4215,SAO PAULO,,,"AVENIDA DONA BELMIRA MARIN, 4215, SAO PAULO","[-23.7566039802915, -46.6778382802915]"
1009,122398,AVENIDA DOS BANDEIRANTES,5692,SAO PAULO,,,"AVENIDA DOS BANDEIRANTES, 5692, SAO PAULO","[-23.6284632802915, -46.65015848029149]"
1010,122454,AVENIDA ELISEU DE ALMEIDA,100,SAO PAULO,,,"AVENIDA ELISEU DE ALMEIDA, 100, SAO PAULO","[-23.5769552802915, -46.71375378029149]"
1011,122616,AVENIDA DOS BANDEIRANTES,5837,SAO PAULO,,,"AVENIDA DOS BANDEIRANTES, 5837, SAO PAULO","[-23.6296335802915, -46.64930148029149]"
1012,122636,ESTRADA DO MONTANHAO,6401,SAO BERNARDO DO CAMPO,,,"ESTRADA DO MONTANHAO, 6401, SAO BERNARDO DO CAMPO","[-23.7536320802915, -46.50605098029149]"
1013,123088,Rodovia Índio-Tibiriçá,2340,RIBEIRAO PIRES,,,"Rodovia Índio-Tibiriçá, 2340, RIBEIRAO PIRES","[-23.6811062802915, -46.3566533802915]"
1014,123353,Rodovia Edgard Máximo Zambotto,38,FRANCO DA ROCHA,,,"Rodovia Edgard Máximo Zambotto, 38, FRANCO DA ROCHA","[-23.2647885802915, -46.7944913802915]"
1015,123716,PRACA DA BANDEIRA,215,SAO PAULO,,,"PRACA DA BANDEIRA, 215, SAO PAULO","[-23.5501833802915, -46.6401073802915]"
