,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
194,33001,PROF ALFREDO ROLIM DE MOURA,0,BIRITIBA MIRIM,,,"PROF ALFREDO ROLIM DE MOURA, 0, BIRITIBA MIRIM","[-23.57140028029151, -46.0386503802915]"
195,33317,PONTE ENGENHEIRO ARY TORRES,100,SAO PAULO,,,"PONTE ENGENHEIRO ARY TORRES, 100, SAO PAULO","[-23.5975103802915, -46.69353348029149]"
196,33612,VIADUTO DONA IGNES COLINO,10,OSASCO,,,"VIADUTO DONA IGNES COLINO, 10, OSASCO","[-23.5308699802915, -46.7751712802915]"
197,33632,AVENIDA GUARAPIRANGA,2679,SAO PAULO,,,"AVENIDA GUARAPIRANGA, 2679, SAO PAULO","[-23.6741510802915, -46.7355129802915]"
198,33642,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO,,,"VIADUTO MINISTRO ALIOMAR BALEEIRO, 100, SAO PAULO","[-23.6306304802915, -46.6324127802915]"
199,33765,RUA NOVA DO TUPAROQUERA,185,SAO PAULO,,,"RUA NOVA DO TUPAROQUERA, 185, SAO PAULO","[-23.6600934802915, -46.7383540802915]"
200,34041,AVENIDA PIRES DO RIO,2616,SAO PAULO,,,"AVENIDA PIRES DO RIO, 2616, SAO PAULO","[-23.5214644802915, -46.44558078029151]"
201,34139,RUA MARECHAL DEODORO,1226,SAO BERNARDO DO CAMPO,,,"RUA MARECHAL DEODORO, 1226, SAO BERNARDO DO CAMPO","[-23.71034198029151, -46.5524272802915]"
202,34195,RUA ORATORIO,2447,SANTO ANDRE,,,"RUA ORATORIO, 2447, SANTO ANDRE","[-23.6335245802915, -46.5125177802915]"
203,34404,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1539,SAO PAULO,,,"AVENIDA DEPUTADO CANTIDIO SAMPAIO, 1539, SAO PAULO","[-23.4660782302915, -46.68124308029149]"
204,34406,AVENIDA DIREITOS HUMANOS,1192,SAO PAULO,,,"AVENIDA DIREITOS HUMANOS, 1192, SAO PAULO","[-23.4789754802915, -46.6444316802915]"
205,34664,Rodovia Régis Bittencourt,10,EMBU DAS ARTES,,,"Rodovia Régis Bittencourt, 10, EMBU DAS ARTES","[-23.6572079802915, -46.85138138029149]"
206,34688,RUA INACIO MONTEIRO,6014,SAO PAULO,,,"RUA INACIO MONTEIRO, 6014, SAO PAULO","[-23.5748404802915, -46.3950339802915]"
207,35243,AVENIDA ARICANDUVA,10,SAO PAULO,,,"AVENIDA ARICANDUVA, 10, SAO PAULO","[-23.5993108802915, -46.4697313802915]"
208,35516,AVENIDA JACU PESSEGO,8210,SAO PAULO,,,"AVENIDA JACU PESSEGO, 8210, SAO PAULO","[-23.5412189802915, -46.4516534802915]"
209,35692,RUA PILAR DO SUL,249,CARAPICUIBA,,,"RUA PILAR DO SUL, 249, CARAPICUIBA","[-23.53026013029151, -46.82548323029149]"
210,35743,AVENIDA BRIGADEIRO LUIS ANTONIO,3249,SAO PAULO,,,"AVENIDA BRIGADEIRO LUIS ANTONIO, 3249, SAO PAULO","[-23.5755972302915, -46.65677248029149]"
211,35806,AVENIDA MARECHAL CASTELO BRANCO,525,TABOAO DA SERRA,,,"AVENIDA MARECHAL CASTELO BRANCO, 525, TABOAO DA SERRA","[-23.6131335802915, -46.7945446802915]"
212,35857,ESTRADA DO MONTE NEGRO,2100,SANTA ISABEL,,,"ESTRADA DO MONTE NEGRO, 2100, SANTA ISABEL","[-23.3107602802915, -46.2096320802915]"
213,35876,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,100,SAO PAULO,,,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE, 100, SAO PAULO","[-23.5884239802915, -46.6663416802915]"
214,35919,TUNEL FERNANDOVIEIRA DE MELLO,100,SAO PAULO,,,"TUNEL FERNANDOVIEIRA DE MELLO, 100, SAO PAULO","[-23.5711329802915, -46.6898041802915]"
215,35952,AVENIDA ELISEU DE ALMEIDA,3309,SAO PAULO,,,"AVENIDA ELISEU DE ALMEIDA, 3309, SAO PAULO","[-23.5929348802915, -46.7401846802915]"
216,36201,AVENIDA VITAL BRASIL,1350,SAO PAULO,,,"AVENIDA VITAL BRASIL, 1350, SAO PAULO","[-23.5697035802915, -46.71743118029149]"
217,36226,Rodovia Anhieta,15,SAO BERNARDO DO CAMPO,,"-46,5766558774235","Rodovia Anhieta, 15, SAO BERNARDO DO CAMPO","[-23.7761700802915, -46.5311987802915]"
218,36336,AVENIDA NORDESTINA,977,SAO PAULO,,,"AVENIDA NORDESTINA, 977, SAO PAULO","[-23.5026433802915, -46.4412478802915]"
219,36438,RUA SAO BENTO,673,OSASCO,,,"RUA SAO BENTO, 673, OSASCO","[-23.5377216802915, -46.81777788029149]"
220,36999,AVENIDA GUILHERME,323,SAO PAULO,,,"AVENIDA GUILHERME, 323, SAO PAULO","[-23.5210213802915, -46.60815428029151]"
221,37204,AVENIDA MARECHAL TITO,6403,SAO PAULO,,,"AVENIDA MARECHAL TITO, 6403, SAO PAULO","[-23.4923551802915, -46.38812118029149]"
222,37217,AVENIDA DO ORATORIO,2022,SAO PAULO,,,"AVENIDA DO ORATORIO, 2022, SAO PAULO","[-23.5929580802915, -46.55097738029149]"
223,37242,RUA JOSE MANOEL DE ALMEIDA,10,VARGEM GRANDE PAULISTA,,,"RUA JOSE MANOEL DE ALMEIDA, 10, VARGEM GRANDE PAULISTA","[-23.6165550802915, -47.00550948029149]"
224,37350,RUA AFONSINA,0,SAO BERNARDO DO CAMPO,,,"RUA AFONSINA, 0, SAO BERNARDO DO CAMPO","[-23.6559474802915, -46.5701063802915]"
225,37527,VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO,100,SAO PAULO,,,"VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO, 100, SAO PAULO","[-23.5446589802915, -46.4117957802915]"
226,37804,AVENIDA CORONEL SEZEFREDO FAGUNDES,20980,SAO PAULO,,,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 20980, SAO PAULO","[-23.40434178029151, -46.5785021802915]"
227,37853,AVENIDA IPIRANGA,0,SAO PAULO,,,"AVENIDA IPIRANGA, 0, SAO PAULO","[-23.5436580802915, -46.6416157802915]"
228,37870,AVENIDA DO ORATORIO,2636,SAO PAULO,,,"AVENIDA DO ORATORIO, 2636, SAO PAULO","[-23.5948487802915, -46.5461618802915]"
229,37899,AVENIDA RIO DAS PEDRAS,219,SAO PAULO,,,"AVENIDA RIO DAS PEDRAS, 219, SAO PAULO","[-23.5612231802915, -46.5211843802915]"
