,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1950,265512,RUA DOUTOR JOSE AUGUSTO DE QUEIROZ,3113,SAO PAULO,,,"RUA DOUTOR JOSE AUGUSTO DE QUEIROZ, 3113, SAO PAULO","[-23.5870665, -46.6989093]"
1951,265538,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]"
1952,265753,RUA PASSOS,250,EMBU DAS ARTES,,,"RUA PASSOS, 250, EMBU DAS ARTES","[-23.6478184802915, -46.8023747802915]"
1953,265800,VIADUTO SAO CARLOS,10,SAO PAULO,,,"VIADUTO SAO CARLOS, 10, SAO PAULO","[-23.5684744802915, -46.60522038029149]"
1954,265889,VIADUTO RAPOSO TAVARES,12,SAO PAULO,,,"VIADUTO RAPOSO TAVARES, 12, SAO PAULO","[-23.5923721302915, -46.7998499302915]"
1955,265959,AVENIDA PAULO GUILGUER REIMBERG,2421,SAO PAULO,,,"AVENIDA PAULO GUILGUER REIMBERG, 2421, SAO PAULO","[-23.7773492802915, -46.6981773302915]"
1956,265972,AVENIDA GUARAPIRANGA,4671,SAO PAULO,,,"AVENIDA GUARAPIRANGA, 4671, SAO PAULO","[-23.7416618802915, -46.70472088029151]"
1957,266003,AVENIDA FERNANDO DE NORONHA,80,VARGEM GRANDE PAULISTA,,,"AVENIDA FERNANDO DE NORONHA, 80, VARGEM GRANDE PAULISTA","[-23.6156045802915, -47.0476274802915]"
1958,266008,AVENIDA ESCOLA POLITECNICA,2800,SAO PAULO,,,"AVENIDA ESCOLA POLITECNICA, 2800, SAO PAULO","[-23.5645655802915, -46.75269738029149]"
1959,266193,AVENIDA DOUTOR ALBERTO BENEDETE,149,SANTO ANDRE,,,"AVENIDA DOUTOR ALBERTO BENEDETE, 149, SANTO ANDRE","[-23.6678639802915, -46.5309181802915]"
1960,266207,CAMINHO PINHEIRINHO VELHO,2036,ITAQUAQUECETUBA,,,"CAMINHO PINHEIRINHO VELHO, 2036, ITAQUAQUECETUBA","[-23.4531593802915, -46.30628538029149]"
1961,266332,ACESSO ENGENHEIRO ORLANDO MURGEL,10,SAO PAULO,,,"ACESSO ENGENHEIRO ORLANDO MURGEL, 10, SAO PAULO","[-23.5261037802915, -46.6508557802915]"
1962,266513,RUA OSORIO DUQUE ESTRADA,10,OSASCO,,,"RUA OSORIO DUQUE ESTRADA, 10, OSASCO","[-23.54198438029151, -46.79661978029149]"
1963,266994,VALDIRIO PRISCO,86,RIBEIRAO PIRES,,,"VALDIRIO PRISCO, 86, RIBEIRAO PIRES","[-23.7100132302915, -46.4195686302915]"
1964,267040,RUA JOAO AMADO COUTINHO,649,SAO PAULO,,,"RUA JOAO AMADO COUTINHO, 649, SAO PAULO","[-23.4453310802915, -46.7153630802915]"
1965,267196,RUA DOMINGOS DE MORAIS,100,SAO PAULO,,,"RUA DOMINGOS DE MORAIS, 100, SAO PAULO","[-23.5795104802915, -46.6425306802915]"
1966,267383,AVENIDA JACUPESSEGO,100,SAO PAULO,,,"AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
1967,267440,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,,"AVENIDA DONA BELMIRA MARIN, 100, SAO PAULO","[-23.7346261802915, -46.6989712802915]"
1968,267455,AVENIDA SANTO AMARO,2626,SAO PAULO,,,"AVENIDA SANTO AMARO, 2626, SAO PAULO","[-23.60852958029151, -46.6778975802915]"
1969,267539,RUA SILVA BUENO,1873,SAO PAULO,,,"RUA SILVA BUENO, 1873, SAO PAULO","[-23.5963794802915, -46.60204778029149]"
1970,267698,AVENIDA DOS BANDEIRANTES,100,SAO PAULO,,,"AVENIDA DOS BANDEIRANTES, 100, SAO PAULO","[-23.5980828802915, -46.6917949802915]"
1971,267721,RUA RIBEIRAO,16,CARAPICUIBA,,,"RUA RIBEIRAO, 16, CARAPICUIBA","[-23.5647474302915, -46.8474258802915]"
1972,267727,AVENIDA ALCIDES SANGIRARDI,0,SAO PAULO,,,"AVENIDA ALCIDES SANGIRARDI, 0, SAO PAULO","[-23.5955192802915, -46.6953044802915]"
1973,267891,AVENIDA MARGINAL CSU,1598,CARAPICUIBA,,,"AVENIDA MARGINAL CSU, 1598, CARAPICUIBA","[-23.5344715802915, -46.84944418029149]"
