,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2835,1283,AVENIDA ARMANDO BEI,791,GUARULHOS,,,"AVENIDA ARMANDO BEI, 791, GUARULHOS","[-23.4086868802915, -46.4010941802915]"
2836,1322,RUA ORFILIA,81,SAO PAULO,,,"RUA ORFILIA, 81, SAO PAULO","[-23.6263155802915, -46.6196295802915]"
2837,1412,RUA MARINGA,0,SAO BERNARDO DO CAMPO,,,"RUA MARINGA, 0, SAO BERNARDO DO CAMPO","[-23.7763555802915, -46.60061088029149]"
2838,1468,AVENIDA JAGUARI,1950,SANTANA DE PARNAIBA,,,"AVENIDA JAGUARI, 1950, SANTANA DE PARNAIBA","[-23.4235123802915, -46.8514055802915]"
2839,1537,ESTRADA DO CAPUTERA,313,COTIA,,,"ESTRADA DO CAPUTERA, 313, COTIA","[-23.6814815802915, -46.8981064802915]"
