,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2550,335629,AVENIDA NORDESTINA,3389,SAO PAULO,,,"AVENIDA NORDESTINA, 3389, SAO PAULO","[-23.5126021302915, -46.42973713029149]"
2551,335634,"SHOPPING D  AVENIDA CRUZEIRO DO SUL, 1100",1,SAO PAULO,,,"SHOPPING D  AVENIDA CRUZEIRO DO SUL, 1100, 1, SAO PAULO","[-23.5228066802915, -46.6249195802915]"
2552,335697,ESTRADA DE ITAPECERICA,2508,EMBU DAS ARTES,,,"ESTRADA DE ITAPECERICA, 2508, EMBU DAS ARTES","[-23.6706431802915, -46.80434968029149]"
2553,335864,"SAO PAULO AIRPORT MARRIOTT HOTEL  AVE, AVENIDA MIN E",0,GUARULHOS,,,"SAO PAULO AIRPORT MARRIOTT HOTEL  AVE, AVENIDA MIN E, 0, GUARULHOS","[-23.4577158802915, -46.49366198029149]"
2554,336017,RUA ERNEST RENAM,10,SAO PAULO,,,"RUA ERNEST RENAM, 10, SAO PAULO","[-23.6074899802915, -46.72470398029149]"
2555,336054,Rodovia dos Imigrantes,10,DIADEMA,,,"Rodovia dos Imigrantes, 10, DIADEMA","[-23.6826221802915, -46.6124403802915]"
2556,336378,RETORNO AVENIDA PRESIDENTE HUMBERTO DE ALENCAR CAS,2979,GUARULHOS,,,"RETORNO AVENIDA PRESIDENTE HUMBERTO DE ALENCAR CAS, 2979, GUARULHOS","[-23.4780597802915, -46.5491532802915]"
2557,336641,RUA CAPITAO JOSE GALO,1363,RIBEIRAO PIRES,,,"RUA CAPITAO JOSE GALO, 1363, RIBEIRAO PIRES","[-23.7036417802915, -46.42719958029149]"
2558,336670,ACESSO AVENIDA ALCANTARA MACHADO,0,SAO PAULO,,,"ACESSO AVENIDA ALCANTARA MACHADO, 0, SAO PAULO","[-23.5440635802915, -46.59097358029151]"
2559,336682,Avenida Presidente Castelo Branco,0,SAO PAULO,,,"Avenida Presidente Castelo Branco, 0, SAO PAULO","[-23.5215603802915, -46.62912598029149]"
2560,336860,ESTRADA DE ITAPECERICA,3516,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 3516, SAO PAULO","[-23.6578548802915, -46.7651473802915]"
2561,336912,ACESSO AVENIDA PROFESSOR FRANCISCO MORATO,100,SAO PAULO,,,"ACESSO AVENIDA PROFESSOR FRANCISCO MORATO, 100, SAO PAULO","[-23.5741980802915, -46.7070122302915]"
2562,337128,RUA GERALDO ALVES DE CARVALHO,332,SAO PAULO,,,"RUA GERALDO ALVES DE CARVALHO, 332, SAO PAULO","[-23.4814717802915, -46.7067696802915]"
2563,337135,AVENIDA JOAO FIRMINO,1520,SAO BERNARDO DO CAMPO,,,"AVENIDA JOAO FIRMINO, 1520, SAO BERNARDO DO CAMPO","[-23.7251110802915, -46.5734903302915]"
