,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
380,56275,AVENIDA GUSTAVO ADOLFO,2916,SAO PAULO,,,"AVENIDA GUSTAVO ADOLFO, 2916, SAO PAULO","[-23.4938353802915, -46.57643048029149]"
381,56297,ESTRADA GUARULHOSSAO MIGUEL,2539,GUARULHOS,,,"ESTRADA GUARULHOSSAO MIGUEL, 2539, GUARULHOS","[-23.46150818029151, -46.4433155802915]"
382,56389,AVENIDA GOVERNADOR CARVALHO PINTO,2045,SAO PAULO,,,"AVENIDA GOVERNADOR CARVALHO PINTO, 2045, SAO PAULO","[-23.5151604802915, -46.5312638802915]"
383,56583,ACESSO RUA VEREADOR JOAO BATISTA FITIPALDI,123,SUZANO,,,"ACESSO RUA VEREADOR JOAO BATISTA FITIPALDI, 123, SUZANO","[-23.5340429802915, -46.3088336802915]"
384,56959,AVENIDA DONA BELMIRA MARIN,1357,SAO PAULO,,,"AVENIDA DONA BELMIRA MARIN, 1357, SAO PAULO","[-23.7437955802915, -46.69317058029149]"
385,57015,AVENIDA NORDESTINA,2904,SAO PAULO,,,"AVENIDA NORDESTINA, 2904, SAO PAULO","[-23.5128587802915, -46.4332276802915]"
386,57166,RUA JOAO DOMINGUES DE OLIVEIRA,193,RIBEIRAO PIRES,,,"RUA JOAO DOMINGUES DE OLIVEIRA, 193, RIBEIRAO PIRES","[-23.7137845802915, -46.4134837802915]"
387,57434,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
388,57485,AVENIDA CONCEICAO,100,DIADEMA,,,"AVENIDA CONCEICAO, 100, DIADEMA","[-23.6853626802915, -46.62807608029149]"
389,57529,RUA LEONILDA,396,SANTO ANDRE,,,"RUA LEONILDA, 396, SANTO ANDRE","[-23.6232400802915, -46.5287246802915]"
390,57558,AVENIDA SAPOPEMBA,3437,SAO PAULO,,,"AVENIDA SAPOPEMBA, 3437, SAO PAULO","[-23.5756500302915, -46.5573991802915]"
