,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2840,1760,AVENIDA ANTONIO SILVIO CUNHA BUENO,0,DIADEMA,,,"AVENIDA ANTONIO SILVIO CUNHA BUENO, 0, DIADEMA","[-23.7171890802915, -46.61287228029149]"
2841,1761,Via Ubaldo Lolli,1115,PIRAPORA DO BOM JESUS,,,"Via Ubaldo Lolli, 1115, PIRAPORA DO BOM JESUS","[-23.4072710802915, -47.0084434802915]"
2842,2203,Rua Nilo Peçanha,10,BIRITIBA MIRIM,,,"Rua Nilo Peçanha, 10, BIRITIBA MIRIM","[-23.5668461802915, -46.03758038029149]"
2843,2216,TREVO DE BONSUCESSO,0,GUARULHOS,,,"TREVO DE BONSUCESSO, 0, GUARULHOS","[-23.4085539802915, -46.4094979802915]"
2844,2441,AVENIDA JOAO DIAS,0,SAO PAULO,,,"AVENIDA JOAO DIAS, 0, SAO PAULO","[-23.6455562802915, -46.7360019802915]"
2845,2587,AVENIDA ARNALDO ROJEK,0,CAIEIRAS,,,"AVENIDA ARNALDO ROJEK, 0, CAIEIRAS","[-23.3348387802915, -46.8376804802915]"
2846,3470,RUA EDSON DANILO DOTTO,0,SAO PAULO,,,"RUA EDSON DANILO DOTTO, 0, SAO PAULO","[-23.593504, -46.4135172]"
2847,3869,RUA HEBE CAMARGO,0,SAO PAULO,,,"RUA HEBE CAMARGO, 0, SAO PAULO","[-23.6347854, -46.7285093]"
2848,4144,AVENIDA CORONEL SEZEFREDO FAGUNDES,0,SAO PAULO,,,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 0, SAO PAULO","[-23.4724469802915, -46.60720798029149]"
2849,4760,Rodovia João Afonso de Souza Castellano,0,MOGI DAS CRUZES,,,"Rodovia João Afonso de Souza Castellano, 0, MOGI DAS CRUZES","[-23.5120064802915, -46.34126248029149]"
2850,4804,AVENIDA BARAO DE MAUA,0,MAUA,,,"AVENIDA BARAO DE MAUA, 0, MAUA","[-23.6657537802915, -46.44949968029151]"
2851,4897,RUA ANGELO CREPALDI,0,SUZANO,,,"RUA ANGELO CREPALDI, 0, SUZANO","[-23.5735375, -46.336833]"
2852,5256,ESTRADA DO ITAIM,0,SAO PAULO,,,"ESTRADA DO ITAIM, 0, SAO PAULO","[-23.8173935, -46.7146132]"
2853,5308,AVENIDA LIONS,0,SAO BERNARDO DO CAMPO,,,"AVENIDA LIONS, 0, SAO BERNARDO DO CAMPO","[-23.6798256802915, -46.55839178029149]"
2854,5405,ESTRADA DO GOPIUVA,0,CARAPICUIBA,,,"ESTRADA DO GOPIUVA, 0, CARAPICUIBA","[-23.5538913802915, -46.8269669802915]"
2855,5622,AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,0,ITAQUAQUECETUBA,,,"AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA, 0, ITAQUAQUECETUBA","[-23.4746866802915, -46.34494368029149]"
2856,5723,AVENIDA JUVENAL FERREIRA DOS SANTOS,0,CAJAMAR,,,"AVENIDA JUVENAL FERREIRA DOS SANTOS, 0, CAJAMAR","[-23.3788623, -46.8737409]"
2857,5724,AVENIDA JUVENAL FERREIRA DOS SANTOS,0,CAJAMAR,,,"AVENIDA JUVENAL FERREIRA DOS SANTOS, 0, CAJAMAR","[-23.3788623, -46.8737409]"
2858,5846,RUA CARDOSO MOREIRA,0,SAO PAULO,,,"RUA CARDOSO MOREIRA, 0, SAO PAULO","[-23.6336443, -46.7611498]"
2859,5947,RUA MONET,0,COTIA,,,"RUA MONET, 0, COTIA","[-23.5951989802915, -46.82930728029149]"
2860,6539,AVENIDA INTERLAGOS,0,SAO PAULO,,,"AVENIDA INTERLAGOS, 0, SAO PAULO","[-23.6777851802915, -46.67961478029149]"
2861,6542,Rodovia Índio-Tibiriçá,0,SANTO ANDRE,,,"Rodovia Índio-Tibiriçá, 0, SANTO ANDRE","[-23.7713446802915, -46.47292228029149]"
2862,6572,ESTRADA SAO PAULO RIO,800,ITAQUAQUECETUBA,,,"ESTRADA SAO PAULO RIO, 800, ITAQUAQUECETUBA","[-23.4624502802915, -46.3660242802915]"
2863,6982,RUA CARAIVA,0,SAO PAULO,,,"RUA CARAIVA, 0, SAO PAULO","[-23.6311908, -46.75448778029151]"
2864,7011,AVENIDA PRESTES MAIA,0,DIADEMA,,,"AVENIDA PRESTES MAIA, 0, DIADEMA","[-23.6749229802915, -46.6154878802915]"
2865,7199,AVENIDA SENADOR TEOTONIO VILELA,7300,SAO PAULO,,,"AVENIDA SENADOR TEOTONIO VILELA, 7300, SAO PAULO","[-23.7613936302915, -46.7168605302915]"
2866,7849,RUA FERNAO MENDES PINTO,0,SAO PAULO,,,"RUA FERNAO MENDES PINTO, 0, SAO PAULO","[-23.5071557, -46.4909974]"
2867,8523,AVENIDA SAPOPEMBA,15708,SAO PAULO,,,"AVENIDA SAPOPEMBA, 15708, SAO PAULO","[-23.6269932802915, -46.4648432802915]"
2868,8576,ESTRADA PEDREIRA,0,ITAPEVI,,,"ESTRADA PEDREIRA, 0, ITAPEVI","[-23.5559252802915, -46.9127913802915]"
2869,8616,ESTRADA DE JANDIRA,0,BARUERI,,,"ESTRADA DE JANDIRA, 0, BARUERI","[-23.5218649, -46.8919243]"
2870,8682,AVENIDA JUSCELINO KUBITSCHEK,0,MAUA,,,"AVENIDA JUSCELINO KUBITSCHEK, 0, MAUA","[-23.6731392, -46.4789712]"
2871,9812,RUA HELMUTH HANS LUZ BACCI,1229,FERRAZ DE VASCONCELOS,,,"RUA HELMUTH HANS LUZ BACCI, 1229, FERRAZ DE VASCONCELOS","[-23.5391881, -46.3795897]"
2872,9946,AVENIDA DOM PEDRO DE ALCANTARA,0,SAO BERNARDO DO CAMPO,,,"AVENIDA DOM PEDRO DE ALCANTARA, 0, SAO BERNARDO DO CAMPO","[-23.7153398802915, -46.5312290802915]"
2873,10095,AVENIDA PAPA JOAO PAULO I,0,GUARULHOS,,,"AVENIDA PAPA JOAO PAULO I, 0, GUARULHOS","[-23.42879748029151, -46.41142678029149]"
2874,10736,AVENIDA JOSE DIAS DA SILVA,0,BARUERI,,,"AVENIDA JOSE DIAS DA SILVA, 0, BARUERI","[-23.536572, -46.8665889]"
2875,10737,AVENIDA JOSE DIAS DA SILVA,0,BARUERI,,,"AVENIDA JOSE DIAS DA SILVA, 0, BARUERI","[-23.536572, -46.8665889]"
2876,10802,ESTRADA DOS FICHERS,0,COTIA,,,"ESTRADA DOS FICHERS, 0, COTIA","[-23.6353848802915, -46.9520789802915]"
2877,10884,RUA NOVA DO TUPAROQUERA,0,SAO PAULO,,,"RUA NOVA DO TUPAROQUERA, 0, SAO PAULO","[-23.6672204, -46.7466403]"
2878,10895,RUA CORREDOR OESTE,0,ITAPEVI,,,"RUA CORREDOR OESTE, 0, ITAPEVI","[-23.5431001802915, -46.9341426802915]"
2879,11070,RUA JOSE PIRES DE OLIVEIRA,0,VARGEM GRANDE PAULISTA,,,"RUA JOSE PIRES DE OLIVEIRA, 0, VARGEM GRANDE PAULISTA","[-23.6078706802915, -47.02359438029149]"
2880,11185,RUA MARIA MINERVINA DA CONCEICAO,0,SUZANO,,,"RUA MARIA MINERVINA DA CONCEICAO, 0, SUZANO","[-23.5600492802915, -46.2884556802915]"
2881,11318,Rodovia Fernão Dias,0,SAO PAULO,,,"Rodovia Fernão Dias, 0, SAO PAULO","[-22.8808167802915, -46.3743553802915]"
