,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2050,274770,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,12794,SAO PAULO,,,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES, 12794, SAO PAULO","[-23.4318488802915, -46.7219189802915]"
2051,274901,Rodovia Prefeito Luiz Salomão Chamma,44.8,FRANCO DA ROCHA,,,"Rodovia Prefeito Luiz Salomão Chamma, 44.8, FRANCO DA ROCHA","[-23.3327655802915, -46.6880585802915]"
2052,275251,RUA JEQUIRITUBA,849,SAO PAULO,,,"RUA JEQUIRITUBA, 849, SAO PAULO","[-23.7302280802915, -46.6900838802915]"
2053,275256,RUA JULIO MACIEL,110,SAO PAULO,,,"RUA JULIO MACIEL, 110, SAO PAULO","[-23.4152063302915, -46.7542108302915]"
2054,275374,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
2055,275388,ESTACAO METRO CARRAO,120,SAO PAULO,,,"ESTACAO METRO CARRAO, 120, SAO PAULO","[-23.5391749802915, -46.5654709802915]"
2056,275516,AVENIDA MARGINAL DO RIBEIRAO,3000,CARAPICUIBA,,,"AVENIDA MARGINAL DO RIBEIRAO, 3000, CARAPICUIBA","[-23.5648859802915, -46.8289769802915]"
2057,275606,PRACA SAMUEL SABATINE,100,SAO BERNARDO DO CAMPO,,,"PRACA SAMUEL SABATINE, 100, SAO BERNARDO DO CAMPO","[-23.6934361802915, -46.55312508029149]"
2058,276056,ESTRADA DE ITAPECERICA,255,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 255, SAO PAULO","[-23.6441088302915, -46.7403541302915]"
2059,276116,AVENIDA CAPITAO JOAO,3680,MAUA,,,"AVENIDA CAPITAO JOAO, 3680, MAUA","[-23.6971719802915, -46.4471390802915]"
2060,276181,AVENIDA MARQUES DE SAO VICENTE,2045,SAO PAULO,,,"AVENIDA MARQUES DE SAO VICENTE, 2045, SAO PAULO","[-23.5201680802915, -46.67942978029149]"
2061,276182,AVENIDA SANTA INES,1665,SAO PAULO,,,"AVENIDA SANTA INES, 1665, SAO PAULO","[-23.4669277802915, -46.63352568029149]"
