,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
20,4466,AVENIDA LAURO GOMES,100,SANTO ANDRE,,,"AVENIDA LAURO GOMES, 100, SANTO ANDRE","[-23.6851083802915, -46.54942278029149]"
21,4849,AVENIDA CANGAIBA,959,SAO PAULO,,,"AVENIDA CANGAIBA, 959, SAO PAULO","[-23.5129307802915, -46.54593908029151]"
22,4975,AVENIDA DOS ESTADOS,11041,SANTO ANDRE,,,"AVENIDA DOS ESTADOS, 11041, SANTO ANDRE","[-23.6517983802915, -46.4933203302915]"
23,4981,Rodovia dos Imigrantes,100,SAO PAULO,,,"Rodovia dos Imigrantes, 100, SAO PAULO","[-23.6063009802915, -46.62784808029149]"
24,5585,ACESSO AVENIDA RADIAL LESTE OESTE,100,SAO PAULO,,,"ACESSO AVENIDA RADIAL LESTE OESTE, 100, SAO PAULO","[-23.5328009802915, -46.52162188029149]"
25,5624,AVENIDA DAS NACOES,2275,SANTO ANDRE,,,"AVENIDA DAS NACOES, 2275, SANTO ANDRE","[-23.6458977802915, -46.49596498029151]"
26,5902,ESTRADA GALVAO BUENO,9041,SAO BERNARDO DO CAMPO,,,"ESTRADA GALVAO BUENO, 9041, SAO BERNARDO DO CAMPO","[-23.7734551802915, -46.59862508029151]"
27,6034,ESTRADA GALVAO BUENO,9172,SAO BERNARDO DO CAMPO,,,"ESTRADA GALVAO BUENO, 9172, SAO BERNARDO DO CAMPO","[-23.7729669802915, -46.60132818029151]"
28,6766,ACESSO AVENIDA GOVERNADOR CARVALHO PINTO,100,SAO PAULO,,,"ACESSO AVENIDA GOVERNADOR CARVALHO PINTO, 100, SAO PAULO","[-23.5151215802915, -46.54628488029151]"
29,6861,AVENIDA GETULIO VARGAS,100,OSASCO,,,"AVENIDA GETULIO VARGAS, 100, OSASCO","[-23.5200804802915, -46.78964558029149]"
30,7225,AVENIDA ALZIRO ZARUR,100,SAO PAULO,,,"AVENIDA ALZIRO ZARUR, 100, SAO PAULO","[-23.5631358802915, -46.4845297802915]"
