,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
50,11104,AVENIDA JAGUARE,100,SAO PAULO,,,"AVENIDA JAGUARE, 100, SAO PAULO","[-23.5588922802915, -46.74665033029149]"
51,11361,AVENIDA EMANCIPACAO,97,ITAQUAQUECETUBA,,,"AVENIDA EMANCIPACAO, 97, ITAQUAQUECETUBA","[-23.4791853302915, -46.3544918302915]"
52,11487,RUA PREFEITO CIDO FRANCO,1083,RIO GRANDE DA SERRA,,,"RUA PREFEITO CIDO FRANCO, 1083, RIO GRANDE DA SERRA","[-23.7443027802915, -46.4026358802915]"
53,11623,AVENIDA SILVESTRE PIRES DE FREITAS,100,GUARULHOS,,,"AVENIDA SILVESTRE PIRES DE FREITAS, 100, GUARULHOS","[-23.4310155802915, -46.5037693802915]"
54,11678,Rodovia dos Imigrantes,1,SAO PAULO,,,"Rodovia dos Imigrantes, 1, SAO PAULO","[-23.6448889802915, -46.63075428029149]"
55,11920,AVENIDA ARICANDUVA,10000,SAO PAULO,,,"AVENIDA ARICANDUVA, 10000, SAO PAULO","[-23.5896685802915, -46.48290778029149]"
56,11922,ACESSO AVENIDA JACUPESSEGO,809,SAO PAULO,,,"ACESSO AVENIDA JACUPESSEGO, 809, SAO PAULO","[-23.5673063802915, -46.44764558029149]"
57,11966,AVENIDA GETULIO VARGAS,100,OSASCO,,,"AVENIDA GETULIO VARGAS, 100, OSASCO","[-23.5200804802915, -46.78964558029149]"
58,12026,AVENIDA ENGENHEIRO CAETANO ALVARES,3924,SAO PAULO,,,"AVENIDA ENGENHEIRO CAETANO ALVARES, 3924, SAO PAULO","[-23.4900556802915, -46.65110758029149]"
59,12099,AVENIDA TIRADENTES,100,SAO PAULO,,,"AVENIDA TIRADENTES, 100, SAO PAULO","[-23.5362305802915, -46.6343189802915]"
60,12137,Rodovia Professor Simão Faiguenboim,500,SAO PAULO,,,"Rodovia Professor Simão Faiguenboim, 500, SAO PAULO","[-23.5739243802915, -46.7012526802915]"
61,12386,AVENIDA LUIZ GUSHIKEN,165,SAO PAULO,,,"AVENIDA LUIZ GUSHIKEN, 165, SAO PAULO","[-23.6670925802915, -46.73342668029149]"
62,12514,Rodovia Régis Bittencourt,278,TABOAO DA SERRA,,,"Rodovia Régis Bittencourt, 278, TABOAO DA SERRA","[-23.6086512802915, -46.7624090802915]"
63,12580,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,,,"VIADUTO JULIO MESQUITA FILHO, 100, SAO PAULO","[-23.5518325802915, -46.6477800802915]"
64,12585,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,,,"AVENIDA ENGENHEIRO CAETANO ALVARES, 100, SAO PAULO","[-23.5140031302915, -46.67183768029151]"
65,12817,ALAMEDA RIO NEGRO,162,BARUERI,,,"ALAMEDA RIO NEGRO, 162, BARUERI","[-23.5062899802915, -46.84763348029149]"
