,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
520,71990,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,,,"AVENIDA CONDE DE FRONTIN, 10, SAO PAULO","[-23.5383987802915, -46.55935968029149]"
521,72029,AVENIDA SALIM FARAH MALUF,3167,SAO PAULO,,,"AVENIDA SALIM FARAH MALUF, 3167, SAO PAULO","[-23.5586684802915, -46.57858718029151]"
522,72064,RUA DA COROA,1640,SAO PAULO,,,"RUA DA COROA, 1640, SAO PAULO","[-23.52066798029151, -46.6137063302915]"
523,72269,ESTRADA CAUCAIA DO ALTO,4521,VARGEM GRANDE PAULISTA,,,"ESTRADA CAUCAIA DO ALTO, 4521, VARGEM GRANDE PAULISTA","[-23.6483595302915, -46.9951100302915]"
524,72424,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE,,,"AVENIDA PEREIRA BARRETO, 100, SANTO ANDRE","[-23.6699570802915, -46.5366615802915]"
525,72650,ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,1,ITAQUAQUECETUBA,,,"ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA, 1, ITAQUAQUECETUBA","[-23.4800862802915, -46.35305048029149]"
526,72985,AVENIDA SPORT CLUB CORINTIANS PAULISTA,1000,OSASCO,,,"AVENIDA SPORT CLUB CORINTIANS PAULISTA, 1000, OSASCO","[-23.5354720802915, -46.78887978029151]"
527,72995,Rodovia Professor Alfredo Rolim de Moura,0,BIRITIBA MIRIM,,,"Rodovia Professor Alfredo Rolim de Moura, 0, BIRITIBA MIRIM","[-23.5672243802915, -46.08118968029149]"
528,73055,RUA JOAQUIM RIBEIRO,260,SAO PAULO,,,"RUA JOAQUIM RIBEIRO, 260, SAO PAULO","[-23.4746644802915, -46.70591768029149]"
529,73147,RUA PADRE SILVERIO PARAOPEBA,22,SAO PAULO,,,"RUA PADRE SILVERIO PARAOPEBA, 22, SAO PAULO","[-23.6553666802915, -46.77853048029149]"
530,73182,RUA JOAO PAULO,786,SAO PAULO,,,"RUA JOAO PAULO, 786, SAO PAULO","[-23.5599914802915, -46.68011568029151]"
531,73408,AVENIDA DO CURSINO,1828,SAO PAULO,,,"AVENIDA DO CURSINO, 1828, SAO PAULO","[-23.6048096802915, -46.61698508029149]"
532,73468,AVENIDA DEPUTADO EMILIO CARLOS,2083,SAO PAULO,,,"AVENIDA DEPUTADO EMILIO CARLOS, 2083, SAO PAULO","[-23.4905374802915, -46.6771249802915]"
533,73485,AVENIDA NEVADA,3616,SANTO ANDRE,,,"AVENIDA NEVADA, 3616, SANTO ANDRE","[-23.6278026, -46.5108471]"
534,73542,AVENIDA ALDINO PINOTTI,601,SAO BERNARDO DO CAMPO,,,"AVENIDA ALDINO PINOTTI, 601, SAO BERNARDO DO CAMPO","[-23.6895118802915, -46.5526705802915]"
535,73640,ACESSO HEBE CAMARGO,1355,SAO PAULO,,,"ACESSO HEBE CAMARGO, 1355, SAO PAULO","[-23.6360786802915, -46.7288907802915]"
536,73950,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO,,,"ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA, 1, SAO PAULO","[-23.5369684802915, -46.54943988029149]"
537,74062,AVENIDA DOM PAULO ROLIM LOUREIRO,0,MOGI DAS CRUZES,,,"AVENIDA DOM PAULO ROLIM LOUREIRO, 0, MOGI DAS CRUZES","[-23.5345133802915, -46.1712825802915]"
538,74082,AVENIDA PROFESSOR ABRAAO DE MORAIS,1,SAO PAULO,,,"AVENIDA PROFESSOR ABRAAO DE MORAIS, 1, SAO PAULO","[-23.6060060802915, -46.6271297802915]"
539,74142,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL,,,"ACESSO AVENIDA DO ESTADO, 100, SAO CAETANO DO SUL","[-23.6016015802915, -46.57940318029149]"
540,74159,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO,,,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 100, SAO PAULO","[-23.6333669802915, -46.64819018029149]"
541,74276,RETORNO RUA FREDERICO RENE DE JAEGHER,2628,SAO PAULO,,,"RETORNO RUA FREDERICO RENE DE JAEGHER, 2628, SAO PAULO","[-23.7313803802915, -46.7179696802915]"
542,74330,PONTE PRESIDENTE DUTRA,100,SAO PAULO,,,"PONTE PRESIDENTE DUTRA, 100, SAO PAULO","[-23.5307393, -46.59107163029149]"
543,74577,ESTRADA DA COLONIA,10,SAO PAULO,,,"ESTRADA DA COLONIA, 10, SAO PAULO","[-23.84971678029151, -46.7025931802915]"
544,74625,AVENIDA WASHINGTON LUIS,10,SAO PAULO,,,"AVENIDA WASHINGTON LUIS, 10, SAO PAULO","[-23.6628089802915, -46.7063195802915]"
545,74626,AVENIDA DOS BANDEIRANTES,4969,SAO PAULO,,,"AVENIDA DOS BANDEIRANTES, 4969, SAO PAULO","[-23.6232147302915, -46.65438478029149]"
