,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
0,186,AVENIDA GENERAL BARRETO DE MENEZES,470,SAO BERNARDO DO CAMPO,,,"AVENIDA GENERAL BARRETO DE MENEZES, 470, SAO BERNARDO DO CAMPO","[-23.73791738029151, -46.5363510802915]"
1,248,PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE,0,OSASCO,,,"PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE, 0, OSASCO","[-23.5247918, -46.82184400000001]"
2,294,PONTE DO LIMAO,100,SAO PAULO,,,"PONTE DO LIMAO, 100, SAO PAULO","[-23.51709368029151, -46.6681318802915]"
3,389,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,100,GUARULHOS,,,"ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI, 100, GUARULHOS","[-23.4736300802915, -46.42469018029149]"
4,1256,AVENIDA BRIGADEIRO LUIS ANTONIO,4778,SAO PAULO,,,"AVENIDA BRIGADEIRO LUIS ANTONIO, 4778, SAO PAULO","[-23.5836943802915, -46.66887098029149]"
