,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
280,43419,PONTE DOS REMEDIOS,1274,SAO PAULO,,,"PONTE DOS REMEDIOS, 1274, SAO PAULO","[-23.52170798029151, -46.7490301802915]"
281,43528,Rodovia Régis Bittencourt,10,ITAPECERICA DA SERRA,,,"Rodovia Régis Bittencourt, 10, ITAPECERICA DA SERRA","[-23.6844070802915, -46.8604867802915]"
282,43654,ESTRADA KIZAEMON TAKEUTI,3261,TABOAO DA SERRA,,,"ESTRADA KIZAEMON TAKEUTI, 3261, TABOAO DA SERRA","[-23.6439709802915, -46.80686788029149]"
283,43666,RUA CORONEL SEABRA,0,SANTO ANDRE,,,"RUA CORONEL SEABRA, 0, SANTO ANDRE","[-23.6695466802915, -46.5213653802915]"
284,43708,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,,,"VIADUTO JULIO MESQUITA FILHO, 100, SAO PAULO","[-23.5518325802915, -46.6477800802915]"
285,44061,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL,,,"ACESSO AVENIDA DO ESTADO, 100, SAO CAETANO DO SUL","[-23.6016015802915, -46.57940318029149]"
286,44134,ACESSO AVENIDA ANTONIO ESTEVAO DE CARVALHO,100,SAO PAULO,,,"ACESSO AVENIDA ANTONIO ESTEVAO DE CARVALHO, 100, SAO PAULO","[-23.5328083802915, -46.52163328029151]"
287,44169,AVENIDA PIRES DO RIO,3122,SAO PAULO,,,"AVENIDA PIRES DO RIO, 3122, SAO PAULO","[-23.5254695802915, -46.4463361802915]"
288,44187,AVENIDA DO CURSINO,3023,SAO PAULO,,,"AVENIDA DO CURSINO, 3023, SAO PAULO","[-23.62956328029151, -46.6201951802915]"
289,44221,Rodovia Castelo Branco,0,SANTANA DE PARNAIBA,,,"Rodovia Castelo Branco, 0, SANTANA DE PARNAIBA","[-23.4857315802915, -46.99598168029149]"
290,44357,ESTRADA DO ELENCO,4719,GUARULHOS,,,"ESTRADA DO ELENCO, 4719, GUARULHOS","[-23.4046934802915, -46.4753122802915]"
291,44360,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO,,,"AVENIDA MARIA SERVIDEI DEMARCHE, 100, SAO BERNARDO DO CAMPO","[-23.7269727302915, -46.55450003029149]"
292,44691,ESTRADA NOSSA SENHORA DE FATIMA,201,COTIA,,,"ESTRADA NOSSA SENHORA DE FATIMA, 201, COTIA","[-23.6196274802915, -46.97563048029151]"
