,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1650,224821,ACESSO AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,,"ACESSO AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]"
1651,224842,RUA JOSE MANOEL DE ALMEIDA,100,VARGEM GRANDE PAULISTA,,,"RUA JOSE MANOEL DE ALMEIDA, 100, VARGEM GRANDE PAULISTA","[-23.6147286802915, -47.0051642802915]"
1652,225152,ACESSO PARA MARGINAL PINHEIROS EXPRESSA,10,SAO PAULO,,,"ACESSO PARA MARGINAL PINHEIROS EXPRESSA, 10, SAO PAULO","[-23.5631487802915, -46.67606628029149]"
1653,225170,Rodovia Régis Bittencourt,273,TABOAO DA SERRA,,,"Rodovia Régis Bittencourt, 273, TABOAO DA SERRA","[-23.6106171802915, -46.7569316802915]"
1654,225291,AVENIDA BERNARDINO DE CAMPOS,348,SAO PAULO,,,"AVENIDA BERNARDINO DE CAMPOS, 348, SAO PAULO","[-23.5758378802915, -46.6435393802915]"
1655,225383,AVENIDA MARGINAL DO RIO PINHEIROS,4,SAO PAULO,,,"AVENIDA MARGINAL DO RIO PINHEIROS, 4, SAO PAULO","[-23.5746396802915, -46.70217978029149]"
1656,225545,RUA LEANDRO DE SEVILHA,0,SAO PAULO,,,"RUA LEANDRO DE SEVILHA, 0, SAO PAULO","[-23.6034861, -46.5066406]"
1657,225636,Avenida Engenheiro Billings,215,SAO PAULO,,,"Avenida Engenheiro Billings, 215, SAO PAULO","[-23.5412193802915, -46.74391138029151]"
1658,225706,AVENIDA PEDROSO DE MORAIS,1234,SAO PAULO,,,"AVENIDA PEDROSO DE MORAIS, 1234, SAO PAULO","[-23.5615906802915, -46.6955904302915]"
1659,225708,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE,,,"RUA GEOVANE BATISTA PIRELI, 100, SANTO ANDRE","[-23.6657309802915, -46.4912789802915]"
1660,226191,RUA PEDRO ZOLCSAK,1,SAO BERNARDO DO CAMPO,,,"RUA PEDRO ZOLCSAK, 1, SAO BERNARDO DO CAMPO","[-23.7354983802915, -46.5437466802915]"
1661,226475,AVENIDA VILA EMA,100,SAO PAULO,,,"AVENIDA VILA EMA, 100, SAO PAULO","[-23.5794089802915, -46.5764197802915]"
1662,226499,AVENIDA YOJIRO TAKAOKA,100,SANTANA DE PARNAIBA,,,"AVENIDA YOJIRO TAKAOKA, 100, SANTANA DE PARNAIBA","[-23.4651985802915, -46.8794011802915]"
1663,226660,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,3555,SAO PAULO,,,"AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO, 3555, SAO PAULO","[-23.5828517302915, -46.5616932302915]"
1664,226714,RUA JURUBATUBA,165,SAO BERNARDO DO CAMPO,,,"RUA JURUBATUBA, 165, SAO BERNARDO DO CAMPO","[-23.6986849802915, -46.55482398029149]"
1665,226905,Rodovia dos Imigrantes,12,SAO PAULO,,,"Rodovia dos Imigrantes, 12, SAO PAULO","[-23.6057501802915, -46.6276209802915]"
1666,226926,VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO,100,SAO PAULO,,,"VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO, 100, SAO PAULO","[-23.5446589802915, -46.4117957802915]"
1667,227081,ESTRADA DO M'BOI MIRIM,9983,SAO PAULO,,,"ESTRADA DO M'BOI MIRIM, 9983, SAO PAULO","[-23.7172749802915, -46.7843075802915]"
1668,227564,RETORNO  HENRIQUE EROLES,0,ITAQUAQUECETUBA,,,"RETORNO  HENRIQUE EROLES, 0, ITAQUAQUECETUBA","[-23.5121716, -46.397296]"
1669,227962,RETORNO COMPLEXO VIARIO MARIA MALUF,200,SAO PAULO,,,"RETORNO COMPLEXO VIARIO MARIA MALUF, 200, SAO PAULO","[-23.6292756802915, -46.62345558029149]"
1670,228372,AVENIDA LOTHAR WALDEMAR HOEHNE,100,MOGI DAS CRUZES,,,"AVENIDA LOTHAR WALDEMAR HOEHNE, 100, MOGI DAS CRUZES","[-23.5116660802915, -46.2056201302915]"
1671,228628,AVENIDA ALDA,2451,DIADEMA,,,"AVENIDA ALDA, 2451, DIADEMA","[-23.7074455802915, -46.6279164802915]"
1672,228700,Rodovia dos Imigrantes,13,DIADEMA,,,"Rodovia dos Imigrantes, 13, DIADEMA","[-23.7144362802915, -46.6060352802915]"
1673,228804,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE,,,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 100, SANTO ANDRE","[-23.6800646802915, -46.5068682802915]"
1674,228837,RUA JAMIL JOAO ZARIFE,100,GUARULHOS,,,"RUA JAMIL JOAO ZARIFE, 100, GUARULHOS","[-23.4312851802915, -46.50284458029149]"
1675,229055,PONTE ARICANDUVA,10,SAO PAULO,,,"PONTE ARICANDUVA, 10, SAO PAULO","[-23.5993108802915, -46.4697313802915]"
1676,229077,VIA ANHANGUERA,1,SAO PAULO,,,"VIA ANHANGUERA, 1, SAO PAULO","[-23.4833789802915, -46.7714799802915]"
