,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2825,226,Avenida Trindade,0,BARUERI,,,"Avenida Trindade, 0, BARUERI","[-23.5074552802915, -46.8687358802915]"
2826,227,RUA MARCO ANTONIO CALEGARI,0,BARUERI,,,"RUA MARCO ANTONIO CALEGARI, 0, BARUERI","[-23.5274237, -46.8640458]"
2827,389,Avenida Morvan Dias de Figueiredo,0,SAO PAULO,,,"Avenida Morvan Dias de Figueiredo, 0, SAO PAULO","[-23.5267139802915, -46.5778302802915]"
2828,417,AVENIDA NATALIA ZARIF,0,GUARULHOS,,,"AVENIDA NATALIA ZARIF, 0, GUARULHOS","[-23.4382374802915, -46.4974011802915]"
2829,539,AVENIDA MARCO ANTONIO CALEGARI,0,BARUERI,,,"AVENIDA MARCO ANTONIO CALEGARI, 0, BARUERI","[-23.5274237, -46.8640458]"
2830,613,AVENIDA DOUTOR DIB SAUAIA NETO,0,BARUERI,,,"AVENIDA DOUTOR DIB SAUAIA NETO, 0, BARUERI","[-23.4819396802915, -46.8778999802915]"
2831,1004,RUA CASTELO DE LECA,0,SAO PAULO,,,"RUA CASTELO DE LECA, 0, SAO PAULO","[-23.5512265, -46.4050742]"
2832,1038,AVENIDA RUBEM BERTA,0,SAO PAULO,,,"AVENIDA RUBEM BERTA, 0, SAO PAULO","[-23.6037953802915, -46.6531187802915]"
2833,1067,RUA OLGA ARTACHO,0,SAO PAULO,,,"RUA OLGA ARTACHO, 0, SAO PAULO","[-23.5060701, -46.5403355]"
2834,1090,ESTRADA DE ITAPECERICA,0,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 0, SAO PAULO","[-23.6619129802915, -46.76846338029149]"
