,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
2297,303474,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE,,,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 100, SANTO ANDRE","[-23.6800646802915, -46.5068682802915]"
2298,303544,AVENIDA ITAQUERA,5000,SAO PAULO,,,"AVENIDA ITAQUERA, 5000, SAO PAULO","[-23.5537378802915, -46.4803794802915]"
2299,304064,ACESSO PARA  AIRTON SENA DA SILVA,0,GUARULHOS,,,"ACESSO PARA  AIRTON SENA DA SILVA, 0, GUARULHOS","[-23.4705033802915, -46.4047473802915]"
2300,304422,AVENIDA SAO JOAO,100,SAO PAULO,,,"AVENIDA SAO JOAO, 100, SAO PAULO","[-23.5465186802915, -46.6361912802915]"
2301,304507,RUA CASTRO VERDE,1,SAO PAULO,,,"RUA CASTRO VERDE, 1, SAO PAULO","[-23.6389239802915, -46.71762028029149]"
2302,304576,RUA SILVA TELES,1790,SAO PAULO,,,"RUA SILVA TELES, 1790, SAO PAULO","[-23.5255600802915, -46.6059701802915]"
2303,305044,PRACA DOS EXPEDICIONARIOS,100,SAO BERNARDO DO CAMPO,,,"PRACA DOS EXPEDICIONARIOS, 100, SAO BERNARDO DO CAMPO","[-23.6858710802915, -46.5568939802915]"
2304,305082,PARQUE RAPOSO TAVARES,13,SAO PAULO,,,"PARQUE RAPOSO TAVARES, 13, SAO PAULO","[-23.5897537802915, -46.75754758029149]"
2305,305290,MARGINAL MARGINAL TIETE CENTRAL,1,SAO PAULO,,,"MARGINAL MARGINAL TIETE CENTRAL, 1, SAO PAULO","[-23.5200540802915, -46.62441098029149]"
2306,305317,RUA TORIBATE,1,SAO PAULO,,,"RUA TORIBATE, 1, SAO PAULO","[-23.5941357802915, -46.6197050802915]"
2307,305323,AVENIDA WASHINGTON LUIS,0,SAO PAULO,,,"AVENIDA WASHINGTON LUIS, 0, SAO PAULO","[-23.6305459802915, -46.6681449802915]"
2308,305469,RUA QUARARIBEIA,199,SAO PAULO,,,"RUA QUARARIBEIA, 199, SAO PAULO","[-23.6717710802915, -46.6917171802915]"
2309,305487,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,,,"AVENIDA JOSE PINHEIRO BORGES, 1, SAO PAULO","[-23.5402989802915, -46.42517098029151]"
2310,306437,RUA SANTO ANTONIO DE OSSELA,816,SAO PAULO,,,"RUA SANTO ANTONIO DE OSSELA, 816, SAO PAULO","[-23.7550674802915, -46.6803414802915]"
2311,306494,RUA BRESSER,1401,SAO PAULO,,,"RUA BRESSER, 1401, SAO PAULO","[-23.5436226302915, -46.6083020302915]"
2312,306539,AVENIDA ANTONIA ROSA FIORAVANTE,100,MAUA,,,"AVENIDA ANTONIA ROSA FIORAVANTE, 100, MAUA","[-23.6642331802915, -46.45321988029149]"
2313,306578,AVENIDA JACUPESSEGO,100,SAO PAULO,,,"AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
2314,306583,ESTRADA DOS ALVARENGAS,88008,SAO BERNARDO DO CAMPO,,,"ESTRADA DOS ALVARENGAS, 88008, SAO BERNARDO DO CAMPO","[-23.7569838, -46.6319212]"
2315,306658,CONTORNO RADIAL LESTE OESTE,450,SAO PAULO,,,"CONTORNO RADIAL LESTE OESTE, 450, SAO PAULO","[-23.5663706, -46.6367462]"
2316,306713,AVENIDA AMADOR BUENO DA VEIGA,100,SAO PAULO,,,"AVENIDA AMADOR BUENO DA VEIGA, 100, SAO PAULO","[-23.5245551802915, -46.54508978029149]"
2317,306740,RUA ENG JOSE CRUZ DE OLIVEIRA,20,SAO PAULO,,,"RUA ENG JOSE CRUZ DE OLIVEIRA, 20, SAO PAULO","[-23.4937384802915, -46.45939258029149]"
2318,307007,AVENIDA MARGINAL DO RIO PINHEIROS,1,SAO PAULO,,,"AVENIDA MARGINAL DO RIO PINHEIROS, 1, SAO PAULO","[-23.6464660802915, -46.72883278029149]"
2319,307025,ESTRADA DE ITAPECERICA,1,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 1, SAO PAULO","[-23.6452717802915, -46.7438362802915]"
2320,307049,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO,,,"ACESSO AVENIDA MARGINAL DO RIO PINHEIROS, 100, SAO PAULO","[-23.5721698802915, -46.70240818029151]"
2321,307295,ESTRADA DO M'BOI MIRIM,6831,SAO PAULO,,,"ESTRADA DO M'BOI MIRIM, 6831, SAO PAULO","[-23.7023785302915, -46.78285208029151]"
2322,307330,ESTRADA KEISHI MATSUMOTO,500,EMBU DAS ARTES,,,"ESTRADA KEISHI MATSUMOTO, 500, EMBU DAS ARTES","[-23.6344830802915, -46.8534515802915]"
2323,307444,AVENIDA DO TABOAO,100,SAO BERNARDO DO CAMPO,,,"AVENIDA DO TABOAO, 100, SAO BERNARDO DO CAMPO","[-23.6493639802915, -46.58183948029149]"
2324,307550,AEROPORTO DE SAO PAULO/CONGONHAS  AVENIDA WASHINGTON,8,SAO PAULO,,,"AEROPORTO DE SAO PAULO/CONGONHAS  AVENIDA WASHINGTON, 8, SAO PAULO","[-23.6286735802915, -46.6579331802915]"
2325,307576,VIADUTO RAPOSO TAVARES,3,SAO PAULO,,,"VIADUTO RAPOSO TAVARES, 3, SAO PAULO","[-23.5923721302915, -46.7998499302915]"
2326,307656,AVENIDA SANTOS DUMONT,100,SAO PAULO,,,"AVENIDA SANTOS DUMONT, 100, SAO PAULO","[-23.5272551802915, -46.63207098029149]"
2327,307676,AVENIDA DOUTOR JOSE FORNARI,100,SAO BERNARDO DO CAMPO,,,"AVENIDA DOUTOR JOSE FORNARI, 100, SAO BERNARDO DO CAMPO","[-23.7259443802915, -46.55085098029149]"
2328,307756,RUA FRANCISCO DE OLIVEIRA,25,SAO PAULO,,,"RUA FRANCISCO DE OLIVEIRA, 25, SAO PAULO","[-23.5225646802915, -46.5151761802915]"
2329,307914,RUA HENRY CHARLES POTEL,0,SAO PAULO,,,"RUA HENRY CHARLES POTEL, 0, SAO PAULO","[-23.4713834802915, -46.6782700802915]"
2330,308041,AVENIDA INTERLAGOS,6538,SAO PAULO,,,"AVENIDA INTERLAGOS, 6538, SAO PAULO","[-23.7047707302915, -46.70378033029149]"
2331,308141,R SETE DE SETEMBRO  CENTRO  R SETE DE SETEMBRO,610,GUARULHOS,,,"R SETE DE SETEMBRO  CENTRO  R SETE DE SETEMBRO, 610, GUARULHOS","[-23.4699042802915, -46.5287865802915]"
2332,308204,RUA JOAQUIM NABUCO,1652,SAO PAULO,,,"RUA JOAQUIM NABUCO, 1652, SAO PAULO","[-23.6344013802915, -46.6739404802915]"
2333,308280,Avenida Morvan Dias de Figueiredo,345,SAO PAULO,,,"Avenida Morvan Dias de Figueiredo, 345, SAO PAULO","[-23.5197974802915, -46.6230498802915]"
2334,308559,ESTRADA CANAL DE COCAIA,1946,SAO PAULO,,,"ESTRADA CANAL DE COCAIA, 1946, SAO PAULO","[-23.7422765802915, -46.6688859802915]"
2335,308569,AVENIDA OLAVO FONTOURA,0,SAO PAULO,,,"AVENIDA OLAVO FONTOURA, 0, SAO PAULO","[-23.5182381, -46.6524305]"
2336,308582,AVENIDA PIRAPORINHA,1,SAO BERNARDO DO CAMPO,,,"AVENIDA PIRAPORINHA, 1, SAO BERNARDO DO CAMPO","[-23.69121528029151, -46.5763923802915]"
2337,308703,ESTRADA PIRAJUSSARA VALO VELHO,440,SAO PAULO,,,"ESTRADA PIRAJUSSARA VALO VELHO, 440, SAO PAULO","[-23.6436568802915, -46.78335808029151]"
2338,308801,PRACA NICOLA VIVILECHIO,2,TABOAO DA SERRA,,,"PRACA NICOLA VIVILECHIO, 2, TABOAO DA SERRA","[-23.61002468029151, -46.7599121802915]"
2339,308810,AVENIDA JOAO VINTE E TRES,1128,SAO PAULO,,,"AVENIDA JOAO VINTE E TRES, 1128, SAO PAULO","[-23.5724158802915, -46.5320705802915]"
2340,308837,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
2341,308868,RUA MIGUEL ANGELO LAPENA,255,SAO PAULO,,,"RUA MIGUEL ANGELO LAPENA, 255, SAO PAULO","[-23.4924772802915, -46.4435475802915]"
2342,308898,ESTRADA KEISHI MATSUMOTO,1867,EMBU DAS ARTES,,,"ESTRADA KEISHI MATSUMOTO, 1867, EMBU DAS ARTES","[-23.6229087802915, -46.8510066802915]"
2343,309067,AVENIDA DO TABOAO,2,SAO BERNARDO DO CAMPO,,,"AVENIDA DO TABOAO, 2, SAO BERNARDO DO CAMPO","[-23.6493634802915, -46.58090473029149]"
2344,309083,AVENIDA EUSEBIO MATOSO,0,SAO PAULO,,,"AVENIDA EUSEBIO MATOSO, 0, SAO PAULO","[-23.5723902802915, -46.6939046802915]"
2345,309291,ESTRADA CUMBICA,410,SAO PAULO,,,"ESTRADA CUMBICA, 410, SAO PAULO","[-23.7356015802915, -46.7463642802915]"
2346,309421,RUA DOS TRILHOS,100,SAO PAULO,,,"RUA DOS TRILHOS, 100, SAO PAULO","[-23.5538500802915, -46.6097583802915]"
2347,309505,AVENIDA SANTOS DUMONT,10,GUARULHOS,,,"AVENIDA SANTOS DUMONT, 10, GUARULHOS","[-23.4509440802915, -46.4751453802915]"
2348,309552,RUA JOSE PORFIRIO DE SOUZA,856,SAO PAULO,,,"RUA JOSE PORFIRIO DE SOUZA, 856, SAO PAULO","[-23.6041357802915, -46.78346318029149]"
2349,309611,"AVENIDA WASHINGTON LUIS  AV WASHINGTON LUIS, SAO PAU",0,SAO PAULO,,,"AVENIDA WASHINGTON LUIS  AV WASHINGTON LUIS, SAO PAU, 0, SAO PAULO","[-23.6596792802915, -46.69972188029149]"
