,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1375,177223,Avenida Marginal Tietê Central,6,SAO PAULO,,,"Avenida Marginal Tietê Central, 6, SAO PAULO","[-23.5200521802915, -46.6249066802915]"
1376,177511,RUA ANTONIO IERVOLINO,2,GUARULHOS,,,"RUA ANTONIO IERVOLINO, 2, GUARULHOS","[-23.4758639802915, -46.53519528029151]"
1377,177559,AVENIDA CORIFEU DE AZEVEDO MARQUES,3937,SAO PAULO,,,"AVENIDA CORIFEU DE AZEVEDO MARQUES, 3937, SAO PAULO","[-23.5644795802915, -46.7480881802915]"
1378,177572,Rodovia Régis Bittencourt,10,EMBU DAS ARTES,,,"Rodovia Régis Bittencourt, 10, EMBU DAS ARTES","[-23.6572079802915, -46.85138138029149]"
1379,177611,RUA ANTONIO JOAO DE MEDEIROS,100,SAO PAULO,,,"RUA ANTONIO JOAO DE MEDEIROS, 100, SAO PAULO","[-23.5046507802915, -46.3991495802915]"
1380,177636,AVENIDA JABAQUARA,100,SAO PAULO,,,"AVENIDA JABAQUARA, 100, SAO PAULO","[-23.6062498802915, -46.63851888029149]"
1381,177656,AVENIDA INOCENCIO SERAFICO,5230,CARAPICUIBA,,,"AVENIDA INOCENCIO SERAFICO, 5230, CARAPICUIBA","[-23.5643578802915, -46.8354459802915]"
1382,177901,AVENIDA ARICANDUVA,12000,SAO PAULO,,,"AVENIDA ARICANDUVA, 12000, SAO PAULO","[-23.5968396802915, -46.46750418029151]"
1383,177922,AVENIDA SAO GUALTER,1296,SAO PAULO,,,"AVENIDA SAO GUALTER, 1296, SAO PAULO","[-23.5478932802915, -46.71215523029149]"
1384,177986,RUA AMADOR BUENO,3019,SAO PAULO,,,"RUA AMADOR BUENO, 3019, SAO PAULO","[-23.6542073802915, -46.7170297]"
