,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1550,207612,Rodovia Presidente Dutra,0,GUARULHOS,,,"Rodovia Presidente Dutra, 0, GUARULHOS","[-23.49109978029151, -46.5494592802915]"
1551,207711,ACESSO VIADUTO NOVE DE JULHO,100,SAO PAULO,,,"ACESSO VIADUTO NOVE DE JULHO, 100, SAO PAULO","[-23.5502990802915, -46.6436663802915]"
1552,207782,Rodovia Ayrton Senna da Silva,21,GUARULHOS,,,"SP 70 OESTE, 21, GUARULHOS","[-23.5378118, -46.5773628]"
1553,208204,ESTRADA DE ITAPECERICA,4660,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 4660, SAO PAULO","[-23.6612495802915, -46.7741900802915]"
1554,208226,AVENIDA PACAEMBU,100,SAO PAULO,,,"AVENIDA PACAEMBU, 100, SAO PAULO","[-23.5289262802915, -46.6623618802915]"
1555,208435,Rodovia dos Imigrantes,18,DIADEMA,,,"Rodovia dos Imigrantes, 18, DIADEMA","[-23.7144213802915, -46.6061212802915]"
1556,208459,AVENIDA DONA RUICE FERRAZ ALVIN,100,DIADEMA,,,"AVENIDA DONA RUICE FERRAZ ALVIN, 100, DIADEMA","[-23.6875197802915, -46.6016208802915]"
1557,208722,AVENIDA MARQUES DE SAO VICENTE,1700,SAO PAULO,,,"AVENIDA MARQUES DE SAO VICENTE, 1700, SAO PAULO","[-23.5198520802915, -46.6782738802915]"
1558,208755,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100,SANTO ANDRE,,,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 100, SANTO ANDRE","[-23.6800646802915, -46.5068682802915]"
1559,208920,RUA INACIO MONTEIRO,100,SAO PAULO,,,"RUA INACIO MONTEIRO, 100, SAO PAULO","[-23.5656651802915, -46.4166633802915]"
1560,209235,AVENIDA RAGUEB CHOHFI,100,SAO PAULO,,,"AVENIDA RAGUEB CHOHFI, 100, SAO PAULO","[-23.6126079802915, -46.47541818029149]"
1561,209651,RUA VIGARIO ALBERNAZ,191,SAO PAULO,,,"RUA VIGARIO ALBERNAZ, 191, SAO PAULO","[-23.6057479802915, -46.62698528029149]"
1562,209843,AVENIDA SENADOR TEOTONIO VILELA,100,SAO PAULO,,,"AVENIDA SENADOR TEOTONIO VILELA, 100, SAO PAULO","[-23.7037140802915, -46.7027279802915]"
1563,209865,AVENIDA JOAO RAMALHO,205,MAUA,,,"AVENIDA JOAO RAMALHO, 205, MAUA","[-23.6688696802915, -46.4665917302915]"
1564,209918,VIADUTO BRESSER,10,SAO PAULO,,,"VIADUTO BRESSER, 10, SAO PAULO","[-23.5457594802915, -46.60690058029149]"
1565,209947,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO,,,"AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO, 100, SAO PAULO","[-23.5881531802915, -46.5908237802915]"
1566,210033,RUA ANTONIO MUNIZ,1951,GUARAREMA,,,"RUA ANTONIO MUNIZ, 1951, GUARAREMA","[-23.4191690802915, -46.0507082802915]"
1567,210198,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,,,"AVENIDA JOSE PINHEIRO BORGES, 1, SAO PAULO","[-23.5402989802915, -46.42517098029151]"
1568,211070,RUA CERRO CORA,0,SAO PAULO,,,"RUA CERRO CORA, 0, SAO PAULO","[-23.5370424802915, -46.7170412802915]"
1569,211134,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,,"AVENIDA DONA BELMIRA MARIN, 100, SAO PAULO","[-23.7346261802915, -46.6989712802915]"
1570,211240,AVENIDA NOSSA SENHORA DO SABARA,100,SAO PAULO,,,"AVENIDA NOSSA SENHORA DO SABARA, 100, SAO PAULO","[-23.6608157802915, -46.6994675802915]"
1571,211291,AVENIDA ANTONIA ROSA FIORAVANTE,100,MAUA,,,"AVENIDA ANTONIA ROSA FIORAVANTE, 100, MAUA","[-23.6642331802915, -46.45321988029149]"
1572,211294,Rodovia dos Bandeirantes,13,SAO PAULO,,,"Rodovia dos Bandeirantes, 13, SAO PAULO","[-23.4820610802915, -46.73916568029149]"
1573,211303,Rodovia dos Imigrantes,18,DIADEMA,,,"Rodovia dos Imigrantes, 18, DIADEMA","[-23.7144213802915, -46.6061212802915]"
1574,211519,ACESSO  M BOI MIRIM,500,SAO PAULO,,,"ACESSO  M BOI MIRIM, 500, SAO PAULO","[-23.6712772802915, -46.73944498029149]"
1575,211541,Avenida Otaviano Alves de Lima,112,SAO PAULO,,,"Avenida Otaviano Alves de Lima, 112, SAO PAULO","[-23.5084122802915, -46.6963003802915]"
1576,211543,RUA AMADOR BUENO,942,SAO PAULO,,,"RUA AMADOR BUENO, 942, SAO PAULO","[-23.6544856302915, -46.7176811302915]"
1577,211794,AVENIDA DO TABOAO,100,SAO BERNARDO DO CAMPO,,,"AVENIDA DO TABOAO, 100, SAO BERNARDO DO CAMPO","[-23.6493639802915, -46.58183948029149]"
1578,212236,AVENIDA SANTOS DUMONT,1,SAO PAULO,,,"AVENIDA SANTOS DUMONT, 1, SAO PAULO","[-23.5075575802915, -46.6292556802915]"
1579,212589,AVENIDA DO ESTADO,0,SAO PAULO,,,"AVENIDA DO ESTADO, 0, SAO PAULO","[-23.5518022802915, -46.6352601802915]"
1580,212760,RUA GALENO DE ALMEIDA,235,SAO PAULO,,,"RUA GALENO DE ALMEIDA, 235, SAO PAULO","[-23.5545076802915, -46.67957238029151]"
1581,213005,ACESSO AVENIDA VEREADOR JOSE DINIZ,100,SAO PAULO,,,"ACESSO AVENIDA VEREADOR JOSE DINIZ, 100, SAO PAULO","[-23.6296171802915, -46.68568628029149]"
1582,213019,AVENIDA SALIM FARAH MALUF,10,SAO PAULO,,,"AVENIDA SALIM FARAH MALUF, 10, SAO PAULO","[-23.5336140802915, -46.5853747802915]"
1583,213256,AVENIDA GOVERNADOR CARVALHO PINTO,1200,SAO PAULO,,,"AVENIDA GOVERNADOR CARVALHO PINTO, 1200, SAO PAULO","[-23.5164266802915, -46.5372004802915]"
1584,213609,AVENIDA LUIZ DUMONT VILLARES,100,SAO PAULO,,,"AVENIDA LUIZ DUMONT VILLARES, 100, SAO PAULO","[-23.5021343802915, -46.61614338029151]"
1585,213694,RUA DIOGO JACOME,260,SAO PAULO,,,"RUA DIOGO JACOME, 260, SAO PAULO","[-23.5957339802915, -46.6674959802915]"
1586,213822,AVENIDA SANTOS DUMONT,100,SAO PAULO,,,"AVENIDA SANTOS DUMONT, 100, SAO PAULO","[-23.5272551802915, -46.63207098029149]"
1587,214134,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO,,,"ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA, 100, SAO PAULO","[-23.5376797802915, -46.5492448802915]"
1588,214183,ESTRADA DO M'BOI MIRIM,8639,SAO PAULO,,,"ESTRADA DO M'BOI MIRIM, 8639, SAO PAULO","[-23.7190382802915, -46.7852774802915]"
1589,214358,AVENIDA MAJOR PINHEIRO FROES,100,SUZANO,,,"AVENIDA MAJOR PINHEIRO FROES, 100, SUZANO","[-23.5348712802915, -46.3100653802915]"
1590,214386,AVENIDA QUEIROZ FILHO,0,SAO PAULO,,,"AVENIDA QUEIROZ FILHO, 0, SAO PAULO","[-23.5449600802915, -46.73468228029149]"
1591,214477,VIADUTO DA INDEPENDENCIA,25,SAO CAETANO DO SUL,,,"VIADUTO DA INDEPENDENCIA, 25, SAO CAETANO DO SUL","[-23.6134957, -46.5687810802915]"
