,Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location
1199,151142,Rodovia Castelo Branco,0,BARUERI,,,"Rodovia Castelo Branco, 0, BARUERI","[-23.5108128802915, -46.8185928802915]"
1200,151150,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,,,"AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 100, DIADEMA","[-23.6870026802915, -46.62623758029149]"
1201,151232,ACESSO AVENIDA RAGUEB CHOHFI,3797,SAO PAULO,,,"ACESSO AVENIDA RAGUEB CHOHFI, 3797, SAO PAULO","[-23.5956604802915, -46.4500576802915]"
1202,151288,PONTE PRESIDENTE DUTRA,222,SAO PAULO,,,"PONTE PRESIDENTE DUTRA, 222, SAO PAULO","[-23.5317207802915, -46.5918384802915]"
1203,151436,AVENIDA ARICANDUVA,5650,SAO PAULO,,,"AVENIDA ARICANDUVA, 5650, SAO PAULO","[-23.5714012802915, -46.50605678029149]"
1204,151734,RUA DO MANIFESTO,3032,SAO PAULO,,,"RUA DO MANIFESTO, 3032, SAO PAULO","[-23.6016260802915, -46.6006665802915]"
1205,151890,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,,,"AVENIDA ENGENHEIRO CAETANO ALVARES, 100, SAO PAULO","[-23.5140031302915, -46.67183768029151]"
1206,152074,ESTRADA DE ITAPECERICA,5360,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 5360, SAO PAULO","[-23.6631337802915, -46.7803803802915]"
1207,152141,RUA CONSOLACAO,100,CARAPICUIBA,,,"RUA CONSOLACAO, 100, CARAPICUIBA","[-23.51440893029151, -46.8357149302915]"
1208,152205,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,,,"AVENIDA JOSE PINHEIRO BORGES, 1, SAO PAULO","[-23.5402989802915, -46.42517098029151]"
1209,152298,AVENIDA NATALIA ZARIF,1,GUARULHOS,,,"AVENIDA NATALIA ZARIF, 1, GUARULHOS","[-23.4277316802915, -46.4975102802915]"
1210,152371,AVENIDA DO ORATORIO,4391,SAO PAULO,,,"AVENIDA DO ORATORIO, 4391, SAO PAULO","[-23.6028606802915, -46.53320898029149]"
1211,152521,RUA INGLESA,300,SAO PAULO,,,"RUA INGLESA, 300, SAO PAULO","[-23.4867832802915, -46.61164588029149]"
1212,152698,RUA PAOLO PORPORA,406,SAO PAULO,,,"RUA PAOLO PORPORA, 406, SAO PAULO","[-23.6949283802915, -46.7875887802915]"
1213,152949,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,,,"AVENIDA ESCOLA POLITECNICA, 100, SAO PAULO","[-23.5595688802915, -46.7466419802915]"
1214,152951,AVENIDA EDSON DANILO DOTTO,100,SANTO ANDRE,,,"AVENIDA EDSON DANILO DOTTO, 100, SANTO ANDRE","[-23.6618631802915, -46.5298470802915]"
1215,153288,AVENIDA CASA GRANDE,2571,DIADEMA,,,"AVENIDA CASA GRANDE, 2571, DIADEMA","[-23.6935987302915, -46.5856885802915]"
1216,153480,RUA GIUSEPPE PIERMARINI,200,SAO PAULO,,,"RUA GIUSEPPE PIERMARINI, 200, SAO PAULO","[-23.7505450802915, -46.7022873802915]"
