,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
1700,35929,AVENIDA JOAO DIAS,799,SAO PAULO,"AVENIDA JOAO DIAS, 799, SAO PAULO","[-23.6478733802915, -46.70955928029149]"
1701,35936,AVENIDA DEPUTADO EMILIO CARLOS,665,SAO PAULO,"AVENIDA DEPUTADO EMILIO CARLOS, 665, SAO PAULO","[-23.4998929302915, -46.67720293029149]"
1702,35993,PONTE DA VILA GUILHERME,1500,SAO PAULO,"PONTE DA VILA GUILHERME, 1500, SAO PAULO","[-23.5250745802915, -46.6126392802915]"
1703,36000,Rodovia Ayrton Senna da Silva,13,SAO PAULO,"Rodovia Ayrton Senna da Silva, 13, SAO PAULO","[-23.4675243802915, -46.3702918802915]"
1704,36010,RUA MIGUEL RACHID,0,SAO PAULO,"RUA MIGUEL RACHID, 0, SAO PAULO","[-23.4939677802915, -46.47818838029149]"
1705,36016,ACESSO AVENIDA GIOVANNI GRONCHI,100,SAO PAULO,"ACESSO AVENIDA GIOVANNI GRONCHI, 100, SAO PAULO","[-23.5995150802915, -46.72175678029149]"
1706,36018,AVENIDA YERVANT KISSAJIKIAN,3620,SAO PAULO,"AVENIDA YERVANT KISSAJIKIAN, 3620, SAO PAULO","[-23.6862734802915, -46.65038648029149]"
1707,36022,VIADUTO ANTONIO ADIBE CHAMAS,100,SANTO ANDRE,"VIADUTO ANTONIO ADIBE CHAMAS, 100, SANTO ANDRE","[-23.6548118802915, -46.5304636802915]"
1708,36068,AVENIDA INTERNACIONAL,180,OSASCO,"AVENIDA INTERNACIONAL, 180, OSASCO","[-23.5556763302915, -46.7972635302915]"
1709,36069,ACESSO ESQUERDO   IMIGRANTES,1,SAO PAULO,"ACESSO ESQUERDO   IMIGRANTES, 1, SAO PAULO","[-24.0082209, -46.825514]"
1710,36075,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,"AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 100, DIADEMA","[-23.6870026802915, -46.62623758029149]"
1711,36080,AVENIDA DO ESTADO,10,SAO PAULO,"AVENIDA DO ESTADO, 10, SAO PAULO","[-23.5439561802915, -46.6303855802915]"
1712,36092,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,"VIADUTO JULIO MESQUITA FILHO, 100, SAO PAULO","[-23.5518325802915, -46.6477800802915]"
1713,36255,RUA ABILIO PEDRO RAMOS,0,SAO PAULO,"RUA ABILIO PEDRO RAMOS, 0, SAO PAULO","[-23.4642858802915, -46.5814752802915]"
1714,36263,AVENIDA ANIELO PRATICI,500,GUARULHOS,"AVENIDA ANIELO PRATICI, 500, GUARULHOS","[-23.4776243802915, -46.5310950802915]"
1715,36282,ACESSO AVENIDA RAGUEB CHOHFI,7483,SAO PAULO,"ACESSO AVENIDA RAGUEB CHOHFI, 7483, SAO PAULO","[-23.5955104802915, -46.4244729802915]"
1716,36283,RUA SOARES DE AVELLAR,0,SAO PAULO,"RUA SOARES DE AVELLAR, 0, SAO PAULO","[-23.6315394, -46.642778]"
1717,36348,AVENIDA VEREADOR JOSE DINIZ,0,SAO PAULO,"AVENIDA VEREADOR JOSE DINIZ, 0, SAO PAULO","[-23.6213060802915, -46.6786293802915]"
1718,36350,RUA DOUTOR MARIANO JATATI MARCONDES FERRAZ,190,OSASCO,"RUA DOUTOR MARIANO JATATI MARCONDES FERRAZ, 190, OSASCO","[-23.5287115802915, -46.78136398029149]"
1719,36356,AVENIDA PAULO FACINI,100,GUARULHOS,"AVENIDA PAULO FACINI, 100, GUARULHOS","[-23.4700032802915, -46.5220539802915]"
1720,36357,ACESSO ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAI,1400,SAO PAULO,"ACESSO ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAI, 1400, SAO PAULO","[-23.5863173302915, -46.5809978302915]"
1721,36361,AVENIDA DOUTOR JOSE FORNARI,10,SAO BERNARDO DO CAMPO,"AVENIDA DOUTOR JOSE FORNARI, 10, SAO BERNARDO DO CAMPO","[-23.7259263802915, -46.5507319802915]"
1722,36362,Rodovia dos Imigrantes,0,SAO BERNARDO DO CAMPO,"Rodovia dos Imigrantes, 0, SAO BERNARDO DO CAMPO","[-23.8443499802915, -46.5790287802915]"
1723,36433,RUA CHERIPA,0,SAO PAULO,"RUA CHERIPA, 0, SAO PAULO","[-23.5533354302915, -46.4482019302915]"
1724,36447,AVENIDA JOAO VENTURA DOS SANTOS,1860,BARUERI,"AVENIDA JOAO VENTURA DOS SANTOS, 1860, BARUERI","[-23.4950725802915, -46.80883368029151]"
1725,36546,AVENIDA DOUTOR JOSE FORNARI,100,SAO BERNARDO DO CAMPO,"AVENIDA DOUTOR JOSE FORNARI, 100, SAO BERNARDO DO CAMPO","[-23.7259443802915, -46.55085098029149]"
1726,36634,AVENIDA PROFESSOR FRANCISCO MORATO,0,SAO PAULO,"AVENIDA PROFESSOR FRANCISCO MORATO, 0, SAO PAULO","[-23.5920346802915, -46.7313499802915]"
1727,36641,AVENIDA TRINTA E UM DE MARCO,10,SAO BERNARDO DO CAMPO,"AVENIDA TRINTA E UM DE MARCO, 10, SAO BERNARDO DO CAMPO","[-23.6689719802915, -46.5826648802915]"
1728,36648,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,"AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 100, DIADEMA","[-23.6870026802915, -46.62623758029149]"
1729,36649,RUA MANUEL RODRIGUES SANTIAGO,70,FERRAZ DE VASCONCELOS,"RUA MANUEL RODRIGUES SANTIAGO, 70, FERRAZ DE VASCONCELOS","[-23.5149169802915, -46.3812760802915]"
1730,36655,Rodovia Hélio Smidt,2,GUARULHOS,"Rodovia Hélio Smidt, 2, GUARULHOS","[-23.4627889802915, -46.4920701802915]"
1731,36805,PONTE TATUAPE,1,SAO PAULO,"PONTE TATUAPE, 1, SAO PAULO","[-23.5236460802915, -46.5871472802915]"
1732,36807,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,"AVENIDA ENGENHEIRO CAETANO ALVARES, 100, SAO PAULO","[-23.5140031302915, -46.67183768029151]"
1733,36826,RUA BANDEIRA PAULISTA,0,SAO PAULO,"RUA BANDEIRA PAULISTA, 0, SAO PAULO","[-23.5852917802915, -46.6769225802915]"
1734,36890,ACESSO ESQUERDO   IMIGRANTES,13,SAO PAULO,"ACESSO ESQUERDO   IMIGRANTES, 13, SAO PAULO","[-23.6060145802915, -46.6271334802915]"
1735,36895,AVENIDA RAGUEB CHOHFI,100,SAO PAULO,"AVENIDA RAGUEB CHOHFI, 100, SAO PAULO","[-23.6126079802915, -46.47541818029149]"
1736,36922,AVENIDA DOS ESTADOS,10300,SANTO ANDRE,"AVENIDA DOS ESTADOS, 10300, SANTO ANDRE","[-23.6536014802915, -46.4941475802915]"
1737,36963,RUA PROFESSOR ALVARO PAVAN,2149,MOGI DAS CRUZES,"RUA PROFESSOR ALVARO PAVAN, 2149, MOGI DAS CRUZES","[-23.5174703, -46.1882311]"
1738,36966,AVENIDA ALDA,2452,DIADEMA,"AVENIDA ALDA, 2452, DIADEMA","[-23.7060457802915, -46.6279772802915]"
1739,36968,VIADUTO PROFESSOR JOSSEI TODA,10,GUARULHOS,"VIADUTO PROFESSOR JOSSEI TODA, 10, GUARULHOS","[-23.4596809802915, -46.4925009]"
1740,36977,RUA JOSE FELIX,228,SAO PAULO,"RUA JOSE FELIX, 228, SAO PAULO","[-23.6112806802915, -46.75357078029151]"
1741,37054,ESTRADA DA ROSEIRA,8800,MAIRIPORA,"ESTRADA DA ROSEIRA, 8800, MAIRIPORA","[-23.3773270802915, -46.6145736802915]"
1742,37056,AVENIDA ARMANDO SALES DE OLIVEIRA,814,SUZANO,"AVENIDA ARMANDO SALES DE OLIVEIRA, 814, SUZANO","[-23.5413519302915, -46.3163839802915]"
1743,37057,RUA PEDRO MEDEIROS,22,SAO PAULO,"RUA PEDRO MEDEIROS, 22, SAO PAULO","[-23.6130417802915, -46.4539776802915]"
1744,37066,RUA DOMINGOS DE MORAIS,100,SAO PAULO,"RUA DOMINGOS DE MORAIS, 100, SAO PAULO","[-23.5795104802915, -46.6425306802915]"
1745,37075,RUA AFONSO LOPES VIEIRA,0,SAO PAULO,"RUA AFONSO LOPES VIEIRA, 0, SAO PAULO","[-23.4686538, -46.6681199]"
1746,37081,ACESSO AVENIDA REBOUCAS,100,SAO PAULO,"ACESSO AVENIDA REBOUCAS, 100, SAO PAULO","[-23.5750257, -46.6983054]"
1747,37180,Rodovia Régis Bittencourt,281,EMBU DAS ARTES,"Rodovia Régis Bittencourt, 281, EMBU DAS ARTES","[-23.6687522802915, -46.8567699802915]"
1748,37211,AVENIDA MARGINAL DO RIBEIRAO,5600,CARAPICUIBA,"AVENIDA MARGINAL DO RIBEIRAO, 5600, CARAPICUIBA","[-23.5681549802915, -46.8314420302915]"
1749,37267,Avenida Marginal Tietê Central,100,SAO PAULO,"Avenida Marginal Tietê Central, 100, SAO PAULO","[-23.5227137802915, -46.6139964802915]"
1750,37269,Avenida Assis Chateaubriand,385,SAO PAULO,"Avenida Assis Chateaubriand, 385, SAO PAULO","[-23.5193716802915, -46.63724458029151]"
1751,37272,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE,"RUA GEOVANE BATISTA PIRELI, 100, SANTO ANDRE","[-23.6657309802915, -46.4912789802915]"
1752,37276,Rodovia Ayrton Senna da Silva,11,GUARULHOS,"Rodovia Ayrton Senna da Silva, 11, GUARULHOS","[-23.4736483802915, -46.4991869802915]"
1753,37288,AVENIDA SAPOPEMBA,2769,SAO PAULO,"AVENIDA SAPOPEMBA, 2769, SAO PAULO","[-23.5743762802915, -46.5636526802915]"
1754,37354,Rodovia Prefeito Luiz Salomão Chamma,0,FRANCO DA ROCHA,"Rodovia Prefeito Luiz Salomão Chamma, 0, FRANCO DA ROCHA","[-23.3327655802915, -46.6880585802915]"
1755,37361,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
1756,37372,PRACA MINISTRO PEDRO CHAVES,230,SAO PAULO,"PRACA MINISTRO PEDRO CHAVES, 230, SAO PAULO","[-23.6548269802915, -46.68119848029151]"
1757,37438,RUA DO LAVAPES,100,SAO PAULO,"RUA DO LAVAPES, 100, SAO PAULO","[-23.5611700802915, -46.6316374802915]"
1758,37440,AVENIDA WINSTON CHURCHIL,1679,SANTO ANDRE,"AVENIDA WINSTON CHURCHIL, 1679, SANTO ANDRE","[-23.6704195802915, -46.5549937802915]"
1759,37476,RUA DO GASOMETRO,571,SAO PAULO,"RUA DO GASOMETRO, 571, SAO PAULO","[-23.5450069802915, -46.6220940802915]"
1760,37480,AVENIDA ROMANOFF,516,CARAPICUIBA,"AVENIDA ROMANOFF, 516, CARAPICUIBA","[-23.5323686802915, -46.8341279802915]"
1761,37486,PONTE TATUAPE,100,SAO PAULO,"PONTE TATUAPE, 100, SAO PAULO","[-23.5299735802915, -46.5863337802915]"
