,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
1400,27805,ESTRADA SAO MARCOS,36,EMBU DAS ARTES,"ESTRADA SAO MARCOS, 36, EMBU DAS ARTES","[-23.6593162302915, -46.8158399802915]"
1401,27806,Rodovia Hélio Smidt,2,GUARULHOS,"Rodovia Hélio Smidt, 2, GUARULHOS","[-23.4627889802915, -46.4920701802915]"
1402,27847,AVENIDA DO TABOAO,2,SAO BERNARDO DO CAMPO,"AVENIDA DO TABOAO, 2, SAO BERNARDO DO CAMPO","[-23.6493634802915, -46.58090473029149]"
1403,27914,AVENIDA DONA BELMIRA MARIN,1358,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 1358, SAO PAULO","[-23.7432508302915, -46.69342303029151]"
1404,27916,ACESSO DOUTOR EDUARDO COTCHING,1810,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 1810, SAO PAULO","[-23.56711078029151, -46.5463896802915]"
1405,27931,AVENIDA DOUTOR CANDIDO MOTTA FILHO,829,SAO PAULO,"AVENIDA DOUTOR CANDIDO MOTTA FILHO, 829, SAO PAULO","[-23.5605852802915, -46.76382518029149]"
1406,27937,AVENIDA NOVE DE JULHO,10,SAO PAULO,"AVENIDA NOVE DE JULHO, 10, SAO PAULO","[-23.5498509802915, -46.6404545802915]"
1407,27955,ALAMEDA AMERICA,60,SANTANA DE PARNAIBA,"ALAMEDA AMERICA, 60, SANTANA DE PARNAIBA","[-23.4789784802915, -46.8327017802915]"
1408,27957,AVENIDA CARLOS CALDEIRA FILHO,1,SAO PAULO,"AVENIDA CARLOS CALDEIRA FILHO, 1, SAO PAULO","[-23.6410534802915, -46.7463308802915]"
1409,28002,AVENIDA INAJAR DE SOUZA,3000,SAO PAULO,"AVENIDA INAJAR DE SOUZA, 3000, SAO PAULO","[-23.4837754802915, -46.6776817802915]"
1410,28006,PRACA QUATORZE BIS,26,SAO PAULO,"PRACA QUATORZE BIS, 26, SAO PAULO","[-23.5567408802915, -46.65127778029149]"
1411,28022,RUA HEITOR PENTEADO,499,SANTO ANDRE,"RUA HEITOR PENTEADO, 499, SANTO ANDRE","[-23.7065556802915, -46.5161233802915]"
1412,28032,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2015,SAO PAULO,"AVENIDA DEPUTADO CANTIDIO SAMPAIO, 2015, SAO PAULO","[-23.4639813302915, -46.6851325302915]"
1413,28145,AVENIDA DOUTOR CHUCRI ZAIDAN,100,SAO PAULO,"AVENIDA DOUTOR CHUCRI ZAIDAN, 100, SAO PAULO","[-23.6168173802915, -46.6983979802915]"
1414,28155,RUA DAS TRES MARIAS,1,SAO PAULO,"RUA DAS TRES MARIAS, 1, SAO PAULO","[-23.7038431802915, -46.7846300802915]"
1415,28161,RUA ESTEVAN DE ALMEIDA,99,FRANCISCO MORATO,"RUA ESTEVAN DE ALMEIDA, 99, FRANCISCO MORATO","[-23.2897165802915, -46.7329713802915]"
1416,28179,PONTE DO LIMAO,10,SAO PAULO,"PONTE DO LIMAO, 10, SAO PAULO","[-23.5171690802915, -46.6681427802915]"
1417,28231,AVENIDA DIEDERICHSEN,1307,SAO PAULO,"AVENIDA DIEDERICHSEN, 1307, SAO PAULO","[-23.6347024802915, -46.6382993802915]"
1418,28237,AVENIDA DO ESTADO,4531,SAO PAULO,"AVENIDA DO ESTADO, 4531, SAO PAULO","[-23.5552810802915, -46.6262096802915]"
1419,28240,AVENIDA ROQUE PETRONI JUNIOR,100,SAO PAULO,"AVENIDA ROQUE PETRONI JUNIOR, 100, SAO PAULO","[-23.6269995802915, -46.6892501802915]"
1420,28296,RUA ASCENSO FERNANDES,127,SAO PAULO,"RUA ASCENSO FERNANDES, 127, SAO PAULO","[-23.4797708802915, -46.4254728802915]"
1421,28298,AVENIDA PROFESSOR EDGAR SANTOS,2647,SAO PAULO,"AVENIDA PROFESSOR EDGAR SANTOS, 2647, SAO PAULO","[-23.5540262, -46.5018235]"
1422,28304,AVENIDA JOAO DIAS,100,SAO PAULO,"AVENIDA JOAO DIAS, 100, SAO PAULO","[-23.6453355802915, -46.7036504802915]"
1423,28305,AVENIDA DONA BELMIRA MARIN,2578,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 2578, SAO PAULO","[-23.7566710802915, -46.67812678029149]"
1424,28364,ACESSO DOUTOR EDUARDO COTCHING,586,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 586, SAO PAULO","[-23.5641896802915, -46.5561083802915]"
1425,28383,RUA MARINOPOLIS,0,GUARULHOS,"RUA MARINOPOLIS, 0, GUARULHOS","[-23.4234907802915, -46.4302538802915]"
1426,28391,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,1,MAUA,"AVENIDA GOVERNADOR MARIO COVAS JUNIOR, 1, MAUA","[-23.6667283802915, -46.4617416802915]"
1427,28454,RUA PRESIDENTE CAMPOS SALLES,0,MOGI DAS CRUZES,"RUA PRESIDENTE CAMPOS SALLES, 0, MOGI DAS CRUZES","[-23.5218522802915, -46.2039401802915]"
1428,28455,RUA AGUA BRANCA,304,EMBU DAS ARTES,"RUA AGUA BRANCA, 304, EMBU DAS ARTES","[-23.6550290802915, -46.8040372302915]"
1429,28467,RUA PIAUI,100,BARUERI,"RUA PIAUI, 100, BARUERI","[-23.5168910802915, -46.85895008029149]"
1430,28470,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 5855, SANTO ANDRE","[-23.7052783302915, -46.5055715302915]"
1431,28525,ACESSO DOUTOR EDUARDO COTCHING,1800,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 1800, SAO PAULO","[-23.5670631802915, -46.5464892802915]"
1432,28527,Avenida Engenheiro Billings,514,SAO PAULO,"Avenida Engenheiro Billings, 514, SAO PAULO","[-23.5357474802915, -46.7497367802915]"
1433,28587,ACESSO AVENIDA ENGENHEIRO OLAVO ALAISIO DE LIMA,243,SANTO ANDRE,"ACESSO AVENIDA ENGENHEIRO OLAVO ALAISIO DE LIMA, 243, SANTO ANDRE","[-23.6326372802915, -46.5288217802915]"
1434,28617,ACESSO JD PARANAVAI  V NOVA MAUA,0,MAUA,"ACESSO JD PARANAVAI  V NOVA MAUA, 0, MAUA","[-23.6837382802915, -46.46264118029149]"
1435,28619,Rodovia João Afonso de Souza Castellano,10,ITAQUAQUECETUBA,"Rodovia João Afonso de Souza Castellano, 10, ITAQUAQUECETUBA","[-23.5102699802915, -46.3433827802915]"
1436,28668,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI,"AVENIDA MARCO ANTONIO CALEGARI, 100, BARUERI","[-23.5274237, -46.8640458]"
1437,28678,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,10,MAUA,"AVENIDA GOVERNADOR MARIO COVAS JUNIOR, 10, MAUA","[-23.6684176802915, -46.46113058029151]"
1438,28683,ACESSO CANAL DE COCAIA,4006,SAO PAULO,"ACESSO CANAL DE COCAIA, 4006, SAO PAULO","[-23.7351079802915, -46.6650144802915]"
1439,28740,AVENIDA BRIGADEIRO LUIS ANTONIO,3875,SAO PAULO,"AVENIDA BRIGADEIRO LUIS ANTONIO, 3875, SAO PAULO","[-23.5794650302915, -46.6612297302915]"
1440,28816,RUA DA GOIABEIRA SERRANA,608,SAO PAULO,"RUA DA GOIABEIRA SERRANA, 608, SAO PAULO","[-23.4832272802915, -46.4142171802915]"
