,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
2000,42108,AVENIDA ODAIR PACHECO PEDROSO,100,COTIA,"AVENIDA ODAIR PACHECO PEDROSO, 100, COTIA","[-23.6305078802915, -46.9105399802915]"
2001,42132,RUA GEOVANE BATISTA PIRELI,100,SANTO ANDRE,"RUA GEOVANE BATISTA PIRELI, 100, SANTO ANDRE","[-23.6657309802915, -46.4912789802915]"
2002,42134,RUA NELSOM FERREIRA DA COSTA,10,ITAPEVI,"RUA NELSOM FERREIRA DA COSTA, 10, ITAPEVI","[-23.5374100802915, -46.9262913802915]"
2003,42145,RUA BAUMANN,0,SAO PAULO,"RUA BAUMANN, 0, SAO PAULO","[-23.5382747802915, -46.7305485802915]"
2004,42202,ESTRADA DO LAGEADO VELHO,495,SAO PAULO,"ESTRADA DO LAGEADO VELHO, 495, SAO PAULO","[-23.5379042802915, -46.4058665802915]"
2005,42214,RUA CAPITANIAS HEREDITARIAS,980,SAO PAULO,"RUA CAPITANIAS HEREDITARIAS, 980, SAO PAULO","[-23.6683984802915, -46.7450813802915]"
2006,42296,VIADUTO CARLOS FERRACI,1,SAO PAULO,"VIADUTO CARLOS FERRACI, 1, SAO PAULO","[-23.5400878802915, -46.5728194802915]"
2007,42302,ESTACAO METRO ARTUR ALVIM,10,SAO PAULO,"ESTACAO METRO ARTUR ALVIM, 10, SAO PAULO","[-23.5423236802915, -46.4860054802915]"
2008,42318,AVENIDA RENOVA DOS SANTOS,100,ARUJA,"AVENIDA RENOVA DOS SANTOS, 100, ARUJA","[-23.3993458802915, -46.3351424802915]"
2009,42319,ESTRADA ALBINO MARTELO,100,GUARULHOS,"ESTRADA ALBINO MARTELO, 100, GUARULHOS","[-23.3896960802915, -46.4139072802915]"
2010,42321,AVENIDA CALIM EID,0,SAO PAULO,"AVENIDA CALIM EID, 0, SAO PAULO","[-23.5232936802915, -46.49658788029149]"
