,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
2300,47357,AVENIDA SAO JOAO,100,SAO PAULO,"AVENIDA SAO JOAO, 100, SAO PAULO","[-23.5465186802915, -46.6361912802915]"
2301,47365,RUA CASTRO VERDE,1,SAO PAULO,"RUA CASTRO VERDE, 1, SAO PAULO","[-23.6389239802915, -46.71762028029149]"
2302,47369,RUA SILVA TELES,1790,SAO PAULO,"RUA SILVA TELES, 1790, SAO PAULO","[-23.5255600802915, -46.6059701802915]"
2303,47449,PRACA DOS EXPEDICIONARIOS,100,SAO BERNARDO DO CAMPO,"PRACA DOS EXPEDICIONARIOS, 100, SAO BERNARDO DO CAMPO","[-23.6858710802915, -46.5568939802915]"
2304,47452,PARQUE RAPOSO TAVARES,13,SAO PAULO,"PARQUE RAPOSO TAVARES, 13, SAO PAULO","[-23.5897537802915, -46.75754758029149]"
2305,47505,MARGINAL MARGINAL TIETE CENTRAL,1,SAO PAULO,"MARGINAL MARGINAL TIETE CENTRAL, 1, SAO PAULO","[-23.5200540802915, -46.62441098029149]"
2306,47508,RUA TORIBATE,1,SAO PAULO,"RUA TORIBATE, 1, SAO PAULO","[-23.5941357802915, -46.6197050802915]"
2307,47509,AVENIDA WASHINGTON LUIS,0,SAO PAULO,"AVENIDA WASHINGTON LUIS, 0, SAO PAULO","[-23.6305459802915, -46.6681449802915]"
2308,47520,RUA QUARARIBEIA,199,SAO PAULO,"RUA QUARARIBEIA, 199, SAO PAULO","[-23.6717710802915, -46.6917171802915]"
2309,47522,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 1, SAO PAULO","[-23.5402989802915, -46.42517098029151]"
2310,47674,RUA SANTO ANTONIO DE OSSELA,816,SAO PAULO,"RUA SANTO ANTONIO DE OSSELA, 816, SAO PAULO","[-23.7550674802915, -46.6803414802915]"
2311,47682,RUA BRESSER,1401,SAO PAULO,"RUA BRESSER, 1401, SAO PAULO","[-23.5436226302915, -46.6083020302915]"
2312,47686,AVENIDA ANTONIA ROSA FIORAVANTE,100,MAUA,"AVENIDA ANTONIA ROSA FIORAVANTE, 100, MAUA","[-23.6642331802915, -46.45321988029149]"
2313,47694,AVENIDA JACUPESSEGO,100,SAO PAULO,"AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
2314,47695,ESTRADA DOS ALVARENGAS,88008,SAO BERNARDO DO CAMPO,"ESTRADA DOS ALVARENGAS, 88008, SAO BERNARDO DO CAMPO","[-23.7569838, -46.6319212]"
2315,47703,CONTORNO RADIAL LESTE OESTE,450,SAO PAULO,"CONTORNO RADIAL LESTE OESTE, 450, SAO PAULO","[-23.5663706, -46.6367462]"
2316,47707,AVENIDA AMADOR BUENO DA VEIGA,100,SAO PAULO,"AVENIDA AMADOR BUENO DA VEIGA, 100, SAO PAULO","[-23.5245551802915, -46.54508978029149]"
2317,47710,RUA ENG JOSE CRUZ DE OLIVEIRA,20,SAO PAULO,"RUA ENG JOSE CRUZ DE OLIVEIRA, 20, SAO PAULO","[-23.4937384802915, -46.45939258029149]"
2318,47794,AVENIDA MARGINAL DO RIO PINHEIROS,1,SAO PAULO,"AVENIDA MARGINAL DO RIO PINHEIROS, 1, SAO PAULO","[-23.6464660802915, -46.72883278029149]"
2319,47796,ESTRADA DE ITAPECERICA,1,SAO PAULO,"ESTRADA DE ITAPECERICA, 1, SAO PAULO","[-23.6452717802915, -46.7438362802915]"
