,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
500,9955,AVENIDA MORUMBI,3768,SAO PAULO,"AVENIDA MORUMBI, 3768, SAO PAULO","[-23.59962568029151, -46.7099815802915]"
501,9959,AVENIDA HONORIO ALVARES PENTEADO,90,SANTANA DE PARNAIBA,"AVENIDA HONORIO ALVARES PENTEADO, 90, SANTANA DE PARNAIBA","[-23.4447580802915, -46.8330898802915]"
502,9963,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53,SAO PAULO,"AVENIDA DOUTOR GUILHERME DUMONT VILLARES, 53, SAO PAULO","[-23.6057357802915, -46.7483232802915]"
503,10020,RUA SALVADOR DALI,31,SAO PAULO,"RUA SALVADOR DALI, 31, SAO PAULO","[-23.71034138029151, -46.65632688029149]"
504,10096,RUA JURUBATUBA,122,SAO BERNARDO DO CAMPO,"RUA JURUBATUBA, 122, SAO BERNARDO DO CAMPO","[-23.6996340802915, -46.5551485802915]"
505,10098,AVENIDA MARGINAL DO RIBEIRAO,1000,CARAPICUIBA,"AVENIDA MARGINAL DO RIBEIRAO, 1000, CARAPICUIBA","[-23.5544839802915, -46.8226399802915]"
506,10107,Rodovia Armando Salles,6300,SAO PAULO,"Rodovia Armando Salles, 6300, SAO PAULO","[-23.6870463802915, -46.80246208029149]"
507,10113,Rodovia Professor Simão Faiguenboim,514,SAO PAULO,"Rodovia Professor Simão Faiguenboim, 514, SAO PAULO","[-23.5353578802915, -46.75039158029149]"
508,10120,AVENIDA DOM PEDRO II,411,SANTO ANDRE,"AVENIDA DOM PEDRO II, 411, SANTO ANDRE","[-23.6533059802915, -46.5356922802915]"
509,10184,PARQUE RAPOSO TAVARES,13,SAO PAULO,"PARQUE RAPOSO TAVARES, 13, SAO PAULO","[-23.5897537802915, -46.75754758029149]"
510,10186,AVENIDA JORNALISTA ROBERTO MARINHO,699,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 699, SAO PAULO","[-23.6152761802915, -46.6948848802915]"
511,10188,Rodovia Professor Alfredo Rolim de Moura,32.6,ARUJA,"Rodovia Professor Alfredo Rolim de Moura, 32.6, ARUJA","[-23.5438650802915, -46.1548396802915]"
512,10189,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100,SAO BERNARDO DO CAMPO,"AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 100, SAO BERNARDO DO CAMPO","[-23.6958294802915, -46.58590498029151]"
513,10191,VIADUTO DO GLICERIO,100,SAO PAULO,"VIADUTO DO GLICERIO, 100, SAO PAULO","[-23.5574862802915, -46.6303012802915]"
514,10192,AVENIDA CHICA LUISA,2355,SAO PAULO,"AVENIDA CHICA LUISA, 2355, SAO PAULO","[-23.4500091802915, -46.7569175802915]"
515,10196,AVENIDA PROFESSOR FRANCISCO MORATO,10,SAO PAULO,"AVENIDA PROFESSOR FRANCISCO MORATO, 10, SAO PAULO","[-23.5739438802915, -46.7063940802915]"
516,10202,ACESSO AVENIDA DO ESTADO,1255,SAO CAETANO DO SUL,"ACESSO AVENIDA DO ESTADO, 1255, SAO CAETANO DO SUL","[-23.61284048029151, -46.5593346802915]"
517,10248,ALAMEDA AFONSO SCHMIDT,745,SAO PAULO,"ALAMEDA AFONSO SCHMIDT, 745, SAO PAULO","[-23.4960575802915, -46.63633838029151]"
518,10249,AVENIDA JOAO PAULO PRIMEIRO,1711,SAO PAULO,"AVENIDA JOAO PAULO PRIMEIRO, 1711, SAO PAULO","[-23.4793328802915, -46.6867793802915]"
