,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
2600,53106,AVENIDA SEN TEOTONIO VILELA  AV SEN TEOTONIO VILEL,2212,SAO PAULO,"AVENIDA SEN TEOTONIO VILELA  AV SEN TEOTONIO VILEL, 2212, SAO PAULO","[-23.7220478802915, -46.6996009802915]"
2601,53150,Rodovia Raposo Tavares,0,SAO PAULO,"Rodovia Raposo Tavares, 0, SAO PAULO","[-23.5892479802915, -46.7523629802915]"
2602,53217,RUA DOUTOR SENG,85,SAO PAULO,"RUA DOUTOR SENG, 85, SAO PAULO","[-23.56406013029151, -46.6512904302915]"
2603,53218,AVENIDA TENENTE MARQUES,2805,CAJAMAR,"AVENIDA TENENTE MARQUES, 2805, CAJAMAR","[-23.4109940802915, -46.8500899302915]"
2604,53219,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,"AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 100, DIADEMA","[-23.6870026802915, -46.62623758029149]"
2605,53224,AVENIDA DOM PEDRO II,100,SANTO ANDRE,"AVENIDA DOM PEDRO II, 100, SANTO ANDRE","[-23.6555501802915, -46.5343129802915]"
2606,53235,Rodovia Engenheiro Renê Benedito Silva,1,BARUERI,"Rodovia Engenheiro Renê Benedito Silva, 1, BARUERI","[-23.5522144802915, -46.94018448029149]"
2607,53238,PRACA NOVO MUNDO,100,SAO PAULO,"PRACA NOVO MUNDO, 100, SAO PAULO","[-23.5178600802915, -46.56966508029149]"
2608,53243,AVENIDA CONDE DE FRONTIN,2900,SAO PAULO,"AVENIDA CONDE DE FRONTIN, 2900, SAO PAULO","[-23.5336333802915, -46.5298925802915]"
2609,53248,ACESSO AVENIDA PADRE ANCHIETA,1,SAO BERNARDO DO CAMPO,"ACESSO AVENIDA PADRE ANCHIETA, 1, SAO BERNARDO DO CAMPO","[-23.6850229802915, -46.5686949802915]"
2610,53249,AVENIDA RIO BRANCO,0,SAO PAULO,"AVENIDA RIO BRANCO, 0, SAO PAULO","[-23.5419764802915, -46.6403997802915]"
2611,53309,AVENIDA MARGINAL,0,SAO PAULO,"AVENIDA MARGINAL, 0, SAO PAULO","[-23.5197062802915, -46.61696518029149]"
2612,53388,ALAMEDA ARAGUAIA,2049,BARUERI,"ALAMEDA ARAGUAIA, 2049, BARUERI","[-23.5015612802915, -46.8416394802915]"
