,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
300,6390,RUA EPIACABA,0,SAO PAULO,"RUA EPIACABA, 0, SAO PAULO","[-23.6344528802915, -46.5882841802915]"
301,6392,AVENIDA JOAO PAULO I,1717,EMBU DAS ARTES,"AVENIDA JOAO PAULO I, 1717, EMBU DAS ARTES","[-23.6383826802915, -46.8238253802915]"
302,6400,ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,1501,SAO PAULO,"ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO, 1501, SAO PAULO","[-23.58567558029151, -46.58047938029149]"
303,6406,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,600,SAO PAULO,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 600, SAO PAULO","[-23.6351582802915, -46.6448700802915]"
304,6464,RUA MARECHAL DEODORO,420,SAO BERNARDO DO CAMPO,"RUA MARECHAL DEODORO, 420, SAO BERNARDO DO CAMPO","[-23.7030239802915, -46.5530568802915]"
305,6467,AVENIDA MARCO ANTONIO CALEGARI,100,BARUERI,"AVENIDA MARCO ANTONIO CALEGARI, 100, BARUERI","[-23.5274237, -46.8640458]"
306,6477,RUA MAJOR LUCIO DIAS RAMOS,2755,SAO PAULO,"RUA MAJOR LUCIO DIAS RAMOS, 2755, SAO PAULO","[-23.7644153802915, -46.6968994802915]"
307,6478,AVENIDA MAZZEI,203,SAO PAULO,"AVENIDA MAZZEI, 203, SAO PAULO","[-23.4794560802915, -46.60802408029151]"
308,6543,AVENIDA EMILIO RIBAS,176,GUARULHOS,"AVENIDA EMILIO RIBAS, 176, GUARULHOS","[-23.4712572802915, -46.53772018029149]"
309,6545,ESTRADA DO M'BOI MIRIM,8650,SAO PAULO,"ESTRADA DO M'BOI MIRIM, 8650, SAO PAULO","[-23.7187198802915, -46.78529088029149]"
310,6556,AVENIDA DO CURSINO,901,SAO PAULO,"AVENIDA DO CURSINO, 901, SAO PAULO","[-23.6118291802915, -46.61880328029149]"
311,6561,AVENIDA PAES DE BARROS,187,SAO PAULO,"AVENIDA PAES DE BARROS, 187, SAO PAULO","[-23.5586064802915, -46.6014355802915]"
312,6566,AVENIDA MARECHAL TITO,7300,SAO PAULO,"AVENIDA MARECHAL TITO, 7300, SAO PAULO","[-23.4948349802915, -46.4418649802915]"
313,6631,ACESSO CANAL DE COCAIA,1257,SAO PAULO,"ACESSO CANAL DE COCAIA, 1257, SAO PAULO","[-23.7471846802915, -46.67287048029149]"
314,6635,ACESSO SAO MIGUEL,1900,SAO PAULO,"ACESSO SAO MIGUEL, 1900, SAO PAULO","[-23.5135943802915, -46.51349638029149]"
315,6727,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,2000,SAO PAULO,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 2000, SAO PAULO","[-23.6466272802915, -46.64257518029151]"
316,6737,RUA CLOVIS BEVILAQUA,620,FERRAZ DE VASCONCELOS,"RUA CLOVIS BEVILAQUA, 620, FERRAZ DE VASCONCELOS","[-23.5386586802915, -46.37438898029149]"
317,6738,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 10, SAO PAULO","[-23.5281067802915, -46.43331918029149]"
318,6744,PONTE ORESTES QUERCIA,0,SAO PAULO,"PONTE ORESTES QUERCIA, 0, SAO PAULO","[-23.5198468802915, -46.63916648029149]"
319,6745,AVENIDA BRIGADEIRO FARIA LIMA,1682,SAO BERNARDO DO CAMPO,"AVENIDA BRIGADEIRO FARIA LIMA, 1682, SAO BERNARDO DO CAMPO","[-23.71465228029151, -46.5534809802915]"
320,6799,AVENIDA CARLOS CALDEIRA FILHO,2457,SAO PAULO,"AVENIDA CARLOS CALDEIRA FILHO, 2457, SAO PAULO","[-23.6482231802915, -46.7571324802915]"
321,6803,AVENIDA MORUMBI,4754,SAO PAULO,"AVENIDA MORUMBI, 4754, SAO PAULO","[-23.6074139802915, -46.7140333802915]"
322,6809,RUA IRMA CAROLINA,635,SAO PAULO,"RUA IRMA CAROLINA, 635, SAO PAULO","[-23.5396165802915, -46.5843552802915]"
323,6819,PRACA LEONOR KAUPA,100,SAO PAULO,"PRACA LEONOR KAUPA, 100, SAO PAULO","[-23.6211668802915, -46.6281573802915]"
324,6877,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
325,6881,ACESSO AVENIDA SAO MIGUEL,8730,SAO PAULO,"ACESSO AVENIDA SAO MIGUEL, 8730, SAO PAULO","[-23.4980207802915, -46.4544594802915]"
326,6882,PRACA FRANCISCO PEREIRA,80,SAO PAULO,"PRACA FRANCISCO PEREIRA, 80, SAO PAULO","[-23.5009680802915, -46.42400213029151]"
327,6890,ESTRADA DOS ALVARENGAS,53038,SAO BERNARDO DO CAMPO,"ESTRADA DOS ALVARENGAS, 53038, SAO BERNARDO DO CAMPO","[-23.7569838, -46.6319212]"
328,6893,RUA TAUBATE,1316,SAO PAULO,"RUA TAUBATE, 1316, SAO PAULO","[-23.5625656802915, -46.5371470802915]"
329,6895,ESTRADA DO MONTE NEGRO,7,SANTA ISABEL,"ESTRADA DO MONTE NEGRO, 7, SANTA ISABEL","[-23.3097142802915, -46.2104914802915]"
330,6957,AVENIDA PREFEITO HIRANT SANAZAR,98,OSASCO,"AVENIDA PREFEITO HIRANT SANAZAR, 98, OSASCO","[-23.5502399802915, -46.7779338302915]"
331,6965,AVENIDA FRANCISCO FERREIRA LOPES,2737,MOGI DAS CRUZES,"AVENIDA FRANCISCO FERREIRA LOPES, 2737, MOGI DAS CRUZES","[-23.5394423802915, -46.22614988029149]"
332,6967,RUA ROSA KASINSKI,100,MAUA,"RUA ROSA KASINSKI, 100, MAUA","[-23.6615018802915, -46.4775645802915]"
333,6970,AVENIDA MARIA CAMPOS,2,OSASCO,"AVENIDA MARIA CAMPOS, 2, OSASCO","[-23.5331622802915, -46.77484588029149]"
334,6980,RUA SAO CAETANO,452,EMBU DAS ARTES,"RUA SAO CAETANO, 452, EMBU DAS ARTES","[-23.6550164802915, -46.8124984802915]"
335,6984,Avenida Otaviano Alves de Lima,583,SAO PAULO,"Avenida Otaviano Alves de Lima, 583, SAO PAULO","[-23.5126652802915, -46.6812765802915]"
336,6991,RUA ARICANGA,1208,SAO PAULO,"RUA ARICANGA, 1208, SAO PAULO","[-23.5080052802915, -46.41287688029149]"
337,7048,VIADUTO CARLOS DE CAMPOS  TRECHO VILA MATILDE,1,SAO PAULO,"VIADUTO CARLOS DE CAMPOS  TRECHO VILA MATILDE, 1, SAO PAULO","[-23.5347627802915, -46.54245018029151]"
338,7054,AVENIDA MORUMBI,8575,SAO PAULO,"AVENIDA MORUMBI, 8575, SAO PAULO","[-23.6230637302915, -46.6894114302915]"
339,7059,ACESSO AVENIDA SALIM FARAH MALUF,100,SAO PAULO,"ACESSO AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]"
340,7069,AVENIDA DOS BANDEIRANTES,5495,SAO PAULO,"AVENIDA DOS BANDEIRANTES, 5495, SAO PAULO","[-23.6266259802915, -46.6504629802915]"
341,7070,ALAMEDA AFONSO SCHMIDT,745,SAO PAULO,"ALAMEDA AFONSO SCHMIDT, 745, SAO PAULO","[-23.4960575802915, -46.63633838029151]"
342,7123,AVENIDA PRESIDENTE CASTELO BRANCO,746,MAUA,"AVENIDA PRESIDENTE CASTELO BRANCO, 746, MAUA","[-23.6599722802915, -46.4491458802915]"
343,7192,ACESSO AVENIDA SANTOS DUMONT,10,SANTO ANDRE,"ACESSO AVENIDA SANTOS DUMONT, 10, SANTO ANDRE","[-23.6677983802915, -46.5222407802915]"
344,7241,RUA ORATORIO,1762,SANTO ANDRE,"RUA ORATORIO, 1762, SANTO ANDRE","[-23.6382861802915, -46.5178281802915]"
345,7246,RUA VERGUEIRO,4500,SAO PAULO,"RUA VERGUEIRO, 4500, SAO PAULO","[-23.5970013802915, -46.6257180802915]"
346,7250,AVENIDA HENRIQUE PERES,479,MOGI DAS CRUZES,"AVENIDA HENRIQUE PERES, 479, MOGI DAS CRUZES","[-23.5403225302915, -46.2183433802915]"
347,7257,AVENIDA MANOEL PEDRO PIMENTEL,365,OSASCO,"AVENIDA MANOEL PEDRO PIMENTEL, 365, OSASCO","[-23.5345019802915, -46.76188798029151]"
348,7310,RUA SENA MADUREIRA,415,SAO PAULO,"RUA SENA MADUREIRA, 415, SAO PAULO","[-23.5953446302915, -46.6414882802915]"
349,7323,ALAMEDA DOS IPES,0,OSASCO,"ALAMEDA DOS IPES, 0, OSASCO","[-23.5412746802915, -46.7891029802915]"
