,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
1145,21980,RUA KUMAKI AOKI,363,SAO PAULO,"RUA KUMAKI AOKI, 363, SAO PAULO","[-23.4815490802915, -46.4274083802915]"
1146,22047,ESTRADA DA BARONESA,639,SAO PAULO,"ESTRADA DA BARONESA, 639, SAO PAULO","[-23.6888407302915, -46.7578261802915]"
1147,22051,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,100,SAO BERNARDO DO CAMPO,"ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO, 100, SAO BERNARDO DO CAMPO","[-23.7268107802915, -46.5592256802915]"
1148,22052,AVENIDA PRESTES MAIA,100,SAO PAULO,"AVENIDA PRESTES MAIA, 100, SAO PAULO","[-23.5450319802915, -46.63629908029149]"
1149,22096,VIADUTO FREDERICO EDUARDO MAYR,100,SAO PAULO,"VIADUTO FREDERICO EDUARDO MAYR, 100, SAO PAULO","[-23.4907477802915, -46.6662192802915]"
1150,22097,Rodovia Hélio Smidt,2,GUARULHOS,"Rodovia Hélio Smidt, 2, GUARULHOS","[-23.4627889802915, -46.4920701802915]"
1151,22099,RUA MALMEQUERDOCAMPO,1610,SAO PAULO,"RUA MALMEQUERDOCAMPO, 1610, SAO PAULO","[-23.5873630802915, -46.4508902802915]"
1152,22105,RUA PIRAPORINHA,1112,SAO PAULO,"RUA PIRAPORINHA, 1112, SAO PAULO","[-23.6826465802915, -46.7593244802915]"
1153,22112,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO,"ESTRADA DOS ALVARENGAS, 999, SAO BERNARDO DO CAMPO","[-23.7458503302915, -46.6095551802915]"
1154,22115,ESTRADA CAUCAIA DO ALTO,3350,COTIA,"ESTRADA CAUCAIA DO ALTO, 3350, COTIA","[-23.6425045802915, -46.9911682802915]"
1155,22138,RUA BERNARDO DADDI,0,SAO PAULO,"RUA BERNARDO DADDI, 0, SAO PAULO","[-23.4969544802915, -46.43486118029149]"
1156,22148,AVENIDA RENOVA DOS SANTOS,100,ARUJA,"AVENIDA RENOVA DOS SANTOS, 100, ARUJA","[-23.3993458802915, -46.3351424802915]"
1157,22195,RUA MARIA BATISTA,241,SAO PAULO,"RUA MARIA BATISTA, 241, SAO PAULO","[-23.6703579802915, -46.7459452802915]"
1158,22197,RUA CAFE FILHO,340,SAO BERNARDO DO CAMPO,"RUA CAFE FILHO, 340, SAO BERNARDO DO CAMPO","[-23.7052100802915, -46.56648278029149]"
1159,22199,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
1160,22202,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 10, SAO PAULO","[-23.5281067802915, -46.43331918029149]"
1161,22256,RUA SAO CAETANO,939,EMBU DAS ARTES,"RUA SAO CAETANO, 939, EMBU DAS ARTES","[-23.6568961802915, -46.8086664802915]"
1162,22322,AVENIDA FRANCISCO RODRIGUES FILHO,100,MOGI DAS CRUZES,"AVENIDA FRANCISCO RODRIGUES FILHO, 100, MOGI DAS CRUZES","[-23.5204119802915, -46.19571018029149]"
1163,22325,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
1164,22328,ACESSO AVENIDA PERI RONCHETTI,635,SAO PAULO,"ACESSO AVENIDA PERI RONCHETTI, 635, SAO PAULO","[-23.4641352802915, -46.6533546802915]"
1165,22364,AVENIDA JACU PESSEGO,3788,SAO PAULO,"AVENIDA JACU PESSEGO, 3788, SAO PAULO","[-23.5922042802915, -46.4451294802915]"
1166,22372,AVENIDA RUI BARBOSA,2337,CARAPICUIBA,"AVENIDA RUI BARBOSA, 2337, CARAPICUIBA","[-23.5238877802915, -46.8481185802915]"
1167,22457,AVENIDA JEAN LIEUTAUD,100,RIO GRANDE DA SERRA,"AVENIDA JEAN LIEUTAUD, 100, RIO GRANDE DA SERRA","[-23.7520919802915, -46.40188508029149]"
1168,22458,ESTRADA DA CAMA PATENTE,2400,SAO BERNARDO DO CAMPO,"ESTRADA DA CAMA PATENTE, 2400, SAO BERNARDO DO CAMPO","[-23.7568306802915, -46.59242568029149]"
1169,22463,AVENIDA DONA BELMIRA MARIN,1036,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 1036, SAO PAULO","[-23.7408309802915, -46.69314908029149]"
1170,22480,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO,"ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA, 1, SAO PAULO","[-23.5369684802915, -46.54943988029149]"
1171,22521,RUA EDSON,100,SAO PAULO,"RUA EDSON, 100, SAO PAULO","[-23.6194871802915, -46.6815890802915]"
1172,22525,RUA EDMUNDO CARVALHO,129,SAO PAULO,"RUA EDMUNDO CARVALHO, 129, SAO PAULO","[-23.6264739802915, -46.5999509802915]"
1173,22572,VIADUTO DO GLICERIO,100,SAO PAULO,"VIADUTO DO GLICERIO, 100, SAO PAULO","[-23.5574862802915, -46.6303012802915]"
1174,22578,RUA DOS APIARIS,431,SAO PAULO,"RUA DOS APIARIS, 431, SAO PAULO","[-23.6978894802915, -46.6452907802915]"
1175,22611,ESTRADA DO M'BOI MIRIM,1100,SAO PAULO,"ESTRADA DO M'BOI MIRIM, 1100, SAO PAULO","[-23.72322938029151, -46.7866126802915]"
1176,22612,AVENIDA GENERAL ASDRUBAL DA CUNHA,785,SAO PAULO,"AVENIDA GENERAL ASDRUBAL DA CUNHA, 785, SAO PAULO","[-23.5953511802915, -46.7902100802915]"
1177,22623,AVENIDA ODAIR PACHECO PEDROSO,1000,EMBU DAS ARTES,"AVENIDA ODAIR PACHECO PEDROSO, 1000, EMBU DAS ARTES","[-23.6277059802915, -46.91511098029149]"
1178,22628,AVENIDA EMILIO RIBAS,100,GUARULHOS,"AVENIDA EMILIO RIBAS, 100, GUARULHOS","[-23.4712475802915, -46.5369437802915]"
1179,22670,Rodovia dos Imigrantes,10,SAO PAULO,"Rodovia dos Imigrantes, 10, SAO PAULO","[-23.6057421802915, -46.62761818029149]"
1180,22683,RUA JOAQUIM MOREIRA,648,GUARULHOS,"RUA JOAQUIM MOREIRA, 648, GUARULHOS","[-23.4594173802915, -46.4121747302915]"
1181,22747,AVENIDA ARICANDUVA,12050,SAO PAULO,"AVENIDA ARICANDUVA, 12050, SAO PAULO","[-23.59459208029151, -46.4736041302915]"
1182,22754,AVENIDA PEDROSO DE MORAIS,777,SAO PAULO,"AVENIDA PEDROSO DE MORAIS, 777, SAO PAULO","[-23.5649254802915, -46.6931824802915]"
1183,22761,AVENIDA ROTARY,2335,EMBU DAS ARTES,"AVENIDA ROTARY, 2335, EMBU DAS ARTES","[-23.6491813802915, -46.82104828029149]"
1184,22763,VIADUTO DO GLICERIO,1,SAO PAULO,"VIADUTO DO GLICERIO, 1, SAO PAULO","[-23.5574147802915, -46.62986118029149]"
1185,22780,AVENIDA ARICANDUVA,12050,SAO PAULO,"AVENIDA ARICANDUVA, 12050, SAO PAULO","[-23.59459208029151, -46.4736041302915]"
1186,22865,AVENIDA ELISIO TEIXEIRA LEITE,4184,SAO PAULO,"AVENIDA ELISIO TEIXEIRA LEITE, 4184, SAO PAULO","[-23.4634682802915, -46.7156777802915]"
1187,22894,ESTRADA PEDREIRA ALVARENGA,2568,DIADEMA,"ESTRADA PEDREIRA ALVARENGA, 2568, DIADEMA","[-23.7189294802915, -46.6277647802915]"
1188,22904,AVENIDA CARLOS CALDEIRA FILHO,13500,SAO PAULO,"AVENIDA CARLOS CALDEIRA FILHO, 13500, SAO PAULO","[-23.6505596802915, -46.7602594802915]"
1189,22905,AVENIDA MENDES DA ROCHA,529,SAO PAULO,"AVENIDA MENDES DA ROCHA, 529, SAO PAULO","[-23.4836892802915, -46.5724231302915]"
1190,22995,AVENIDA TRINTA E UM DE MARCO,2421,SAO BERNARDO DO CAMPO,"AVENIDA TRINTA E UM DE MARCO, 2421, SAO BERNARDO DO CAMPO","[-23.65854768029151, -46.59704968029149]"
1191,23004,AVENIDA DOUTOR TIMOTEO PENTEADO,3607,GUARULHOS,"AVENIDA DOUTOR TIMOTEO PENTEADO, 3607, GUARULHOS","[-23.4564705802915, -46.55875088029149]"
1192,23054,Rodovia Índio-Tibiriçá,0,SUZANO,"Rodovia Índio-Tibiriçá, 0, SUZANO","[-23.5687549802915, -46.30016378029149]"
1193,23099,ALAMEDA JAUAPERI,0,SAO PAULO,"ALAMEDA JAUAPERI, 0, SAO PAULO","[-23.6035080802915, -46.6661905802915]"
1194,23106,RUA GARCIA DE ORTA,953,SAO PAULO,"RUA GARCIA DE ORTA, 953, SAO PAULO","[-23.6858634302915, -46.7914548802915]"
1195,23110,AVENIDA NOSSA SENHORA DO O,177,SAO PAULO,"AVENIDA NOSSA SENHORA DO O, 177, SAO PAULO","[-23.5053657802915, -46.6858428802915]"
1196,23115,ESTRADA DE SANTA ISABEL,11,ARUJA,"ESTRADA DE SANTA ISABEL, 11, ARUJA","[-23.4092178802915, -46.3165401802915]"
1197,23163,PRACA EMBAIXADOR CIRO DE FREITAS VALLE,10,SAO PAULO,"PRACA EMBAIXADOR CIRO DE FREITAS VALLE, 10, SAO PAULO","[-23.6350467802915, -46.7131683802915]"
1198,23201,RUA PAULO DO VALE,100,EMBU DAS ARTES,"RUA PAULO DO VALE, 100, EMBU DAS ARTES","[-23.6489557802915, -46.8501270802915]"
1199,23211,Rodovia Castelo Branco,0,BARUERI,"Rodovia Castelo Branco, 0, BARUERI","[-23.5108128802915, -46.8185928802915]"
1200,23213,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,"AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 100, DIADEMA","[-23.6870026802915, -46.62623758029149]"
1201,23226,ACESSO AVENIDA RAGUEB CHOHFI,3797,SAO PAULO,"ACESSO AVENIDA RAGUEB CHOHFI, 3797, SAO PAULO","[-23.5956604802915, -46.4500576802915]"
1202,23233,PONTE PRESIDENTE DUTRA,222,SAO PAULO,"PONTE PRESIDENTE DUTRA, 222, SAO PAULO","[-23.5317207802915, -46.5918384802915]"
1203,23261,AVENIDA ARICANDUVA,5650,SAO PAULO,"AVENIDA ARICANDUVA, 5650, SAO PAULO","[-23.5714012802915, -46.50605678029149]"
1204,23316,RUA DO MANIFESTO,3032,SAO PAULO,"RUA DO MANIFESTO, 3032, SAO PAULO","[-23.6016260802915, -46.6006665802915]"
1205,23334,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,"AVENIDA ENGENHEIRO CAETANO ALVARES, 100, SAO PAULO","[-23.5140031302915, -46.67183768029151]"
1206,23380,ESTRADA DE ITAPECERICA,5360,SAO PAULO,"ESTRADA DE ITAPECERICA, 5360, SAO PAULO","[-23.6631337802915, -46.7803803802915]"
1207,23388,RUA CONSOLACAO,100,CARAPICUIBA,"RUA CONSOLACAO, 100, CARAPICUIBA","[-23.51440893029151, -46.8357149302915]"
1208,23395,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 1, SAO PAULO","[-23.5402989802915, -46.42517098029151]"
1209,23407,AVENIDA NATALIA ZARIF,1,GUARULHOS,"AVENIDA NATALIA ZARIF, 1, GUARULHOS","[-23.4277316802915, -46.4975102802915]"
1210,23426,AVENIDA DO ORATORIO,4391,SAO PAULO,"AVENIDA DO ORATORIO, 4391, SAO PAULO","[-23.6028606802915, -46.53320898029149]"
1211,23439,RUA INGLESA,300,SAO PAULO,"RUA INGLESA, 300, SAO PAULO","[-23.4867832802915, -46.61164588029149]"
1212,23471,RUA PAOLO PORPORA,406,SAO PAULO,"RUA PAOLO PORPORA, 406, SAO PAULO","[-23.6949283802915, -46.7875887802915]"
1213,23518,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,"AVENIDA ESCOLA POLITECNICA, 100, SAO PAULO","[-23.5595688802915, -46.7466419802915]"
1214,23519,AVENIDA EDSON DANILO DOTTO,100,SANTO ANDRE,"AVENIDA EDSON DANILO DOTTO, 100, SANTO ANDRE","[-23.6618631802915, -46.5298470802915]"
1215,23566,AVENIDA CASA GRANDE,2571,DIADEMA,"AVENIDA CASA GRANDE, 2571, DIADEMA","[-23.6935987302915, -46.5856885802915]"
1216,23597,RUA GIUSEPPE PIERMARINI,200,SAO PAULO,"RUA GIUSEPPE PIERMARINI, 200, SAO PAULO","[-23.7505450802915, -46.7022873802915]"
1217,23605,ESTRADA DE ITAPECERICA,12550,SAO PAULO,"ESTRADA DE ITAPECERICA, 12550, SAO PAULO","[-23.68566048029151, -46.7997055802915]"
1218,23657,AVENIDA ATLANTICA,211,SANTO ANDRE,"AVENIDA ATLANTICA, 211, SANTO ANDRE","[-23.6674129802915, -46.54491498029149]"
1219,23691,VELHA MOGISUZANO,0,SUZANO,"VELHA MOGISUZANO, 0, SUZANO","[-23.5448803802915, -46.3151027802915]"
1220,23744,PARQUE RAPOSO TAVARES,12,SAO PAULO,"PARQUE RAPOSO TAVARES, 12, SAO PAULO","[-23.5897447802915, -46.7575654802915]"
1221,23756,AVENIDA DO ORATORIO,2635,SAO PAULO,"AVENIDA DO ORATORIO, 2635, SAO PAULO","[-23.5949184802915, -46.54535198029149]"
1222,23790,RUA BELA VISTA DO PARAISO,100,GUARULHOS,"RUA BELA VISTA DO PARAISO, 100, GUARULHOS","[-23.4307424802915, -46.43813728029149]"
1223,23890,AVENIDA JACU PESSEGO,201,SAO PAULO,"AVENIDA JACU PESSEGO, 201, SAO PAULO","[-23.5624223802915, -46.44686238029149]"
1224,23941,AVENIDA TRANSGUARULHENSE,983,GUARULHOS,"AVENIDA TRANSGUARULHENSE, 983, GUARULHOS","[-23.4419130802915, -46.54529498029149]"
1225,23948,AVENIDA IMIRIM,0,SAO PAULO,"AVENIDA IMIRIM, 0, SAO PAULO","[-23.4820399802915, -46.65782598029151]"
1226,23955,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
1227,23957,RUA DOUTOR LUIZ MIGLIANO,1870,SAO PAULO,"RUA DOUTOR LUIZ MIGLIANO, 1870, SAO PAULO","[-23.6217448802915, -46.7452010802915]"
1228,23996,AVENIDA MARGINAL CSU,425,CARAPICUIBA,"AVENIDA MARGINAL CSU, 425, CARAPICUIBA","[-23.5387148802915, -46.84714758029149]"
1229,24041,RUA ARICANGA,571,SAO PAULO,"RUA ARICANGA, 571, SAO PAULO","[-23.5023832302915, -46.4124452802915]"
1230,24047,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,"VIADUTO JULIO MESQUITA FILHO, 100, SAO PAULO","[-23.5518325802915, -46.6477800802915]"
1231,24050,AVENIDA ATLANTICA,3999,SAO PAULO,"AVENIDA ATLANTICA, 3999, SAO PAULO","[-23.7046199302915, -46.7158926302915]"
1232,24055,AVENIDA SANTA CATARINA,2526,SAO PAULO,"AVENIDA SANTA CATARINA, 2526, SAO PAULO","[-23.6569834802915, -46.6570373802915]"
1233,24056,AVENIDA ALDINO PINOTTI,601,SAO BERNARDO DO CAMPO,"AVENIDA ALDINO PINOTTI, 601, SAO BERNARDO DO CAMPO","[-23.6895118802915, -46.5526705802915]"
1234,24062,AVENIDA LAURO GOMES,0,SAO BERNARDO DO CAMPO,"AVENIDA LAURO GOMES, 0, SAO BERNARDO DO CAMPO","[-23.6738705802915, -46.55581788029151]"
1235,24084,ACESSO PARA O  MARIO COVAS,1000,SAO BERNARDO DO CAMPO,"ACESSO PARA O  MARIO COVAS, 1000, SAO BERNARDO DO CAMPO","[-23.5631487802915, -46.67606628029149]"
1236,24134,RUA MIGUEL YUNES,0,SAO PAULO,"RUA MIGUEL YUNES, 0, SAO PAULO","[-23.6879716802915, -46.6910149802915]"
1237,24140,AVENIDA IBIRAMA,100,TABOAO DA SERRA,"AVENIDA IBIRAMA, 100, TABOAO DA SERRA","[-23.6408313302915, -46.8128108302915]"
1238,24144,AVENIDA ARICANDUVA,12000,SAO PAULO,"AVENIDA ARICANDUVA, 12000, SAO PAULO","[-23.5968396802915, -46.46750418029151]"
1239,24152,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,3005,SAO BERNARDO DO CAMPO,"AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 3005, SAO BERNARDO DO CAMPO","[-23.71781753029151, -46.58575013029149]"
1240,24212,AVENIDA SANTO ANDRE,100,RIBEIRAO PIRES,"AVENIDA SANTO ANDRE, 100, RIBEIRAO PIRES","[-23.7140862802915, -46.41808608029149]"
1241,24220,RUA DOUTOR JOSE DE PORCIUNCULA,0,SAO PAULO,"RUA DOUTOR JOSE DE PORCIUNCULA, 0, SAO PAULO","[-23.4846121802915, -46.42194448029149]"
1242,24227,VIADUTO DONA MORA GUIMARAES,100,SAO PAULO,"VIADUTO DONA MORA GUIMARAES, 100, SAO PAULO","[-23.4073374802915, -46.7552235802915]"
1243,24229,RUA DOUTOR JOSE SILVIO DE CAMARGO,2545,SAO PAULO,"RUA DOUTOR JOSE SILVIO DE CAMARGO, 2545, SAO PAULO","[-23.71328838029151, -46.63336728029151]"
1244,24295,RUA BENJAMIN PEREIRA,0,SAO PAULO,"RUA BENJAMIN PEREIRA, 0, SAO PAULO","[-23.46913318029151, -46.5916831802915]"
1245,24301,PRACA QUATORZE BIS,1,SAO PAULO,"PRACA QUATORZE BIS, 1, SAO PAULO","[-23.5573759802915, -46.6510395802915]"
1246,24306,AVENIDA VEREADOR JOAO DE LUCA,303,SAO PAULO,"AVENIDA VEREADOR JOAO DE LUCA, 303, SAO PAULO","[-23.6476066802915, -46.6722790802915]"
1247,24309,RUA CARIJOS,600,SANTO ANDRE,"RUA CARIJOS, 600, SANTO ANDRE","[-23.6771299802915, -46.5216898802915]"
1248,24393,Rodovia Professor Alfredo Rolim de Moura,0,ARUJA,"Rodovia Professor Alfredo Rolim de Moura, 0, ARUJA","[-23.5438650802915, -46.1548396802915]"
1249,24399,AVENIDA DOS AUTONOMISTAS,671,OSASCO,"AVENIDA DOS AUTONOMISTAS, 671, OSASCO","[-23.5477679802915, -46.7635126802915]"
1250,24408,Avenida Barão de Mauá,10,MAUA,"Avenida Barão de Mauá, 10, MAUA","[-23.6680004802915, -46.4634250802915]"
1251,24454,RUA ORLANDO VILLAS BOAS,9,SAO PAULO,"RUA ORLANDO VILLAS BOAS, 9, SAO PAULO","[-23.4801482802915, -46.7600444302915]"
1252,24458,PONTE ENGENHEIRO ROBERTO ROSSI ZUCCOLO,10,SAO PAULO,"PONTE ENGENHEIRO ROBERTO ROSSI ZUCCOLO, 10, SAO PAULO","[-23.5880267802915, -46.6933441802915]"
1253,24470,RUA DAS TRES MARIAS,0,SAO PAULO,"RUA DAS TRES MARIAS, 0, SAO PAULO","[-23.7025048802915, -46.7909952802915]"
1254,24531,ACESSO AVENIDA ITAQUERA,1,SAO PAULO,"ACESSO AVENIDA ITAQUERA, 1, SAO PAULO","[-23.5547783802915, -46.4946391802915]"
1255,24536,AVENIDA TIRADENTES,100,GUARULHOS,"AVENIDA TIRADENTES, 100, GUARULHOS","[-23.4736153802915, -46.5337299802915]"
1256,24560,RUA ENGENHEIRO VITOR FREIRE,250,SAO PAULO,"RUA ENGENHEIRO VITOR FREIRE, 250, SAO PAULO","[-23.5484632802915, -46.7462213802915]"
1257,24564,AVENIDA ALDA,1,DIADEMA,"AVENIDA ALDA, 1, DIADEMA","[-23.6887039802915, -46.6259944802915]"
