,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
1100,20783,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,1000,SAO PAULO,"ACESSO AVENIDA MARGINAL DO RIO PINHEIROS, 1000, SAO PAULO","[-23.5851518802915, -46.6928998802915]"
1101,20919,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,0,SAO PAULO,"AVENIDA RAIMUNDO PEREIRA DE MAGALHAES, 0, SAO PAULO","[-23.4123449802915, -46.7353549802915]"
1102,20923,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,"AVENIDA ESCOLA POLITECNICA, 100, SAO PAULO","[-23.5595688802915, -46.7466419802915]"
1103,20966,AVENIDA CORONEL SEZEFREDO FAGUNDES,19000,SAO PAULO,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 19000, SAO PAULO","[-23.4064847802915, -46.5826016802915]"
1104,20971,AVENIDA ALBERTO SOARES SAMPAIO,100,MAUA,"AVENIDA ALBERTO SOARES SAMPAIO, 100, MAUA","[-23.6648848802915, -46.46927958029151]"
1105,20972,AVENIDA GAGO COUTINHO,100,SANTO ANDRE,"AVENIDA GAGO COUTINHO, 100, SANTO ANDRE","[-23.6580145802915, -46.55493748029149]"
1106,20975,AVENIDA IMIRIM,1854,SAO PAULO,"AVENIDA IMIRIM, 1854, SAO PAULO","[-23.4915602802915, -46.6517998802915]"
1107,21021,AVENIDA ARICANDUVA,0,SAO PAULO,"AVENIDA ARICANDUVA, 0, SAO PAULO","[-23.5672306802915, -46.5082644802915]"
1108,21043,AVENIDA IMPERADOR,3183,SAO PAULO,"AVENIDA IMPERADOR, 3183, SAO PAULO","[-23.5205411802915, -46.4729307802915]"
1109,21049,Rodovia Presidente Dutra,0,GUARULHOS,"Rodovia Presidente Dutra, 0, GUARULHOS","[-23.49109978029151, -46.5494592802915]"
1110,21061,Rodovia Castelo Branco,10,SAO PAULO,"Rodovia Castelo Branco, 10, SAO PAULO","[-23.5112329802915, -46.8185051802915]"
1111,21102,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 100, SAO PAULO","[-23.7346261802915, -46.6989712802915]"
1112,21183,AVENIDA SAPOPEMBA,2504,SAO PAULO,"AVENIDA SAPOPEMBA, 2504, SAO PAULO","[-23.5750548802915, -46.56714718029151]"
1113,21184,VIADUTO ANTARTICA,100,SAO PAULO,"VIADUTO ANTARTICA, 100, SAO PAULO","[-23.5282323802915, -46.6741400802915]"
1114,21190,AVENIDA SAPOPEMBA,1002,SAO PAULO,"AVENIDA SAPOPEMBA, 1002, SAO PAULO","[-23.56576898029151, -46.57262108029149]"
1115,21192,RUA CORNELIO DE ARZAO,1511,SAO PAULO,"RUA CORNELIO DE ARZAO, 1511, SAO PAULO","[-23.51707328029151, -46.39699918029149]"
1116,21243,ESTRADA PROFESSOR LAUDELINO ALVES FERREIRA,1278,FRANCO DA ROCHA,"ESTRADA PROFESSOR LAUDELINO ALVES FERREIRA, 1278, FRANCO DA ROCHA","[-23.3054751802915, -46.7264995802915]"
1117,21246,ESTRADA DE ITAPECERICA,3023,SAO PAULO,"ESTRADA DE ITAPECERICA, 3023, SAO PAULO","[-23.6554461802915, -46.76104858029149]"
1118,21308,AVENIDA JOSE MARIA WHITAKER,1365,SAO PAULO,"AVENIDA JOSE MARIA WHITAKER, 1365, SAO PAULO","[-23.6125675802915, -46.6461182802915]"
1119,21309,AVENIDA MORUMBI,6839,SAO PAULO,"AVENIDA MORUMBI, 6839, SAO PAULO","[-23.6186201802915, -46.70638278029149]"
1120,21353,Avenida das Nações Unidas,661,SAO PAULO,"Avenida das Nações Unidas, 661, SAO PAULO","[-23.6305660802915, -46.7141561802915]"
1121,21356,AVENIDA MUTINGA,364,SAO PAULO,"AVENIDA MUTINGA, 364, SAO PAULO","[-23.4893886302915, -46.7317470802915]"
1122,21357,ESTRADA DE MOGI DAS CRUZES,1300,SAO PAULO,"ESTRADA DE MOGI DAS CRUZES, 1300, SAO PAULO","[-23.5161887802915, -46.48878388029149]"
1123,21409,ALAMEDA AMERICA,100,SANTANA DE PARNAIBA,"ALAMEDA AMERICA, 100, SANTANA DE PARNAIBA","[-23.4788168802915, -46.8325693802915]"
1124,21410,ACESSO SAO MIGUEL,4662,SAO PAULO,"ACESSO SAO MIGUEL, 4662, SAO PAULO","[-23.5089100802915, -46.4896722802915]"
1125,21416,AVENIDA SILVESTRE PIRES DE FREITAS,100,GUARULHOS,"AVENIDA SILVESTRE PIRES DE FREITAS, 100, GUARULHOS","[-23.4310155802915, -46.5037693802915]"
1126,21476,ESTRADA DA LAGOA,2577,VARGEM GRANDE PAULISTA,"ESTRADA DA LAGOA, 2577, VARGEM GRANDE PAULISTA","[-23.5958879, -47.0303319]"
1127,21489,Avenida Presidente Castelo Branco,608,SAO PAULO,"Avenida Presidente Castelo Branco, 608, SAO PAULO","[-23.5117352802915, -46.68865418029149]"
1128,21539,AVENIDA ARICANDUVA,11200,SAO PAULO,"AVENIDA ARICANDUVA, 11200, SAO PAULO","[-23.5936662802915, -46.4771725802915]"
1129,21606,AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 100, SAO PAULO","[-23.5405958802915, -46.47098468029149]"
1130,21657,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,"AVENIDA CONDE DE FRONTIN, 10, SAO PAULO","[-23.5383987802915, -46.55935968029149]"
1131,21668,ESTRADA DA BARONESA,1012,SAO PAULO,"ESTRADA DA BARONESA, 1012, SAO PAULO","[-23.6957289802915, -46.76424728029149]"
1132,21720,Rodovia Professor Alfredo Rolim de Moura,0,MOGI DAS CRUZES,"Rodovia Professor Alfredo Rolim de Moura, 0, MOGI DAS CRUZES","[-23.5438650802915, -46.1548396802915]"
1133,21723,AVENIDA BRIGADEIRO LUIS ANTONIO,3250,SAO PAULO,"AVENIDA BRIGADEIRO LUIS ANTONIO, 3250, SAO PAULO","[-23.5755328802915, -46.65737068029151]"
1134,21753,RUA GOMES DE CARVALHO,491,SAO PAULO,"RUA GOMES DE CARVALHO, 491, SAO PAULO","[-23.6015506802915, -46.6800531802915]"
1135,21755,AVENIDA MARECHAL TITO,2614,SAO PAULO,"AVENIDA MARECHAL TITO, 2614, SAO PAULO","[-23.4956728802915, -46.4222998302915]"
1136,21792,ESTRADA ENGENHEIRO MARCILAC,14487,SAO PAULO,"ESTRADA ENGENHEIRO MARCILAC, 14487, SAO PAULO","[-23.9080133802915, -46.70929478029151]"
1137,21794,Rodovia Castelo Branco,0,BARUERI,"Rodovia Castelo Branco, 0, BARUERI","[-23.5108128802915, -46.8185928802915]"
1138,21795,AVENIDA DOUTOR EDUARDO COTCHING,410,SAO PAULO,"AVENIDA DOUTOR EDUARDO COTCHING, 410, SAO PAULO","[-23.5637447802915, -46.55738778029149]"
1139,21852,ESTRADA DE ITAPECERICA,10000,SAO PAULO,"ESTRADA DE ITAPECERICA, 10000, SAO PAULO","[-23.6867558802915, -46.8020293802915]"
1140,21896,TERMINAL PARELHEIROS,100,SAO PAULO,"TERMINAL PARELHEIROS, 100, SAO PAULO","[-23.8295008802915, -46.7283704802915]"
1141,21942,Avenida Assis Chateaubriand,300,SAO PAULO,"Avenida Assis Chateaubriand, 300, SAO PAULO","[-23.5193792802915, -46.6362074802915]"
1142,21944,AVENIDA QUEIROS DOS SANTOS,1,SANTO ANDRE,"AVENIDA QUEIROS DOS SANTOS, 1, SANTO ANDRE","[-23.6542869802915, -46.52926538029149]"
1143,21970,RUA SERGIO SHIGERU HARADA,1556,CAJAMAR,"RUA SERGIO SHIGERU HARADA, 1556, CAJAMAR","[-23.4184385802915, -46.8340050802915]"
1144,21973,ACESSO AVENIDA PAES DE BARROS,10,SAO PAULO,"ACESSO AVENIDA PAES DE BARROS, 10, SAO PAULO","[-23.5569280802915, -46.6016802802915]"
