,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
195,4681,PONTE ENGENHEIRO ARY TORRES,100,SAO PAULO,"PONTE ENGENHEIRO ARY TORRES, 100, SAO PAULO","[-23.5975103802915, -46.69353348029149]"
196,4701,VIADUTO DONA IGNES COLINO,10,OSASCO,"VIADUTO DONA IGNES COLINO, 10, OSASCO","[-23.5308699802915, -46.7751712802915]"
197,4703,AVENIDA GUARAPIRANGA,2679,SAO PAULO,"AVENIDA GUARAPIRANGA, 2679, SAO PAULO","[-23.6741510802915, -46.7355129802915]"
198,4705,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO,"VIADUTO MINISTRO ALIOMAR BALEEIRO, 100, SAO PAULO","[-23.6306304802915, -46.6324127802915]"
199,4708,RUA NOVA DO TUPAROQUERA,185,SAO PAULO,"RUA NOVA DO TUPAROQUERA, 185, SAO PAULO","[-23.6600934802915, -46.7383540802915]"
200,4766,AVENIDA PIRES DO RIO,2616,SAO PAULO,"AVENIDA PIRES DO RIO, 2616, SAO PAULO","[-23.5214644802915, -46.44558078029151]"
201,4772,RUA MARECHAL DEODORO,1226,SAO BERNARDO DO CAMPO,"RUA MARECHAL DEODORO, 1226, SAO BERNARDO DO CAMPO","[-23.71034198029151, -46.5524272802915]"
202,4775,RUA ORATORIO,2447,SANTO ANDRE,"RUA ORATORIO, 2447, SANTO ANDRE","[-23.6335245802915, -46.5125177802915]"
203,4800,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1539,SAO PAULO,"AVENIDA DEPUTADO CANTIDIO SAMPAIO, 1539, SAO PAULO","[-23.4660782302915, -46.68124308029149]"
204,4801,AVENIDA DIREITOS HUMANOS,1192,SAO PAULO,"AVENIDA DIREITOS HUMANOS, 1192, SAO PAULO","[-23.4789754802915, -46.6444316802915]"
205,4858,Rodovia Régis Bittencourt,10,EMBU DAS ARTES,"Rodovia Régis Bittencourt, 10, EMBU DAS ARTES","[-23.6572079802915, -46.85138138029149]"
206,4861,RUA INACIO MONTEIRO,6014,SAO PAULO,"RUA INACIO MONTEIRO, 6014, SAO PAULO","[-23.5748404802915, -46.3950339802915]"
207,4940,AVENIDA ARICANDUVA,10,SAO PAULO,"AVENIDA ARICANDUVA, 10, SAO PAULO","[-23.5993108802915, -46.4697313802915]"
208,4957,AVENIDA JACU PESSEGO,8210,SAO PAULO,"AVENIDA JACU PESSEGO, 8210, SAO PAULO","[-23.5412189802915, -46.4516534802915]"
209,5014,RUA PILAR DO SUL,249,CARAPICUIBA,"RUA PILAR DO SUL, 249, CARAPICUIBA","[-23.53026013029151, -46.82548323029149]"
210,5017,AVENIDA BRIGADEIRO LUIS ANTONIO,3249,SAO PAULO,"AVENIDA BRIGADEIRO LUIS ANTONIO, 3249, SAO PAULO","[-23.5755972302915, -46.65677248029149]"
211,5021,AVENIDA MARECHAL CASTELO BRANCO,525,TABOAO DA SERRA,"AVENIDA MARECHAL CASTELO BRANCO, 525, TABOAO DA SERRA","[-23.6131335802915, -46.7945446802915]"
212,5027,ESTRADA DO MONTE NEGRO,2100,SANTA ISABEL,"ESTRADA DO MONTE NEGRO, 2100, SANTA ISABEL","[-23.3107602802915, -46.2096320802915]"
213,5029,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,100,SAO PAULO,"AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE, 100, SAO PAULO","[-23.5884239802915, -46.6663416802915]"
214,5032,TUNEL FERNANDOVIEIRA DE MELLO,100,SAO PAULO,"TUNEL FERNANDOVIEIRA DE MELLO, 100, SAO PAULO","[-23.5711329802915, -46.6898041802915]"
215,5036,AVENIDA ELISEU DE ALMEIDA,3309,SAO PAULO,"AVENIDA ELISEU DE ALMEIDA, 3309, SAO PAULO","[-23.5929348802915, -46.7401846802915]"
216,5089,AVENIDA VITAL BRASIL,1350,SAO PAULO,"AVENIDA VITAL BRASIL, 1350, SAO PAULO","[-23.5697035802915, -46.71743118029149]"
217,5091,Rodovia Anhieta,15,SAO BERNARDO DO CAMPO,"Rodovia Anhieta, 15, SAO BERNARDO DO CAMPO","[-23.7761700802915, -46.5311987802915]"
