Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
8342,ESTRADA DOS ALVARENGAS,53026.0,SAO BERNARDO DO CAMPO,"ESTRADA DOS ALVARENGAS, 53026, SAO BERNARDO DO CAMPO","[-23.7569838, -46.6319212]"
8356,ESTRADA DE SANTA ISABEL,1001.0,ARUJA,"ESTRADA DE SANTA ISABEL, 1001, ARUJA","[-23.4108447802915, -46.3189294802915]"
8363,AVENIDA TRINTA E UM DE MARCO,3027.0,SAO BERNARDO DO CAMPO,"AVENIDA TRINTA E UM DE MARCO, 3027, SAO BERNARDO DO CAMPO","[-23.65800568029151, -46.5970932802915]"
8365,PRACA DOUTOR JOAO MENDES,62.0,SAO PAULO,"PRACA DOUTOR JOAO MENDES, 62, SAO PAULO","[-23.5530713802915, -46.6370156802915]"
8370,VIADUTO SANTA GENEROSA,10.0,SAO PAULO,"VIADUTO SANTA GENEROSA, 10, SAO PAULO","[-23.5772321802915, -46.64282358029149]"
8407,AVENIDA JOAO PAULO I,3134.0,EMBU DAS ARTES,"AVENIDA JOAO PAULO I, 3134, EMBU DAS ARTES","[-23.6428409802915, -46.8130631302915]"
8412,AVENIDA ELIAS YAZBEK,784.0,EMBU DAS ARTES,"AVENIDA ELIAS YAZBEK, 784, EMBU DAS ARTES","[-23.6448076802915, -46.8445598302915]"
8415,AVENIDA JOAO RAMALHO,1000.0,SANTO ANDRE,"AVENIDA JOAO RAMALHO, 1000, SANTO ANDRE","[-23.6686097802915, -46.5260378802915]"
8475,PRACA EROTIDES DE CAMPOS,975.0,SAO PAULO,"PRACA EROTIDES DE CAMPOS, 975, SAO PAULO","[-23.4825770802915, -46.5731811802915]"
8478,AVENIDA PROFESSOR VICENTE RAO,2327.0,SAO PAULO,"AVENIDA PROFESSOR VICENTE RAO, 2327, SAO PAULO","[-23.6440526302915, -46.6747401302915]"
8479,RUA DOS VIANAS,3148.0,SAO BERNARDO DO CAMPO,"RUA DOS VIANAS, 3148, SAO BERNARDO DO CAMPO","[-23.7091902302915, -46.5254314302915]"
8485,RUA ANTONIO BEZERRA,702.0,SAO PAULO,"RUA ANTONIO BEZERRA, 702, SAO PAULO","[-23.6232879802915, -46.60767208029149]"
8489,AVENIDA PADRE VICENTE MELILO,1544.0,OSASCO,"AVENIDA PADRE VICENTE MELILO, 1544, OSASCO","[-23.5608243802915, -46.7833741802915]"
8491,AVENIDA MARIA CAMPOS,1.0,OSASCO,"AVENIDA MARIA CAMPOS, 1, OSASCO","[-23.5331578802915, -46.7747629802915]"
8542,AVENIDA POMPEIA,10.0,SAO PAULO,"AVENIDA POMPEIA, 10, SAO PAULO","[-23.5269137802915, -46.68308768029149]"
8543,ACESSO RUA MONTE PASCAL,100.0,SAO PAULO,"ACESSO RUA MONTE PASCAL, 100, SAO PAULO","[-23.5221424302915, -46.7212476802915]"
8554,ESTRADA CANAL DE COCAIA,1311.0,SAO PAULO,"ESTRADA CANAL DE COCAIA, 1311, SAO PAULO","[-23.7470503802915, -46.6728044302915]"
8557,RUA GUAICURUS,100.0,SAO PAULO,"RUA GUAICURUS, 100, SAO PAULO","[-23.52463208029151, -46.6878802802915]"
8560,VIADUTO DO GLICERIO,100.0,SAO PAULO,"VIADUTO DO GLICERIO, 100, SAO PAULO","[-23.5574862802915, -46.6303012802915]"
8570,ACESSO DAS LAGRIMAS,100.0,SAO CAETANO DO SUL,"ACESSO DAS LAGRIMAS, 100, SAO CAETANO DO SUL","[-23.6415930802915, -46.57545098029149]"
8625,AVENIDA WASHINGTON LUIS,7023.0,SAO PAULO,"AVENIDA WASHINGTON LUIS, 7023, SAO PAULO","[-23.6236325802915, -46.6634663302915]"
8635,AVENIDA GIOVANNI GRONCHI,3993.0,SAO PAULO,"AVENIDA GIOVANNI GRONCHI, 3993, SAO PAULO","[-23.6163395802915, -46.73255618029151]"
8638,AVENIDA ARICANDUVA,10.0,SAO PAULO,"AVENIDA ARICANDUVA, 10, SAO PAULO","[-23.5993108802915, -46.4697313802915]"
8640,ESTRADA CAUCAIA DO ALTO,100.0,COTIA,"ESTRADA CAUCAIA DO ALTO, 100, COTIA","[-23.6178612802915, -46.97348458029149]"
8644,AVENIDA PRESTES MAIA,0.0,SAO PAULO,"AVENIDA PRESTES MAIA, 0, SAO PAULO","[-23.53817058029151, -46.6352968802915]"
8658,VIADUTO TERESA DELTA,10.0,SAO BERNARDO DO CAMPO,"VIADUTO TERESA DELTA, 10, SAO BERNARDO DO CAMPO","[-23.7068295802915, -46.5592920802915]"
8721,Avenida Marginal Tietê Central,17.0,SAO PAULO,"Avenida Marginal Tietê Central, 17, SAO PAULO","[-23.5295123802915, -46.5989732802915]"
8732,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,800.0,SAO PAULO,"AVENIDA ENGENHEIRO EUSEBIO STEVAUX, 800, SAO PAULO","[-23.6706132302915, -46.70406893029149]"
8747,AVENIDA DO CURSINO,3600.0,SAO PAULO,"AVENIDA DO CURSINO, 3600, SAO PAULO","[-23.6341354802915, -46.61812718029149]"
8749,AVENIDA CORONEL SEZEFREDO FAGUNDES,2699.0,SAO PAULO,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 2699, SAO PAULO","[-23.4568197802915, -46.6039598802915]"
8753,RUA MELO FREIRE,1.0,SAO PAULO,"RUA MELO FREIRE, 1, SAO PAULO","[-23.5431216802915, -46.5815397802915]"
8798,AVENIDA DO IMPERADOR,4870.0,SAO PAULO,"AVENIDA DO IMPERADOR, 4870, SAO PAULO","[-23.5168776802915, -46.4586941802915]"
8803,VIADUTO GUERINO SPITALETI,100.0,OSASCO,"VIADUTO GUERINO SPITALETI, 100, OSASCO","[-23.52853178029151, -46.7751925802915]"
8806,AVENIDA QUEIROZ FILHO,100.0,SAO PAULO,"AVENIDA QUEIROZ FILHO, 100, SAO PAULO","[-23.5385986802915, -46.7219369802915]"
8810,AVENIDA ANCHIETA,720.0,SAO PAULO,"AVENIDA ANCHIETA, 720, SAO PAULO","[-23.8506059802915, -46.1389959802915]"
8819,RUA MELO FREIRE,4800.0,SAO PAULO,"RUA MELO FREIRE, 4800, SAO PAULO","[-23.5387228802915, -46.5607774802915]"
8824,AVENIDA BRASIL,1456.0,SAO PAULO,"AVENIDA BRASIL, 1456, SAO PAULO","[-23.5708780802915, -46.6728183802915]"
8877,AVENIDA YERVANT KISSAJIKIAN,1949.0,SAO PAULO,"AVENIDA YERVANT KISSAJIKIAN, 1949, SAO PAULO","[-23.67615798029151, -46.6629401802915]"
8879,AVENIDA ROQUE PETRONI JUNIOR,1089.0,SAO PAULO,"AVENIDA ROQUE PETRONI JUNIOR, 1089, SAO PAULO","[-23.6275801802915, -46.68953718029151]"
8883,AVENIDA PIRES DO RIO,4022.0,SAO PAULO,"AVENIDA PIRES DO RIO, 4022, SAO PAULO","[-23.5303251302915, -46.4524112302915]"
8888,ACESSO AVENIDA PRESIDENTE TANCREDO NEVES,100.0,SAO PAULO,"ACESSO AVENIDA PRESIDENTE TANCREDO NEVES, 100, SAO PAULO","[-23.6071324302915, -46.6068056302915]"
8891,AVENIDA WASHINGTON LUIS,2500.0,SAO PAULO,"AVENIDA WASHINGTON LUIS, 2500, SAO PAULO","[-23.6531584802915, -46.6839762802915]"
8895,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,4950.0,SAO PAULO,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 4950, SAO PAULO","[-23.6690605802915, -46.6378902802915]"
8904,AVENIDA WASHINGTON LUIS,6800.0,SAO PAULO,"AVENIDA WASHINGTON LUIS, 6800, SAO PAULO","[-23.6256239802915, -46.66245958029151]"
8940,AVENIDA REBOUCAS,3025.0,SAO PAULO,"AVENIDA REBOUCAS, 3025, SAO PAULO","[-23.5714417802915, -46.68971948029149]"
8941,AVENIDA JOSE PINHEIRO BORGES,10.0,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 10, SAO PAULO","[-23.5281067802915, -46.43331918029149]"
8990,AVENIDA MARGINAL,100.0,CARAPICUIBA,"AVENIDA MARGINAL, 100, CARAPICUIBA","[-23.5235416802915, -46.8559523802915]"
9001,AVENIDA CELSO DOS SANTOS,378.0,SAO PAULO,"AVENIDA CELSO DOS SANTOS, 378, SAO PAULO","[-23.6684625802915, -46.6711054802915]"
9080,RUA VERGUEIRO,0.0,SAO PAULO,"RUA VERGUEIRO, 0, SAO PAULO","[-23.5724443802915, -46.64159628029149]"
9086,Rodovia Castelo Branco,0.0,BARUERI,"Rodovia Castelo Branco, 0, BARUERI","[-23.5108128802915, -46.8185928802915]"
9099,AVENIDA VINTE E TRES DE MAIO,1.0,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
9159,Rodovia Anhieta,0.0,SAO BERNARDO DO CAMPO,"Rodovia Anhieta, 0, SAO BERNARDO DO CAMPO","[-23.6897320802915, -46.56530228029151]"
9167,Rodovia Professor Alfredo Rolim de Moura,32.6,ARUJA,"Rodovia Professor Alfredo Rolim de Moura, 32.6, ARUJA","[-23.5438650802915, -46.1548396802915]"
9168,AVENIDA JOAO VINTE E TRES,1130.0,SAO PAULO,"AVENIDA JOAO VINTE E TRES, 1130, SAO PAULO","[-23.57237243029151, -46.5319494302915]"
9176,RUA EMILIA MARENGO,1330.0,SAO PAULO,"RUA EMILIA MARENGO, 1330, SAO PAULO","[-23.55736288029151, -46.55635238029149]"
9179,ACESSO DOUTOR EDUARDO COTCHING,2492.0,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 2492, SAO PAULO","[-23.5706681802915, -46.5418943802915]"
9231,PRESIDENTE DUTRA,0.0,GUARULHOS,"PRESIDENTE DUTRA, 0, GUARULHOS","[-23.4401198, -46.4491338]"
9234,ACESSO AVENIDA JACUPESSEGO,100.0,SAO PAULO,"ACESSO AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
9235,PONTE JAGUARE,100.0,SAO PAULO,"PONTE JAGUARE, 100, SAO PAULO","[-23.5588922802915, -46.74665033029149]"
9255,AVENIDA PADRE VICENTE MELILO,100.0,OSASCO,"AVENIDA PADRE VICENTE MELILO, 100, OSASCO","[-23.5498921802915, -46.7765686802915]"
9257,AVENIDA SALIM FARAH MALUF,100.0,SAO PAULO,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]"
9258,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,5925.0,SAO PAULO,"AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS, 5925, SAO PAULO","[-23.77346548029151, -46.7012688802915]"
9318,VIADUTO POMPEIA,10.0,SAO PAULO,"VIADUTO POMPEIA, 10, SAO PAULO","[-23.5217525802915, -46.6804485802915]"
9319,AVENIDA DO ESTADO,5303.0,SAO PAULO,"AVENIDA DO ESTADO, 5303, SAO PAULO","[-23.5584151802915, -46.6198213802915]"
9332,AVENIDA DO ESTADO,5405.0,SAO PAULO,"AVENIDA DO ESTADO, 5405, SAO PAULO","[-23.5588407802915, -46.6189676802915]"
9338,AVENIDA DONA BELMIRA MARIN,2400.0,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 2400, SAO PAULO","[-23.7516401802915, -46.6894205802915]"
9345,AVENIDA MORUMBI,5062.0,SAO PAULO,"AVENIDA MORUMBI, 5062, SAO PAULO","[-23.6101356802915, -46.7143833802915]"
9399,VIADUTO DOS TRABALHADORES,1000.0,BARUERI,"VIADUTO DOS TRABALHADORES, 1000, BARUERI","[-23.5133341802915, -46.87235258029149]"
9402,AVENIDA VITOR CIVITA,1200.0,OSASCO,"AVENIDA VITOR CIVITA, 1200, OSASCO","[-23.58584938029151, -46.8081688802915]"
9457,AVENIDA JOAO PAULO I,1203.0,EMBU DAS ARTES,"AVENIDA JOAO PAULO I, 1203, EMBU DAS ARTES","[-23.6376275802915, -46.8238259802915]"
9459,ESTRADA DO M'BOI MIRIM,8700.0,SAO PAULO,"ESTRADA DO M'BOI MIRIM, 8700, SAO PAULO","[-23.7194319802915, -46.7858205802915]"
9463,RUA VEREADOR EMILIO MENEGHINI,100.0,SAO PAULO,"RUA VEREADOR EMILIO MENEGHINI, 100, SAO PAULO","[-23.5691395802915, -46.5182233302915]"
9510,AVENIDA SAO PAULO,1588.0,EMBU DAS ARTES,"AVENIDA SAO PAULO, 1588, EMBU DAS ARTES","[-23.6477333, -46.85536073029149]"
9538,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5466.0,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 5466, SANTO ANDRE","[-23.7017355802915, -46.5069428802915]"
9598,AVENIDA DOUTOR EDUARDO COTCHING,10.0,SAO PAULO,"AVENIDA DOUTOR EDUARDO COTCHING, 10, SAO PAULO","[-23.5689986802915, -46.5431284802915]"
9615,AVENIDA VINTE E TRES DE MAIO,3.0,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 3, SAO PAULO","[-23.5516311802915, -46.6392445802915]"
9619,PRACA JACOMO ZANELA,187.0,SAO PAULO,"PRACA JACOMO ZANELA, 187, SAO PAULO","[-23.51705808029151, -46.7004905802915]"
9622,RUA FRANCISCO MARENGO,2000.0,SAO PAULO,"RUA FRANCISCO MARENGO, 2000, SAO PAULO","[-23.5562898802915, -46.5577215802915]"
9624,AVENIDA SHOZO SAKAI,1647.0,MOGI DAS CRUZES,"AVENIDA SHOZO SAKAI, 1647, MOGI DAS CRUZES","[-23.5539188302915, -46.2249743802915]"
9691,AVENIDA SAO MIGUEL,5891.0,SAO PAULO,"AVENIDA SAO MIGUEL, 5891, SAO PAULO","[-23.5074414802915, -46.4781685802915]"
9700,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855.0,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 5855, SANTO ANDRE","[-23.7052783302915, -46.5055715302915]"
9747,RUA MAJOR LUCIO DIAS RAMOS,51.0,SAO PAULO,"RUA MAJOR LUCIO DIAS RAMOS, 51, SAO PAULO","[-23.7669267802915, -46.6931963802915]"
9754,ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL,1.0,SAO PAULO,"ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL, 1, SAO PAULO","[-23.7089534, -46.5105031]"
9756,RUA BELA VISTA DO PARAISO,1024.0,GUARULHOS,"RUA BELA VISTA DO PARAISO, 1024, GUARULHOS","[-23.4231489802915, -46.44241418029149]"
9758,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,10.0,DIADEMA,"ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 10, DIADEMA","[-23.6869722802915, -46.62720108029149]"
9763,ESTRADA GUAVIRUTUBA,821.0,SAO PAULO,"ESTRADA GUAVIRUTUBA, 821, SAO PAULO","[-23.6851247802915, -46.7621725802915]"
9774,RUA CARLOS GOMES,1001.0,SAO PAULO,"RUA CARLOS GOMES, 1001, SAO PAULO","[-23.6585070802915, -46.70233988029151]"
9818,AVENIDA FRANCISCO RODRIGUES FILHO,100.0,MOGI DAS CRUZES,"AVENIDA FRANCISCO RODRIGUES FILHO, 100, MOGI DAS CRUZES","[-23.5204119802915, -46.19571018029149]"
9821,AVENIDA CRISANTEMO,500.0,OSASCO,"AVENIDA CRISANTEMO, 500, OSASCO","[-23.5376283802915, -46.7949817302915]"
9823,Avenida Embaixador Macedo Soares,555.0,SAO PAULO,"Avenida Embaixador Macedo Soares, 555, SAO PAULO","[-23.5246904802915, -46.74852128029149]"
9824,RUA DOZE DE JUNHO,126.0,GUARULHOS,"RUA DOZE DE JUNHO, 126, GUARULHOS","[-23.4139967802915, -46.40555768029149]"
9827,AVENIDA SAO PAULO,1800.0,EMBU DAS ARTES,"AVENIDA SAO PAULO, 1800, EMBU DAS ARTES","[-23.6477333, -46.85536073029149]"
9828,AVENIDA MARGINAL,100.0,CARAPICUIBA,"AVENIDA MARGINAL, 100, CARAPICUIBA","[-23.5235416802915, -46.8559523802915]"
9830,AVENIDA VINTE E TRES DE MAIO,25.0,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 25, SAO PAULO","[-23.5850472802915, -46.65530598029149]"
9833,ACESSO DOUTOR ASSIS RIBEIRO,4160.0,SAO PAULO,"ACESSO DOUTOR ASSIS RIBEIRO, 4160, SAO PAULO","[-23.4981211802915, -46.5160108802915]"
9873,Rodovia Régis Bittencourt,283.0,EMBU DAS ARTES,"Rodovia Régis Bittencourt, 283, EMBU DAS ARTES","[-23.6766981802915, -46.8577050802915]"
9891,AVENIDA MARIA SERVIDEI DEMARCHE,100.0,SAO BERNARDO DO CAMPO,"AVENIDA MARIA SERVIDEI DEMARCHE, 100, SAO BERNARDO DO CAMPO","[-23.7269727302915, -46.55450003029149]"
9898,AVENIDA SALIM FARAH MALUF,100.0,SAO PAULO,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]"
9948,AVENIDA MARCO ANTONIO CALEGARI,1.0,BARUERI,"AVENIDA MARCO ANTONIO CALEGARI, 1, BARUERI","[-23.5274237, -46.8640458]"
9953,RUA BENJAMIN RODRIGUES,125.0,SANTA ISABEL,"RUA BENJAMIN RODRIGUES, 125, SANTA ISABEL","[-23.3092944802915, -46.22235338029149]"
9955,AVENIDA MORUMBI,3768.0,SAO PAULO,"AVENIDA MORUMBI, 3768, SAO PAULO","[-23.59962568029151, -46.7099815802915]"
9959,AVENIDA HONORIO ALVARES PENTEADO,90.0,SANTANA DE PARNAIBA,"AVENIDA HONORIO ALVARES PENTEADO, 90, SANTANA DE PARNAIBA","[-23.4447580802915, -46.8330898802915]"
9963,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53.0,SAO PAULO,"AVENIDA DOUTOR GUILHERME DUMONT VILLARES, 53, SAO PAULO","[-23.6057357802915, -46.7483232802915]"
10020,RUA SALVADOR DALI,31.0,SAO PAULO,"RUA SALVADOR DALI, 31, SAO PAULO","[-23.71034138029151, -46.65632688029149]"
10096,RUA JURUBATUBA,122.0,SAO BERNARDO DO CAMPO,"RUA JURUBATUBA, 122, SAO BERNARDO DO CAMPO","[-23.6996340802915, -46.5551485802915]"
10098,AVENIDA MARGINAL DO RIBEIRAO,1000.0,CARAPICUIBA,"AVENIDA MARGINAL DO RIBEIRAO, 1000, CARAPICUIBA","[-23.5544839802915, -46.8226399802915]"
10107,Rodovia Armando Salles,6300.0,SAO PAULO,"Rodovia Armando Salles, 6300, SAO PAULO","[-23.6870463802915, -46.80246208029149]"
10113,Rodovia Professor Simão Faiguenboim,514.0,SAO PAULO,"Rodovia Professor Simão Faiguenboim, 514, SAO PAULO","[-23.5353578802915, -46.75039158029149]"
10120,AVENIDA DOM PEDRO II,411.0,SANTO ANDRE,"AVENIDA DOM PEDRO II, 411, SANTO ANDRE","[-23.6533059802915, -46.5356922802915]"
10184,PARQUE RAPOSO TAVARES,13.0,SAO PAULO,"PARQUE RAPOSO TAVARES, 13, SAO PAULO","[-23.5897537802915, -46.75754758029149]"
10186,AVENIDA JORNALISTA ROBERTO MARINHO,699.0,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 699, SAO PAULO","[-23.6152761802915, -46.6948848802915]"
10188,Rodovia Professor Alfredo Rolim de Moura,32.6,ARUJA,"Rodovia Professor Alfredo Rolim de Moura, 32.6, ARUJA","[-23.5438650802915, -46.1548396802915]"
10189,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100.0,SAO BERNARDO DO CAMPO,"AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 100, SAO BERNARDO DO CAMPO","[-23.6958294802915, -46.58590498029151]"
10191,VIADUTO DO GLICERIO,100.0,SAO PAULO,"VIADUTO DO GLICERIO, 100, SAO PAULO","[-23.5574862802915, -46.6303012802915]"
10192,AVENIDA CHICA LUISA,2355.0,SAO PAULO,"AVENIDA CHICA LUISA, 2355, SAO PAULO","[-23.4500091802915, -46.7569175802915]"
10196,AVENIDA PROFESSOR FRANCISCO MORATO,10.0,SAO PAULO,"AVENIDA PROFESSOR FRANCISCO MORATO, 10, SAO PAULO","[-23.5739438802915, -46.7063940802915]"
10202,ACESSO AVENIDA DO ESTADO,1255.0,SAO CAETANO DO SUL,"ACESSO AVENIDA DO ESTADO, 1255, SAO CAETANO DO SUL","[-23.61284048029151, -46.5593346802915]"
10248,ALAMEDA AFONSO SCHMIDT,745.0,SAO PAULO,"ALAMEDA AFONSO SCHMIDT, 745, SAO PAULO","[-23.4960575802915, -46.63633838029151]"
10249,AVENIDA JOAO PAULO PRIMEIRO,1711.0,SAO PAULO,"AVENIDA JOAO PAULO PRIMEIRO, 1711, SAO PAULO","[-23.4793328802915, -46.6867793802915]"
10252,RUA NEPAL,871.0,SANTO ANDRE,"RUA NEPAL, 871, SANTO ANDRE","[-23.6402282802915, -46.49070028029149]"
10253,AVENIDA CONDE DE FRONTIN,10.0,SAO PAULO,"AVENIDA CONDE DE FRONTIN, 10, SAO PAULO","[-23.5383987802915, -46.55935968029149]"
10255,AVENIDA SALIM FARAH MALUF,3167.0,SAO PAULO,"AVENIDA SALIM FARAH MALUF, 3167, SAO PAULO","[-23.5586684802915, -46.57858718029151]"
10258,RUA DA COROA,1640.0,SAO PAULO,"RUA DA COROA, 1640, SAO PAULO","[-23.52066798029151, -46.6137063302915]"
10273,ESTRADA CAUCAIA DO ALTO,4521.0,VARGEM GRANDE PAULISTA,"ESTRADA CAUCAIA DO ALTO, 4521, VARGEM GRANDE PAULISTA","[-23.6483595302915, -46.9951100302915]"
10306,AVENIDA PEREIRA BARRETO,100.0,SANTO ANDRE,"AVENIDA PEREIRA BARRETO, 100, SANTO ANDRE","[-23.6699570802915, -46.5366615802915]"
10324,ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,1.0,ITAQUAQUECETUBA,"ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA, 1, ITAQUAQUECETUBA","[-23.4800862802915, -46.35305048029149]"
10383,AVENIDA SPORT CLUB CORINTIANS PAULISTA,1000.0,OSASCO,"AVENIDA SPORT CLUB CORINTIANS PAULISTA, 1000, OSASCO","[-23.5354720802915, -46.78887978029151]"
10385,Rodovia Professor Alfredo Rolim de Moura,0.0,BIRITIBA MIRIM,"Rodovia Professor Alfredo Rolim de Moura, 0, BIRITIBA MIRIM","[-23.5672243802915, -46.08118968029149]"
10390,RUA JOAQUIM RIBEIRO,260.0,SAO PAULO,"RUA JOAQUIM RIBEIRO, 260, SAO PAULO","[-23.4746644802915, -46.70591768029149]"
10398,RUA PADRE SILVERIO PARAOPEBA,22.0,SAO PAULO,"RUA PADRE SILVERIO PARAOPEBA, 22, SAO PAULO","[-23.6553666802915, -46.77853048029149]"
10400,RUA JOAO PAULO,786.0,SAO PAULO,"RUA JOAO PAULO, 786, SAO PAULO","[-23.5599543802915, -46.6801419802915]"
10438,AVENIDA DO CURSINO,1828.0,SAO PAULO,"AVENIDA DO CURSINO, 1828, SAO PAULO","[-23.6048096802915, -46.61698508029149]"
10443,AVENIDA DEPUTADO EMILIO CARLOS,2083.0,SAO PAULO,"AVENIDA DEPUTADO EMILIO CARLOS, 2083, SAO PAULO","[-23.4905374802915, -46.6771249802915]"
10445,AVENIDA NEVADA,3616.0,SANTO ANDRE,"AVENIDA NEVADA, 3616, SANTO ANDRE","[-23.6278026, -46.5108471]"
10448,AVENIDA ALDINO PINOTTI,601.0,SAO BERNARDO DO CAMPO,"AVENIDA ALDINO PINOTTI, 601, SAO BERNARDO DO CAMPO","[-23.6895118802915, -46.5526705802915]"
10454,ACESSO HEBE CAMARGO,1355.0,SAO PAULO,"ACESSO HEBE CAMARGO, 1355, SAO PAULO","[-23.6360786802915, -46.7288907802915]"
10503,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1.0,SAO PAULO,"ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA, 1, SAO PAULO","[-23.5369684802915, -46.54943988029149]"
10509,AVENIDA DOM PAULO ROLIM LOUREIRO,0.0,MOGI DAS CRUZES,"AVENIDA DOM PAULO ROLIM LOUREIRO, 0, MOGI DAS CRUZES","[-23.5345133802915, -46.1712825802915]"
10511,AVENIDA PROFESSOR ABRAAO DE MORAIS,1.0,SAO PAULO,"AVENIDA PROFESSOR ABRAAO DE MORAIS, 1, SAO PAULO","[-23.6060060802915, -46.6271297802915]"
10518,ACESSO AVENIDA DO ESTADO,100.0,SAO CAETANO DO SUL,"ACESSO AVENIDA DO ESTADO, 100, SAO CAETANO DO SUL","[-23.6016015802915, -46.57940318029149]"
10521,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100.0,SAO PAULO,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 100, SAO PAULO","[-23.6333669802915, -46.64819018029149]"
10535,RETORNO RUA FREDERICO RENE DE JAEGHER,2628.0,SAO PAULO,"RETORNO RUA FREDERICO RENE DE JAEGHER, 2628, SAO PAULO","[-23.7313803802915, -46.7179696802915]"
10538,PONTE PRESIDENTE DUTRA,100.0,SAO PAULO,"PONTE PRESIDENTE DUTRA, 100, SAO PAULO","[-23.5307393, -46.59107163029149]"
10600,ESTRADA DA COLONIA,10.0,SAO PAULO,"ESTRADA DA COLONIA, 10, SAO PAULO","[-23.84971678029151, -46.7025931802915]"
10604,AVENIDA WASHINGTON LUIS,10.0,SAO PAULO,"AVENIDA WASHINGTON LUIS, 10, SAO PAULO","[-23.6628089802915, -46.7063195802915]"
10605,AVENIDA DOS BANDEIRANTES,4969.0,SAO PAULO,"AVENIDA DOS BANDEIRANTES, 4969, SAO PAULO","[-23.6232147302915, -46.65438478029149]"
10606,ESTRADA GUARULHOSNAZARE,6100.0,GUARULHOS,"ESTRADA GUARULHOSNAZARE, 6100, GUARULHOS","[-23.4184471802915, -46.45671038029151]"
10613,AVENIDA PRESTES MAIA,100.0,SAO PAULO,"AVENIDA PRESTES MAIA, 100, SAO PAULO","[-23.5450319802915, -46.63629908029149]"
10616,ESTRADA CATA PRETA,0.0,SANTO ANDRE,"ESTRADA CATA PRETA, 0, SANTO ANDRE","[-23.7160660802915, -46.51176638029149]"
10622,RUA ANTONIO IERVOLINO,1.0,GUARULHOS,"RUA ANTONIO IERVOLINO, 1, GUARULHOS","[-23.4758639802915, -46.53519528029151]"
10630,RUA TIRADENTES,1000.0,SAO BERNARDO DO CAMPO,"RUA TIRADENTES, 1000, SAO BERNARDO DO CAMPO","[-23.7219625802915, -46.5422020802915]"
10631,AVENIDA VINTE E TRES DE MAIO,1.0,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
10675,AVENIDA VALTER BOVERI,500.0,OSASCO,"AVENIDA VALTER BOVERI, 500, OSASCO","[-23.5674324802915, -46.7951391802915]"
10686,AVENIDA ARICANDUVA,11920.0,SAO PAULO,"AVENIDA ARICANDUVA, 11920, SAO PAULO","[-23.5948555802915, -46.4716901802915]"
10690,RUA SAO CAETANO,943.0,EMBU DAS ARTES,"RUA SAO CAETANO, 943, EMBU DAS ARTES","[-23.6569586802915, -46.8086637802915]"
10694,AVENIDA DOS SIGNOS,478.0,DIADEMA,"AVENIDA DOS SIGNOS, 478, DIADEMA","[-23.7052050802915, -46.62410758029149]"
10752,RUA ANTONIO DE FRANCA E SILVA,100.0,SAO PAULO,"RUA ANTONIO DE FRANCA E SILVA, 100, SAO PAULO","[-23.6170920802915, -46.5029206802915]"
10755,RUA ANTONIO PASINATO,200.0,BARUERI,"RUA ANTONIO PASINATO, 200, BARUERI","[-23.5149556802915, -46.8617348802915]"
