Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
2832,AVENIDA RUBEM BERTA,0.0,SAO PAULO,,,"AVENIDA RUBEM BERTA, 0, SAO PAULO","[-23.6037953802915, -46.6531187802915]",nan,AVENIDA RUBEM BERTA,1038,1038AVENIDA RUBEM BERTAnanSAO PAULO
2833,RUA OLGA ARTACHO,0.0,SAO PAULO,,,"RUA OLGA ARTACHO, 0, SAO PAULO","[-23.5060701, -46.5403355]",nan,RUA OLGA ARTACHO,1067,1067RUA OLGA ARTACHOnanSAO PAULO
2834,ESTRADA DE ITAPECERICA,0.0,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 0, SAO PAULO","[-23.6619129802915, -46.76846338029149]",nan,ESTRADA DE ITAPECERICA,1090,1090ESTRADA DE ITAPECERICAnanSAO PAULO
4,AVENIDA BRIGADEIRO LUIS ANTONIO,4778.0,SAO PAULO,,,"AVENIDA BRIGADEIRO LUIS ANTONIO, 4778, SAO PAULO","[-23.5836943802915, -46.66887098029149]",4778,AVENIDA BRIGADEIRO LUIS ANTONIO,1256,1256AVENIDA BRIGADEIRO LUIS ANTONIO4778SAO PAULO
5,AVENIDA DO IMPERADOR,5317.0,SAO PAULO,,,"AVENIDA DO IMPERADOR, 5317, SAO PAULO","[-23.5153310802915, -46.4534628802915]",5317,AVENIDA DO IMPERADOR,1266,1266AVENIDA DO IMPERADOR5317SAO PAULO
2835,AVENIDA ARMANDO BEI,791.0,GUARULHOS,,,"AVENIDA ARMANDO BEI, 791, GUARULHOS","[-23.4086868802915, -46.4010941802915]",nan,AVENIDA ARMANDO BEI,1283,1283AVENIDA ARMANDO BEInanGUARULHOS
2836,RUA ORFILIA,81.0,SAO PAULO,,,"RUA ORFILIA, 81, SAO PAULO","[-23.6263155802915, -46.6196295802915]",nan,RUA ORFILIA,1322,1322RUA ORFILIAnanSAO PAULO
2837,RUA MARINGA,0.0,SAO BERNARDO DO CAMPO,,,"RUA MARINGA, 0, SAO BERNARDO DO CAMPO","[-23.7763555802915, -46.60061088029149]",nan,RUA MARINGA,1412,1412RUA MARINGAnanSAO BERNARDO DO CAMPO
2838,AVENIDA JAGUARI,1950.0,SANTANA DE PARNAIBA,,,"AVENIDA JAGUARI, 1950, SANTANA DE PARNAIBA","[-23.4235123802915, -46.8514055802915]",nan,AVENIDA JAGUARI,1468,1468AVENIDA JAGUARInanSANTANA DE PARNAIBA
2839,ESTRADA DO CAPUTERA,313.0,COTIA,,,"ESTRADA DO CAPUTERA, 313, COTIA","[-23.6814815802915, -46.8981064802915]","313,0",ESTRADA DO CAPUTERA,1537,"1537ESTRADA DO CAPUTERA313,0COTIA"
6,Rodovia Presidente Dutra,220.0,GUARULHOS,,,"Rodovia Presidente Dutra, 220, GUARULHOS","[-23.4772628802915, -46.5273437802915]",220,PRESIDENTE DUTRA BR 116,1578,1578PRESIDENTE DUTRA BR 116220GUARULHOS
7,RUA JAMIL JOAO ZARIFE,100.0,GUARULHOS,,,"RUA JAMIL JOAO ZARIFE, 100, GUARULHOS","[-23.4312851802915, -46.50284458029149]",100,RUA JAMIL JOAO ZARIFE,1748,1748RUA JAMIL JOAO ZARIFE100GUARULHOS
2840,AVENIDA ANTONIO SILVIO CUNHA BUENO,0.0,DIADEMA,,,"AVENIDA ANTONIO SILVIO CUNHA BUENO, 0, DIADEMA","[-23.7171890802915, -46.61287228029149]",nan,AVENIDA ANTONIO SILVIO CUNHA BUENO,1760,1760AVENIDA ANTONIO SILVIO CUNHA BUENOnanDIADEMA
2841,Via Ubaldo Lolli,1115.0,PIRAPORA DO BOM JESUS,,,"Via Ubaldo Lolli, 1115, PIRAPORA DO BOM JESUS","[-23.4072710802915, -47.0084434802915]",nan,VIA UBALDO LOLI,1761,1761VIA UBALDO LOLInanPIRAPORA DO BOM JESUS
8,Avenida das Nações Unidas,150.0,SAO PAULO,,,"Avenida das Nações Unidas, 150, SAO PAULO","[-23.5861218802915, -46.6921567802915]",150,SP 015,1835,1835SP 015150SAO PAULO
9,Rodovia Anhieta,0.0,SAO PAULO,,,"Rodovia Anhieta, 0, SAO PAULO","[-23.7579168802915, -46.54349038029151]",nan,SP 150,1871,1871SP 150nanSAO PAULO
2842,Rua Nilo Peçanha,10.0,BIRITIBA MIRIM,,,"Rua Nilo Peçanha, 10, BIRITIBA MIRIM","[-23.5668461802915, -46.03758038029149]","10,0",VICINAL DOUTOR ARTHUR ALBERTO NARDY,2203,"2203VICINAL DOUTOR ARTHUR ALBERTO NARDY10,0BIRITIBA MIRIM"
2843,TREVO DE BONSUCESSO,0.0,GUARULHOS,,,"TREVO DE BONSUCESSO, 0, GUARULHOS","[-23.4085539802915, -46.4094979802915]",nan,TREVO DE BONSUCESSO,2216,2216TREVO DE BONSUCESSOnanGUARULHOS
2844,AVENIDA JOAO DIAS,0.0,SAO PAULO,,,"AVENIDA JOAO DIAS, 0, SAO PAULO","[-23.6455562802915, -46.7360019802915]",nan,AVENIDA JOAO DIAS,2441,2441AVENIDA JOAO DIASnanSAO PAULO
2845,AVENIDA ARNALDO ROJEK,0.0,CAIEIRAS,,,"AVENIDA ARNALDO ROJEK, 0, CAIEIRAS","[-23.3348387802915, -46.8376804802915]",nan,AVENIDA ARNALDO ROJEK,2587,2587AVENIDA ARNALDO ROJEKnanCAIEIRAS
