,Logradouro,Numero/KM,Município,Longitude,Latitude
58941,AVENIDA TRINTA E UM DE MARCO,3027,SAO BERNARDO DO CAMPO,,
58960,PRACA DOUTOR JOAO MENDES,62,SAO PAULO,,
58994,VIADUTO SANTA GENEROSA,10,SAO PAULO,,
59318,AVENIDA JOAO PAULO I,3134,EMBU DAS ARTES,,
59367,AVENIDA ELIAS YAZBEK,784,EMBU DAS ARTES,,
59390,AVENIDA JOAO RAMALHO,1000,SANTO ANDRE,,
59787,PRACA EROTIDES DE CAMPOS,975,SAO PAULO,,
59876,AVENIDA PROFESSOR VICENTE RAO,2327,SAO PAULO,,
59887,RUA DOS VIANAS,3148,SAO BERNARDO DO CAMPO,,
59957,RUA ANTONIO BEZERRA,702,SAO PAULO,,
60061,AVENIDA PADRE VICENTE MELILO,1544,OSASCO,,
60070,AVENIDA MARIA CAMPOS,1,OSASCO,,
60276,AVENIDA POMPEIA,10,SAO PAULO,,
60277,ACESSO RUA MONTE PASCAL,100,SAO PAULO,,
60422,ESTRADA CANAL DE COCAIA,1311,SAO PAULO,,
60472,RUA GUAICURUS,100,SAO PAULO,,
60513,VIADUTO DO GLICERIO,100,SAO PAULO,,
60586,ACESSO DAS LAGRIMAS,100,SAO CAETANO DO SUL,,
60790,AVENIDA WASHINGTON LUIS,7023,SAO PAULO,,
60884,AVENIDA GIOVANNI GRONCHI,3993,SAO PAULO,,
60911,AVENIDA ARICANDUVA,10,SAO PAULO,,
60969,ESTRADA CAUCAIA DO ALTO,100,COTIA,,
60997,AVENIDA PRESTES MAIA,,SAO PAULO,,
61121,VIADUTO TERESA DELTA,10,SAO BERNARDO DO CAMPO,,
61316,ACESSO PARA MARGINAL TIETE CENTRAL,17,SAO PAULO,,
61411,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,800,SAO PAULO,,
61613,AVENIDA DO CURSINO,3600,SAO PAULO,,
61627,AVENIDA CORONEL SEZEFREDO FAGUNDES,2699,SAO PAULO,,
61666,RUA MELO FREIRE,1,SAO PAULO,,
61851,AVENIDA DO IMPERADOR,4870,SAO PAULO,,
61889,VIADUTO GUERINO SPITALETI,100,OSASCO,,
61920,AVENIDA QUEIROZ FILHO,100,SAO PAULO,,
61943,AVENIDA ANCHIETA,720,SAO PAULO,,
62036,RUA MELO FREIRE,4800,SAO PAULO,,
62092,AVENIDA BRASIL,1456,SAO PAULO,,
62326,AVENIDA YERVANT KISSAJIKIAN,1949,SAO PAULO,,
62331,AVENIDA ROQUE PETRONI JUNIOR,1089,SAO PAULO,,
62345,AVENIDA PIRES DO RIO,4022,SAO PAULO,,
62400,ACESSO AVENIDA PRESIDENTE TANCREDO NEVES,100,SAO PAULO,,
62411,AVENIDA WASHINGTON LUIS,2500,SAO PAULO,,
62455,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,4950,SAO PAULO,,
62512,AVENIDA WASHINGTON LUIS,6800,SAO PAULO,,
62941,AVENIDA REBOUCAS,3025,SAO PAULO,,
62964,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,,
63275,AVENIDA MARGINAL,100,CARAPICUIBA,,
63407,AVENIDA CELSO DOS SANTOS,378,SAO PAULO,,
63799,RUA VERGUEIRO,,SAO PAULO,,
63877,PRESIDENTE CASTELLO BRANCO KM 25 3 LESTE,,BARUERI,,
64046,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
64392,SP 150,,SAO BERNARDO DO CAMPO,,
64471,SP 088,32.6,ARUJA,,
64476,AVENIDA JOAO VINTE E TRES,1130,SAO PAULO,,
64579,RUA EMILIA MARENGO,1330,SAO PAULO,,
64630,ACESSO DOUTOR EDUARDO COTCHING,2492,SAO PAULO,,
64826,PRESIDENTE DUTRA,,GUARULHOS,,
64850,ACESSO AVENIDA JACUPESSEGO,100,SAO PAULO,,
64855,PONTE JAGUARE,100,SAO PAULO,,
65152,AVENIDA PADRE VICENTE MELILO,100,OSASCO,,
65168,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
65171,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,5925,SAO PAULO,,
65412,VIADUTO POMPEIA,10,SAO PAULO,,
65421,AVENIDA DO ESTADO,5303,SAO PAULO,,
65514,AVENIDA DO ESTADO,5405,SAO PAULO,,
65553,AVENIDA DONA BELMIRA MARIN,2400,SAO PAULO,,
65648,AVENIDA MORUMBI,5062,SAO PAULO,,
65876,VIADUTO DOS TRABALHADORES,1000,BARUERI,,
66041,AVENIDA VITOR CIVITA,1200,OSASCO,,
66500,AVENIDA JOAO PAULO I,1203,EMBU DAS ARTES,,
66521,ESTRADA DO M'BOI MIRIM,8700,SAO PAULO,,
66666,RUA VEREADOR EMILIO MENEGHINI,100,SAO PAULO,,
66906,AVENIDA SAO PAULO,1588,EMBU DAS ARTES,,
67184,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5466,SANTO ANDRE,,
67512,AVENIDA DOUTOR EDUARDO COTCHING,10,SAO PAULO,,
67635,AVENIDA VINTE E TRES DE MAIO,3,SAO PAULO,,
67653,PRACA JACOMO ZANELA,187,SAO PAULO,,
67687,RUA FRANCISCO MARENGO,2000,SAO PAULO,,
67697,AVENIDA SHOZO SAKAI,1647,MOGI DAS CRUZES,,
68023,AVENIDA SAO MIGUEL,5891,SAO PAULO,,
68113,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855,SANTO ANDRE,,
68346,RUA MAJOR LUCIO DIAS RAMOS,51,SAO PAULO,,
68417,ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL,1,SAO PAULO,,
68426,RUA BELA VISTA DO PARAISO,1024,GUARULHOS,,
68428,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,10,DIADEMA,,
68471,ESTRADA GUAVIRUTUBA,821,SAO PAULO,,
68549,RUA CARLOS GOMES,1001,SAO PAULO,,
68774,AVENIDA FRANCISCO RODRIGUES FILHO,100,MOGI DAS CRUZES,,
68826,AVENIDA CRISANTEMO,500,OSASCO,,
68837,SP 015,555,SAO PAULO,,
68845,RUA DOZE DE JUNHO,126,GUARULHOS,,
68871,AVENIDA SAO PAULO,1800,EMBU DAS ARTES,,
68881,AVENIDA MARGINAL,100,CARAPICUIBA,,
68934,AVENIDA VINTE E TRES DE MAIO,25,SAO PAULO,,
68945,ACESSO DOUTOR ASSIS RIBEIRO,4160,SAO PAULO,,
69154,SP 230,283,EMBU DAS ARTES,,
69322,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO,,
69441,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
69746,AVENIDA MARCO ANTONIO CALEGARI,1,BARUERI,,
69849,RUA BENJAMIN RODRIGUES,125,SANTA ISABEL,,
69870,AVENIDA MORUMBI,3768,SAO PAULO,,
69937,AVENIDA HONORIO ALVARES PENTEADO,90,SANTANA DE PARNAIBA,,
70040,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53,SAO PAULO,,
70256,RUA SALVADOR DALI,31,SAO PAULO,,
70849,RUA JURUBATUBA,122,SAO BERNARDO DO CAMPO,,
70865,AVENIDA MARGINAL DO RIBEIRAO,1000,CARAPICUIBA,,
70987,SP 228,6300,SAO PAULO,,
71054,SP 015,514,SAO PAULO,,
71106,AVENIDA DOM PEDRO II,411,SANTO ANDRE,,
71564,PARQUE RAPOSO TAVARES,13,SAO PAULO,,
71584,AVENIDA JORNALISTA ROBERTO MARINHO,699,SAO PAULO,,
71598,SP 088,32.6,ARUJA,,
71606,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100,SAO BERNARDO DO CAMPO,,
71630,VIADUTO DO GLICERIO,100,SAO PAULO,,
71640,AVENIDA CHICA LUISA,2355,SAO PAULO,,
71650,AVENIDA PROFESSOR FRANCISCO MORATO,10,SAO PAULO,,
71747,ACESSO AVENIDA DO ESTADO,1255,SAO CAETANO DO SUL,,
71942,ALAMEDA AFONSO SCHMIDT,745,SAO PAULO,,
71943,AVENIDA JOAO PAULO PRIMEIRO,1711,SAO PAULO,,
71981,RUA NEPAL,871,SANTO ANDRE,,
71990,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,,
72029,AVENIDA SALIM FARAH MALUF,3167,SAO PAULO,,
72064,RUA DA COROA,1640,SAO PAULO,,
72269,ESTRADA CAUCAIA DO ALTO,4521,VARGEM GRANDE PAULISTA,,
72424,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE,,
72650,ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,1,ITAQUAQUECETUBA,,
72985,AVENIDA SPORT CLUB CORINTIANS PAULISTA,1000,OSASCO,,
72995,SP 088,,BIRITIBA MIRIM,,
73055,RUA JOAQUIM RIBEIRO,260,SAO PAULO,,
73147,RUA PADRE SILVERIO PARAOPEBA,22,SAO PAULO,,
73182,RUA JOAO PAULO,786,SAO PAULO,,
73408,AVENIDA DO CURSINO,1828,SAO PAULO,,
73468,AVENIDA DEPUTADO EMILIO CARLOS,2083,SAO PAULO,,
73485,AVENIDA NEVADA,3616,SANTO ANDRE,,
73542,AVENIDA ALDINO PINOTTI,601,SAO BERNARDO DO CAMPO,,
73640,ACESSO HEBE CAMARGO,1355,SAO PAULO,,
73950,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO,,
74062,AVENIDA DOM PAULO ROLIM LOUREIRO,,MOGI DAS CRUZES,,
74082,AVENIDA PROFESSOR ABRAAO DE MORAIS,1,SAO PAULO,,
74142,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL,,
74159,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO,,
74276,RETORNO RUA FREDERICO RENE DE JAEGHER,2628,SAO PAULO,,
74330,PONTE PRESIDENTE DUTRA,100,SAO PAULO,,
74577,ESTRADA DA COLONIA,10,SAO PAULO,,
74625,AVENIDA WASHINGTON LUIS,10,SAO PAULO,,
74626,AVENIDA DOS BANDEIRANTES,4969,SAO PAULO,,
74635,ESTRADA GUARULHOSNAZARE,6100,GUARULHOS,,
74697,AVENIDA PRESTES MAIA,100,SAO PAULO,,
74724,ESTRADA CATA PRETA,,SANTO ANDRE,,
74792,RUA ANTONIO IERVOLINO,1,GUARULHOS,,
74881,RUA TIRADENTES,1000,SAO BERNARDO DO CAMPO,,
74887,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
75097,AVENIDA VALTER BOVERI,500,OSASCO,,
75302,AVENIDA ARICANDUVA,11920,SAO PAULO,,
75322,RUA SAO CAETANO,943,EMBU DAS ARTES,,
75352,AVENIDA DOS SIGNOS,478,DIADEMA,,
75614,RUA ANTONIO DE FRANCA E SILVA,100,SAO PAULO,,
75663,RUA ANTONIO PASINATO,200,BARUERI,,
75794,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,
75859,AVENIDA TUCURUVI,2338,SAO PAULO,,
75892,AVENIDA DOS BANDEIRANTES,2829,SAO PAULO,,
76009,AVENIDA ENGENHEIRO CAETANO ALVARES,2350,SAO PAULO,,
76063,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
76138,ESTRADA IGUATEMI,6114,SAO PAULO,,
76469,AVENIDA MARECHAL TITO,3311,SAO PAULO,,
76553,RUA PROFESSOR COSME DEODATO TADEU,477,SAO PAULO,,
76571,RUA CONSELHEIRO MOREIRA DE BARROS,2400,SAO PAULO,,
76577,RUA DOUTOR ANTONIO BASTOS,100,COTIA,,
76607,RUA PATAPIO SILVA,307,SAO PAULO,,
76634,PRACA DELEGADO AMOROSO NETO,100,SAO PAULO,,
76737,AVENIDA ALDA,1876,DIADEMA,,
76965,AVENIDA DOUTOR ALBERTO JACKSON BYINGTON,100,OSASCO,,
76967,ROD JOAO AFONSO DE SOUZA CASTELLANO,455,ITAQUAQUECETUBA,,
77019,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,2999,SAO BERNARDO DO CAMPO,,
77165,RUA MELO FREIRE,2754,SAO PAULO,,
77254,AVENIDA ROUXINOL,8,GUARULHOS,,
77268,ACESSO AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,100,SAO PAULO,,
77699,SP 098,,BIRITIBA MIRIM,,
77706,RUA VITORIA,385,SAO BERNARDO DO CAMPO,,
77728,AVENIDA ITAPARK,5007,MAUA,,
77755,RUA ESTRADA DE ITAPECERICA A SANTO AMARO,100,ITAPECERICA DA SERRA,,
77918,RUA SARA KUBITSCHECK,520,SAO PAULO,,
78215,SP 070,13,SAO PAULO,,
78222,AVENIDA SAPOPEMBA,1999,SAO PAULO,,
78405,AVENIDA DOUTOR ARNALDO,100,SAO PAULO,,
78464,AVENIDA CAPITAO CASA,10,SAO BERNARDO DO CAMPO,,
78815,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE,,
78889,PRACA DA BANDEIRA,215,SAO PAULO,,
78910,RUA DA CONSOLACAO,584,SAO PAULO,,
78935,RUA DA INDEPENDENCIA,716,SAO PAULO,,
79139,AVENIDA REBOUCAS,3007,SAO PAULO,,
79143,RUA JOAQUINA DE JESUS,472,GUARULHOS,,
79157,AVENIDA CIDADE JUDAIDET MARJAYOUN,940,SAO PAULO,,
79233,DOM PAULO ROLIM LOUREIRO,,MOGI DAS CRUZES,,
79272,AVENIDA DO ESTADO,8877,SAO PAULO,,
79346,ESTRADA SAMUEL AIZEMBERG,100,SAO BERNARDO DO CAMPO,,
79514,AVENIDA WASHINGTON LUIS,3408,SAO PAULO,,
79538,ACESSO GIOVANNI GRONCHI,,SAO PAULO,,
79563,AVENIDA ESCOLA POLITECNICA,,SAO PAULO,,
79601,AVENIDA DOS BANDEIRANTES,5826,SAO PAULO,,
79628,AVENIDA PRESIDENTE TANCREDO NEVES,2001,SAO PAULO,,
79705,ESTACAO METRO CONCEICAO,150,SAO PAULO,,
79732,AVENIDA DOS AUTONOMISTAS,3160,OSASCO,,
79733,ACESSO AVENIDA ELIAS YAZBEK,926,EMBU DAS ARTES,,
79950,AVENIDA DOS BANDEIRANTES,2098,SAO PAULO,,
79974,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,,
80086,ESTRADA PIRAJUSSARA VALO VELHO,4300,SAO PAULO,,
80423,RUA ZIKE TUMA,1224,SAO PAULO,,
80635,RUA MIGUEL NUNES,100,SAO PAULO,,
80827,RUA ARLEY GILBERTO DE ARAUJO,,SAO PAULO,,
80889,RUA JOSE MANOEL NICOLI,2683,EMBU DAS ARTES,,
80908,AVENIDA JOAO PAULO PRIMEIRO,84,SAO PAULO,,
80977,ESTRADA DO CAMPO LIMPO,3676,SAO PAULO,,
80991,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
81183,RUA DOM TOMAS DE NORONHA,300,SAO PAULO,,
81553,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,6135,SAO PAULO,,
81575,PRACA ANIBAL GUEDES,100,SANTO ANDRE,,
81604,AVENIDA SEBASTIAO DAVINO DOS REIS,1015,BARUERI,,
81617,RUA NAZARE PAULISTA,3713,GUARULHOS,,
81627,AVENIDA FORTE DO LEME,1631,SAO PAULO,,
81650,AVENIDA VISCONDE DE NOVA GRANADA,2,OSASCO,,
81671,RUA BELA VISTA DO PARAISO,1242,GUARULHOS,,
81744,AVENIDA NOSSA SENHORA DO SABARA,2225,SAO PAULO,,
81957,AVENIDA PADRE ARLINDO VIEIRA,1502,SAO PAULO,,
82164,RUA AMERICA DO SUL,615,ITAPECERICA DA SERRA,,
82181,AVENIDA CARLOS DE CAMPOS,214,SAO PAULO,,
82199,VIADUTO DONA MATILDE,1,SAO PAULO,,
82588,AVENIDA ANTONIO CARDOSO,59,SANTO ANDRE,,
82593,RUA VOLUNTARIOS DA PATRIA,3300,SAO PAULO,,
82631,RUA FRANCISCO TRAMONTANO,100,SAO PAULO,,
82641,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE,,
82659,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,533,SAO BERNARDO DO CAMPO,,
82890,RUA LUIZ GATTI,977,SAO PAULO,,
82976,ESTRADA DO M'BOI MIRIM,8350,SAO PAULO,,
83163,AVENIDA CANGAIBA,2689,SAO PAULO,,
83265,VIADUTO ANTARTICA,,SAO PAULO,,
83453,RUA RIACHAO JACUIPE,224,GUARULHOS,,
83454,RUA JOSE DE OLIVEIRA COELHO,766,SAO PAULO,,
83460,AVENIDA INOCENCIO SERAFICO,6300,CARAPICUIBA,,
83622,VIADUTO GRANDE SAO PAULO  IPIRANGA,100,SAO PAULO,,
83732,AVENIDA DOS BANDEIRANTES,1074,SAO PAULO,,
83757,ALAMEDA RORAIMA,100,OSASCO,,
83807,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO,,
84206,AVENIDA ISALTINO VICTOR DE MORAES,280,EMBU DAS ARTES,,
84400,AVENIDA MARGINAL DO RIBEIRAO,4632,CARAPICUIBA,,
84406,AVENIDA ENGENHEIRO CAETANO ALVARES,4800,SAO PAULO,,
84517,ACESSO ALBERTO BYINGTON,1502,SAO PAULO,,
84532,ACESSO ESQUERDO   IMIGRANTES,1,SAO PAULO,,
84813,VIADUTO AIRTON SENNA,10,FERRAZ DE VASCONCELOS,,
84959,SP 056,10,ITAQUAQUECETUBA,,
84960,RUA NOSSA SENHORA MAE DOS HOMENS,1182,GUARULHOS,,
85096,AVENIDA SENADOR TEOTONIO VILELA,3900,SAO PAULO,,
85104,AVENIDA GIOVANNI GRONCHI,3510,SAO PAULO,,
85141,AVENIDA TENENTE MARQUES,5300,SANTANA DE PARNAIBA,,
85339,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,,
85344,PRACA QUATORZE BIS,1,SAO PAULO,,
85403,AVENIDA DOS BANDEIRANTES,200,SAO PAULO,,
85413,RUA HENRIQUE SCHAUMANN,100,SAO PAULO,,
85523,RUA HONDURAS,1,SAO PAULO,,
85528,RUA CELSO DE AZEVEDO MARQUES,454,SAO PAULO,,
85705,AVENIDA MARGINAL DO RIBEIRAO,2150,CARAPICUIBA,,
85706,PONTE DO LIMAO,1,SAO PAULO,,
85781,AVENIDA DOS BANDEIRANTES,485,SAO PAULO,,
86003,ESTRADA DO M'BOI MIRIM,7000,SAO PAULO,,
86043,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,,
86244,AVENIDA CRUZEIRO DO SUL,1707,OSASCO,,
86252,AVENIDA ARICANDUVA,10,SAO PAULO,,
86255,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,,
86305,ACESSO DAS LAGRIMAS,467,SAO CAETANO DO SUL,,
86342,RUA CONFEDERACAO DOS TAMOIOS,10,SAO PAULO,,
86375,ESTRADA DO PEDROSO,2000,SANTO ANDRE,,
86613,SP 031,1,RIBEIRAO PIRES,,
86855,RUA ANTONIO DE FRANCA E SILVA,100,SAO PAULO,,
87187,AVENIDA JEAN LIEUTAUD,663,RIO GRANDE DA SERRA,,
87240,AVENIDA JOAO DE ANDRADE,401,OSASCO,,
87285,AVENIDA TOWER AUTOMOTIVE,611,ARUJA,,
87309,AVENIDA VINTE E TRES DE MAIO,3,SAO PAULO,,
87342,AVENIDA DOS ESTADOS,6393,SANTO ANDRE,,
87364,AVENIDA DOUTOR ALBERTO JACKSON BYINGTON,2020,OSASCO,,
87800,RAPOSO TAVARES KM 33 700 PISTA OESTE,,COTIA,,
87927,ACESSO AVENIDA MIGUEL ESTEFANO,731,SAO PAULO,,
87989,RUA TIRADENTES,970,DIADEMA,,
88012,RUA PROFESSOR GUILHERME BELFORT SABINO,1441,SAO PAULO,,
88081,AVENIDA ROTARY,100,EMBU DAS ARTES,,
88320,RUA AMARALINA,166,VARGEM GRANDE PAULISTA,,
88325,TERMINAL PARELHEIROS,1032,SAO PAULO,,
88327,AVENIDA TONICO LENCI,4076,FRANCO DA ROCHA,,
88381,PRACA EMBAIXADOR CIRO DE FREITAS VALLE,100,SAO PAULO,,
88451,ESTRADA PEDREIRA ALVARENGA,6198,DIADEMA,,
88543,AVENIDA SENADOR VERGUEIRO,100,SAO BERNARDO DO CAMPO,,
88904,AVENIDA DO ANASTACIO,100,SAO PAULO,,
88955,RUA MONTEIRO LOBATO,3411,SAO PAULO,,
88987,AVENIDA INAJAR DE SOUZA,4710,SAO PAULO,,
89006,VIADUTO TERESA DELTA,10,SAO BERNARDO DO CAMPO,,
89082,AVENIDA PRESIDENTE TANCREDO NEVES,2020,SAO PAULO,,
89109,RUA CORONEL SOUZA FRANCO,1185,MOGI DAS CRUZES,,
89236,AVENIDA DOS ESTADOS,1394,SANTO ANDRE,,
89239,PARQUE RAPOSO TAVARES,10,SAO PAULO,,
89401,AVENIDA JOAO PAULO PRIMEIRO,83,SAO PAULO,,
89468,VIADUTO DONA MATILDE,10,SAO PAULO,,
89772,RUA MATARAZZO,354,SAO PAULO,,
89817,SP 015,500,SAO PAULO,,
89823,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,,
89825,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,,
89895,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4001,SAO BERNARDO DO CAMPO,,
89935,PRACA DOMINGOS ANTONIO LOPES,1,FRANCO DA ROCHA,,
90073,AVENIDA JACU PESSEGO,100,GUARULHOS,,
90198,ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO,,
90206,AVENIDA YOJIRO TAKAOKA,2722,SANTANA DE PARNAIBA,,
90231,AVENIDA INTERLAGOS,6563,SAO PAULO,,
90660,AVENIDA PROFESSOR FRANCISCO MORATO,3179,SAO PAULO,,
90661,RUA JOSE BARROS MAGALDI,2006,SAO PAULO,,
90925,AVENIDA KEMEL ADDAS,1281,SAO PAULO,,
91211,AVENIDA LAURO GOMES,100,SAO BERNARDO DO CAMPO,,
91238,AVENIDA MARGINAL DO RIBEIRAO,4633,CARAPICUIBA,,
91400,RUA ANTONIO DE FRANCA E SILVA,100,SAO PAULO,,
91495,AVENIDA VILA EMA,5959,SAO PAULO,,
91900,ACESSO AVENIDA CIDADE JARDIM,10,SAO PAULO,,
91917,RUA SALVADOR DALI,1360,SAO PAULO,,
92001,AVENIDA MARECHAL TITO,2615,SAO PAULO,,
92057,AVENIDA ALDA,2425,DIADEMA,,
92082,AVENIDA BRIGADEIRO FARIA LIMA,,SAO PAULO,,
92091,AVENIDA FRANCISCO MARENGO,2599,SUZANO,,
92465,AVENIDA NORTE E SUL,600,GUARULHOS,,
92568,AVENIDA ARRAIAS DO ARAGUAIA,9,SAO PAULO,,
92805,AVENIDA LAURO GOMES,1150,SANTO ANDRE,,
92889,RUA HUMBERTO DE CAMPOS,1100,RIBEIRAO PIRES,,
92926,RUA JOAQUIM RIBEIRO,259,SAO PAULO,,
93027,RUA DOUTOR ZUQUIM,1034,SAO PAULO,,
93200,ACESSO PARA A  ANHANGUERA,12,SAO PAULO,,
93214,IMIGRANTES,100,SAO PAULO,,
93268,RUA AMARO ALVES DO ROSARIO,4680,SAO PAULO,,
93324,RUA JAMIL JOAO ZARIFE,899,GUARULHOS,,
93335,AVENIDA VITAL BRASIL,1,SAO PAULO,,
93426,AVENIDA DOS ESTADOS,7439,SANTO ANDRE,,
93842,ACESSO CANAL DE COCAIA,155,SAO PAULO,,
93889,AVENIDA SANTOS DUMONT,,SAO PAULO,,
93901,ESTRADA DO M'BOI MIRIM,7899,SAO PAULO,,
93915,ESTRADA DOS ALVARENGAS,53457,SAO BERNARDO DO CAMPO,,
94153,RUA SAIRA,295,SAO PAULO,,
94321,ESTRADA PIRAJUSSARA VALO VELHO,3000,SAO PAULO,,
94389,ESTRADA DO M'BOI MIRIM,3358,SAO PAULO,,
94393,AVENIDA MARIA CAMPOS,810,OSASCO,,
94410,ESTRADA DO ALVARENGA,2700,SAO PAULO,,
94419,AVENIDA SARGENTO GERALDO SANTANA,1491,SAO PAULO,,
94628,AVENIDA YOJIRO TAKAOKA,5450,BARUERI,,
94871,AVENIDA MARECHAL TITO,7003,SAO PAULO,,
94888,RUA DOUTOR MOISES KAHAN,510,SAO PAULO,,
95172,AVENIDA TENENTE MARQUES,3968,CAJAMAR,,
95304,AVENIDA BRASIL,2005,FERRAZ DE VASCONCELOS,,
95590,RUA JARARAHU,100,SAO PAULO,,
95634,AVENIDA DOUTOR TIMOTEO PENTEADO,2212,GUARULHOS,,
95687,PRACA OCAPEGUA,400,SAO PAULO,,
95779,RUA NITO SONA,1,MOGI DAS CRUZES,,
95782,AVENIDA GOVERNADOR CARVALHO PINTO,2045,SAO PAULO,,
96178,AVENIDA CELSO DOS SANTOS,810,SAO PAULO,,
96412,AVENIDA PROFESSOR FRANCISCO MORATO,3179,SAO PAULO,,
96425,AVENIDA INTERLAGOS,6330,SAO PAULO,,
96438,AVENIDA PROFESSOR VICENTE RAO,421,SAO PAULO,,
96506,ESTRADA DE ITAPECERICA,5104,SAO PAULO,,
96509,VIADUTO PEDROSO,100,SAO PAULO,,
96515,AVENIDA RAGUEB CHOHFI,7619,SAO PAULO,,
96525,AVENIDA DOM PEDRO II,2867,FERRAZ DE VASCONCELOS,,
96730,AVENIDA DEPUTADO CANTIDIO SAMPAIO,5947,SAO PAULO,,
96743,RUA CINCO,235,SAO PAULO,,
96780,AVENIDA JOAO DIAS,100,SAO PAULO,,
96811,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,469,SAO PAULO,,
96814,AVENIDA IBIRAMA,235,TABOAO DA SERRA,,
96959,RUA EGILIO VITORELLO,906,CARAPICUIBA,,
97077,VIADUTO DO GLICERIO,100,SAO PAULO,,
97096,PONTE DA VILA GUILHERME,100,SAO PAULO,,
97276,RUA JOSE MONTEIRO,,SAO PAULO,,
97540,RUA JAMIL JOAO ZARIFE,21,GUARULHOS,,
97640,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
97708,AVENIDA DO IMPERADOR,5374,SAO PAULO,,
97713,AVENIDA ROBERTO KENEDY,3974,SAO BERNARDO DO CAMPO,,
97717,RUA EDSON,11,SAO PAULO,,
97728,ESTRADA PROFESSOR LAUDELINO ALVES FERREIRA,1198,FRANCO DA ROCHA,,
97804,AVENIDA NORDESTINA,2860,SAO PAULO,,
97901,AVENIDA NORTE E SUL,400,GUARULHOS,,
97911,RUA ORATORIO,3727,SANTO ANDRE,,
98155,ACESSO DOUTOR ALVARO DE CAMPOS CARNEIRO,,MOGI DAS CRUZES,,
98161,AVENIDA DOS BANDEIRANTES,5500,SAO PAULO,,
98272,ACESSO AVENIDA AFFONSO D TAUNAY,1,SAO PAULO,,
98436,ACESSO AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO,,
98653,ESTRADA NOSSA SENHORA DE FATIMA,833,COTIA,,
98670,AVENIDA CIPRIANO RODRIGUES,192,SAO PAULO,,
98746,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5036,SANTO ANDRE,,
98751,ACESSO RUA VEREADOR JOAO BATISTA FITIPALDI,1731,SUZANO,,
98892,AVENIDA CANGAIBA,5305,SAO PAULO,,
98927,RUA REVERENDO ISRAEL VIEIRA FERREIRA,79,SAO PAULO,,
99157,RUA RUI BARBOSA,,SAO PAULO,,
99346,ACESSO DOUTOR EDUARDO COTCHING,1522,SAO PAULO,,
99506,RUA SERGIO SHIGERU HARADA,1626,CAJAMAR,,
99674,AVENIDA MARGINAL,1234,CARAPICUIBA,,
99755,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
99757,AVENIDA GREGORIO BEZERRA,300,SAO PAULO,,
99761,AVENIDA SANTO AMARO,6609,SAO PAULO,,
99792,ESTRADA DO JACARANDA,3034,CARAPICUIBA,,
