,Logradouro,Numero/KM,Município,Longitude,Latitude
17148,SP 122,,SAO BERNARDO DO CAMPO,,
17485,AVENIDA SALIM FARAH MALUF,3984,SAO PAULO,,
17698,AVENIDA SILVESTRE PIRES DE FREITAS,156,GUARULHOS,,
17858,PRESID TANCREDO DE ALMEIDA NEVES,44,CAIEIRAS,,
18069,AVENIDA BRIGADEIRO LUIS ANTONIO,4277,SAO PAULO,,
18089,RUA JEQUIRITUBA,1264,SAO PAULO,,
18114,AVENIDA COMENDADOR SANTANNA,896,SAO PAULO,,
18174,AVENIDA WASHINGTON LUIS,3693,SAO PAULO,,
18535,IMIGRANTES,16,DIADEMA,,
18619,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,,
18736,ACESSO PARA MARGINAL TIETE CENTRAL,100,SAO PAULO,,
18841,SP 230,274,TABOAO DA SERRA,,
19131,ALAMEDA DOM PEDRO DE ALCANTARA,470,SAO BERNARDO DO CAMPO,,
19142,VIADUTO JULIO MESQUITA FILHO,2,SAO PAULO,,
19172,ESTACAO METRO VILA MATILDE,100,SAO PAULO,,
19238,IMIGRANTES,10,SAO PAULO,,
19253,AVENIDA SENADOR TEOTONIO VILELA,5165,SAO PAULO,,
19364,SP 015,385,SAO PAULO,,
19528,PRESID TANCREDO DE ALMEIDA NEVES,2647,CAIEIRAS,,
19983,ESTRADA VELHA DA OLARIA,1935,COTIA,,
20312,SP 031,,SUZANO,,
20458,ESTRADA VELHA DA OLARIA,1930,COTIA,,
20583,AVENIDA LUIZ GUSHIKEN,170,SAO PAULO,,
20654,AVENIDA KEMEL ADDAS,1134,SAO PAULO,,
20691,RUA DOS VIANAS,3088,SAO BERNARDO DO CAMPO,,
20735,SP 230,1,TABOAO DA SERRA,,
21077,VIADUTO  MARIO COVAS,,SAO PAULO,,
21096,PONTE DA VILA GUILHERME,50,SAO PAULO,,
21110,SP 230,272,TABOAO DA SERRA,,
21171,PRACA DOUTOR SAMPAIO VIDAL,23,SAO PAULO,,
21196,AVENIDA PACAEMBU,10017,SAO PAULO,,
21250,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
21324,AVENIDA SAPOPEMBA,2600,SAO PAULO,,
21607,PRACA CAMPO DE BAGATELLE,10,SAO PAULO,,
21654,AVENIDA NATALIA ZARIF,100,GUARULHOS,,
21824,RUA XIRIRICA,1480,SAO PAULO,,
21961,ESTRADA DO JACARANDA,1592,CARAPICUIBA,,
22218,IMIGRANTES,12,SAO PAULO,,
22273,RUA SADAMU INOUE,6744,SAO PAULO,,
22571,ACESSO AVENIDA DOM PEDRO DE ALCANTARA,377,SAO BERNARDO DO CAMPO,,
22590,AVENIDA DOS BANDEIRANTES,781,SAO PAULO,,
22602,AVENIDA TIRADENTES,100,SAO PAULO,,
23585,AVENIDA PREFEITO HIRANT SANAZAR,461,OSASCO,,
23870,PRACA CAMPO DE BAGATELLE,300,SAO PAULO,,
