,Logradouro,Numero/KM,Município
2702,AVENIDA COMENDADOR SANTANNA,896,SAO PAULO
2707,AVENIDA WASHINGTON LUIS,3693,SAO PAULO
2766,IMIGRANTES,16,DIADEMA
2774,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
2819,ACESSO PARA MARGINAL TIETE CENTRAL,100,SAO PAULO
2829,SP 230,274,TABOAO DA SERRA
2882,ALAMEDA DOM PEDRO DE ALCANTARA,470,SAO BERNARDO DO CAMPO
2883,VIADUTO JULIO MESQUITA FILHO,2,SAO PAULO
2886,ESTACAO METRO VILA MATILDE,100,SAO PAULO
2892,IMIGRANTES,10,SAO PAULO
2894,AVENIDA SENADOR TEOTONIO VILELA,5165,SAO PAULO
2907,SP 015,385,SAO PAULO
2946,PRESID TANCREDO DE ALMEIDA NEVES,2647,CAIEIRAS
2994,ESTRADA VELHA DA OLARIA,1935,COTIA
3011,SP 031,,SUZANO
3042,ESTRADA VELHA DA OLARIA,1930,COTIA
3053,AVENIDA LUIZ GUSHIKEN,170,SAO PAULO
3057,AVENIDA KEMEL ADDAS,1134,SAO PAULO
3058,RUA DOS VIANAS,3088,SAO BERNARDO DO CAMPO
3060,SP 230,1,TABOAO DA SERRA
3123,VIADUTO  MARIO COVAS,,SAO PAULO
3125,PONTE DA VILA GUILHERME,50,SAO PAULO
3127,SP 230,272,TABOAO DA SERRA
3133,PRACA DOUTOR SAMPAIO VIDAL,23,SAO PAULO
3137,AVENIDA PACAEMBU,10017,SAO PAULO
3143,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
3149,AVENIDA SAPOPEMBA,2600,SAO PAULO
3209,PRACA CAMPO DE BAGATELLE,10,SAO PAULO
3213,AVENIDA NATALIA ZARIF,100,GUARULHOS
3224,RUA XIRIRICA,1480,SAO PAULO
3269,ESTRADA DO JACARANDA,1592,CARAPICUIBA
3288,IMIGRANTES,12,SAO PAULO
3293,RUA SADAMU INOUE,6744,SAO PAULO
