,Logradouro,Numero/KM,Município
8638,AVENIDA ARICANDUVA,10,SAO PAULO
8640,ESTRADA CAUCAIA DO ALTO,100,COTIA
8644,AVENIDA PRESTES MAIA,,SAO PAULO
8658,VIADUTO TERESA DELTA,10,SAO BERNARDO DO CAMPO
8721,ACESSO PARA MARGINAL TIETE CENTRAL,17,SAO PAULO
8732,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,800,SAO PAULO
8747,AVENIDA DO CURSINO,3600,SAO PAULO
8749,AVENIDA CORONEL SEZEFREDO FAGUNDES,2699,SAO PAULO
8753,RUA MELO FREIRE,1,SAO PAULO
8798,AVENIDA DO IMPERADOR,4870,SAO PAULO
8803,VIADUTO GUERINO SPITALETI,100,OSASCO
8806,AVENIDA QUEIROZ FILHO,100,SAO PAULO
8810,AVENIDA ANCHIETA,720,SAO PAULO
8819,RUA MELO FREIRE,4800,SAO PAULO
8824,AVENIDA BRASIL,1456,SAO PAULO
8877,AVENIDA YERVANT KISSAJIKIAN,1949,SAO PAULO
8879,AVENIDA ROQUE PETRONI JUNIOR,1089,SAO PAULO
8883,AVENIDA PIRES DO RIO,4022,SAO PAULO
8888,ACESSO AVENIDA PRESIDENTE TANCREDO NEVES,100,SAO PAULO
8891,AVENIDA WASHINGTON LUIS,2500,SAO PAULO
8895,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,4950,SAO PAULO
8904,AVENIDA WASHINGTON LUIS,6800,SAO PAULO
8940,AVENIDA REBOUCAS,3025,SAO PAULO
8941,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
8990,AVENIDA MARGINAL,100,CARAPICUIBA
9001,AVENIDA CELSO DOS SANTOS,378,SAO PAULO
9080,RUA VERGUEIRO,,SAO PAULO
9086,PRESIDENTE CASTELLO BRANCO KM 25 3 LESTE,,BARUERI
9099,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
9159,SP 150,,SAO BERNARDO DO CAMPO
9167,SP 088,32.6,ARUJA
9168,AVENIDA JOAO VINTE E TRES,1130,SAO PAULO
9176,RUA EMILIA MARENGO,1330,SAO PAULO
9179,ACESSO DOUTOR EDUARDO COTCHING,2492,SAO PAULO
9231,PRESIDENTE DUTRA,,GUARULHOS
9234,ACESSO AVENIDA JACUPESSEGO,100,SAO PAULO
9235,PONTE JAGUARE,100,SAO PAULO
9255,AVENIDA PADRE VICENTE MELILO,100,OSASCO
9257,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
9258,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,5925,SAO PAULO
9318,VIADUTO POMPEIA,10,SAO PAULO
9319,AVENIDA DO ESTADO,5303,SAO PAULO
9332,AVENIDA DO ESTADO,5405,SAO PAULO
9338,AVENIDA DONA BELMIRA MARIN,2400,SAO PAULO
9345,AVENIDA MORUMBI,5062,SAO PAULO
9399,VIADUTO DOS TRABALHADORES,1000,BARUERI
9402,AVENIDA VITOR CIVITA,1200,OSASCO
9457,AVENIDA JOAO PAULO I,1203,EMBU DAS ARTES
9459,ESTRADA DO M'BOI MIRIM,8700,SAO PAULO
9463,RUA VEREADOR EMILIO MENEGHINI,100,SAO PAULO
9510,AVENIDA SAO PAULO,1588,EMBU DAS ARTES
9538,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5466,SANTO ANDRE
9598,AVENIDA DOUTOR EDUARDO COTCHING,10,SAO PAULO
9615,AVENIDA VINTE E TRES DE MAIO,3,SAO PAULO
9619,PRACA JACOMO ZANELA,187,SAO PAULO
9622,RUA FRANCISCO MARENGO,2000,SAO PAULO
9624,AVENIDA SHOZO SAKAI,1647,MOGI DAS CRUZES
9691,AVENIDA SAO MIGUEL,5891,SAO PAULO
9700,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855,SANTO ANDRE
9747,RUA MAJOR LUCIO DIAS RAMOS,51,SAO PAULO
9754,ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL,1,SAO PAULO
9756,RUA BELA VISTA DO PARAISO,1024,GUARULHOS
9758,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,10,DIADEMA
9763,ESTRADA GUAVIRUTUBA,821,SAO PAULO
9774,RUA CARLOS GOMES,1001,SAO PAULO
9818,AVENIDA FRANCISCO RODRIGUES FILHO,100,MOGI DAS CRUZES
9821,AVENIDA CRISANTEMO,500,OSASCO
9823,SP 015,555,SAO PAULO
9824,RUA DOZE DE JUNHO,126,GUARULHOS
9827,AVENIDA SAO PAULO,1800,EMBU DAS ARTES
9828,AVENIDA MARGINAL,100,CARAPICUIBA
9830,AVENIDA VINTE E TRES DE MAIO,25,SAO PAULO
9833,ACESSO DOUTOR ASSIS RIBEIRO,4160,SAO PAULO
9873,SP 230,283,EMBU DAS ARTES
9891,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO
9898,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
9948,AVENIDA MARCO ANTONIO CALEGARI,1,BARUERI
9953,RUA BENJAMIN RODRIGUES,125,SANTA ISABEL
9955,AVENIDA MORUMBI,3768,SAO PAULO
9959,AVENIDA HONORIO ALVARES PENTEADO,90,SANTANA DE PARNAIBA
9963,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53,SAO PAULO
10020,RUA SALVADOR DALI,31,SAO PAULO
10096,RUA JURUBATUBA,122,SAO BERNARDO DO CAMPO
10098,AVENIDA MARGINAL DO RIBEIRAO,1000,CARAPICUIBA
10107,SP 228,6300,SAO PAULO
10113,SP 015,514,SAO PAULO
10120,AVENIDA DOM PEDRO II,411,SANTO ANDRE
10184,PARQUE RAPOSO TAVARES,13,SAO PAULO
10186,AVENIDA JORNALISTA ROBERTO MARINHO,699,SAO PAULO
10188,SP 088,32.6,ARUJA
10189,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100,SAO BERNARDO DO CAMPO
10191,VIADUTO DO GLICERIO,100,SAO PAULO
10192,AVENIDA CHICA LUISA,2355,SAO PAULO
10196,AVENIDA PROFESSOR FRANCISCO MORATO,10,SAO PAULO
10202,ACESSO AVENIDA DO ESTADO,1255,SAO CAETANO DO SUL
10248,ALAMEDA AFONSO SCHMIDT,745,SAO PAULO
10249,AVENIDA JOAO PAULO PRIMEIRO,1711,SAO PAULO
10252,RUA NEPAL,871,SANTO ANDRE
10253,AVENIDA CONDE DE FRONTIN,10,SAO PAULO
10255,AVENIDA SALIM FARAH MALUF,3167,SAO PAULO
10258,RUA DA COROA,1640,SAO PAULO
10273,ESTRADA CAUCAIA DO ALTO,4521,VARGEM GRANDE PAULISTA
10306,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE
10324,ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,1,ITAQUAQUECETUBA
10383,AVENIDA SPORT CLUB CORINTIANS PAULISTA,1000,OSASCO
10385,SP 088,,BIRITIBA MIRIM
10390,RUA JOAQUIM RIBEIRO,260,SAO PAULO
10398,RUA PADRE SILVERIO PARAOPEBA,22,SAO PAULO
10400,RUA JOAO PAULO,786,SAO PAULO
10438,AVENIDA DO CURSINO,1828,SAO PAULO
10443,AVENIDA DEPUTADO EMILIO CARLOS,2083,SAO PAULO
10445,AVENIDA NEVADA,3616,SANTO ANDRE
10448,AVENIDA ALDINO PINOTTI,601,SAO BERNARDO DO CAMPO
10454,ACESSO HEBE CAMARGO,1355,SAO PAULO
10503,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO
10509,AVENIDA DOM PAULO ROLIM LOUREIRO,,MOGI DAS CRUZES
10511,AVENIDA PROFESSOR ABRAAO DE MORAIS,1,SAO PAULO
10518,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL
10521,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100,SAO PAULO
10535,RETORNO RUA FREDERICO RENE DE JAEGHER,2628,SAO PAULO
10538,PONTE PRESIDENTE DUTRA,100,SAO PAULO
10600,ESTRADA DA COLONIA,10,SAO PAULO
10604,AVENIDA WASHINGTON LUIS,10,SAO PAULO
10605,AVENIDA DOS BANDEIRANTES,4969,SAO PAULO
10606,ESTRADA GUARULHOSNAZARE,6100,GUARULHOS
10613,AVENIDA PRESTES MAIA,100,SAO PAULO
10616,ESTRADA CATA PRETA,,SANTO ANDRE
10622,RUA ANTONIO IERVOLINO,1,GUARULHOS
10630,RUA TIRADENTES,1000,SAO BERNARDO DO CAMPO
10631,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
10675,AVENIDA VALTER BOVERI,500,OSASCO
10686,AVENIDA ARICANDUVA,11920,SAO PAULO
10690,RUA SAO CAETANO,943,EMBU DAS ARTES
10694,AVENIDA DOS SIGNOS,478,DIADEMA
10752,RUA ANTONIO DE FRANCA E SILVA,100,SAO PAULO
10755,RUA ANTONIO PASINATO,200,BARUERI
10765,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
10772,AVENIDA TUCURUVI,2338,SAO PAULO
10775,AVENIDA DOS BANDEIRANTES,2829,SAO PAULO
10815,AVENIDA ENGENHEIRO CAETANO ALVARES,2350,SAO PAULO
10817,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
10821,ESTRADA IGUATEMI,6114,SAO PAULO
10877,AVENIDA MARECHAL TITO,3311,SAO PAULO
10885,RUA PROFESSOR COSME DEODATO TADEU,477,SAO PAULO
10886,RUA CONSELHEIRO MOREIRA DE BARROS,2400,SAO PAULO
10889,RUA DOUTOR ANTONIO BASTOS,100,COTIA
10892,RUA PATAPIO SILVA,307,SAO PAULO
10897,PRACA DELEGADO AMOROSO NETO,100,SAO PAULO
10912,AVENIDA ALDA,1876,DIADEMA
10958,AVENIDA DOUTOR ALBERTO JACKSON BYINGTON,100,OSASCO
10959,ROD JOAO AFONSO DE SOUZA CASTELLANO,455,ITAQUAQUECETUBA
10965,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,2999,SAO BERNARDO DO CAMPO
10982,RUA MELO FREIRE,2754,SAO PAULO
10994,AVENIDA ROUXINOL,8,GUARULHOS
10995,ACESSO AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,100,SAO PAULO
11078,SP 098,,BIRITIBA MIRIM
11079,RUA VITORIA,385,SAO BERNARDO DO CAMPO
11080,AVENIDA ITAPARK,5007,MAUA
11083,RUA ESTRADA DE ITAPECERICA A SANTO AMARO,100,ITAPECERICA DA SERRA
11095,RUA SARA KUBITSCHECK,520,SAO PAULO
11174,SP 070,13,SAO PAULO
11177,AVENIDA SAPOPEMBA,1999,SAO PAULO
11195,AVENIDA DOUTOR ARNALDO,100,SAO PAULO
11207,AVENIDA CAPITAO CASA,10,SAO BERNARDO DO CAMPO
11282,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE
11284,PRACA DA BANDEIRA,215,SAO PAULO
11287,RUA DA CONSOLACAO,584,SAO PAULO
11290,RUA DA INDEPENDENCIA,716,SAO PAULO
11341,AVENIDA REBOUCAS,3007,SAO PAULO
11342,RUA JOAQUINA DE JESUS,472,GUARULHOS
11344,AVENIDA CIDADE JUDAIDET MARJAYOUN,940,SAO PAULO
11349,DOM PAULO ROLIM LOUREIRO,,MOGI DAS CRUZES
11352,AVENIDA DO ESTADO,8877,SAO PAULO
11362,ESTRADA SAMUEL AIZEMBERG,100,SAO BERNARDO DO CAMPO
11395,AVENIDA WASHINGTON LUIS,3408,SAO PAULO
11397,ACESSO GIOVANNI GRONCHI,,SAO PAULO
11401,AVENIDA ESCOLA POLITECNICA,,SAO PAULO
11408,AVENIDA DOS BANDEIRANTES,5826,SAO PAULO
11410,AVENIDA PRESIDENTE TANCREDO NEVES,2001,SAO PAULO
11417,ESTACAO METRO CONCEICAO,150,SAO PAULO
11422,AVENIDA DOS AUTONOMISTAS,3160,OSASCO
11423,ACESSO AVENIDA ELIAS YAZBEK,926,EMBU DAS ARTES
11496,AVENIDA DOS BANDEIRANTES,2098,SAO PAULO
11498,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
11508,ESTRADA PIRAJUSSARA VALO VELHO,4300,SAO PAULO
11551,RUA ZIKE TUMA,1224,SAO PAULO
11563,RUA MIGUEL NUNES,100,SAO PAULO
11607,RUA ARLEY GILBERTO DE ARAUJO,,SAO PAULO
11610,RUA JOSE MANOEL NICOLI,2683,EMBU DAS ARTES
11613,AVENIDA JOAO PAULO PRIMEIRO,84,SAO PAULO
11626,ESTRADA DO CAMPO LIMPO,3676,SAO PAULO
11629,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
11643,RUA DOM TOMAS DE NORONHA,300,SAO PAULO
11712,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,6135,SAO PAULO
11715,PRACA ANIBAL GUEDES,100,SANTO ANDRE
11719,AVENIDA SEBASTIAO DAVINO DOS REIS,1015,BARUERI
11720,RUA NAZARE PAULISTA,3713,GUARULHOS
11722,AVENIDA FORTE DO LEME,1631,SAO PAULO
11724,AVENIDA VISCONDE DE NOVA GRANADA,2,OSASCO
11726,RUA BELA VISTA DO PARAISO,1242,GUARULHOS
11731,AVENIDA NOSSA SENHORA DO SABARA,2225,SAO PAULO
11797,AVENIDA PADRE ARLINDO VIEIRA,1502,SAO PAULO
11823,RUA AMERICA DO SUL,615,ITAPECERICA DA SERRA
11824,AVENIDA CARLOS DE CAMPOS,214,SAO PAULO
11825,VIADUTO DONA MATILDE,1,SAO PAULO
11907,AVENIDA ANTONIO CARDOSO,59,SANTO ANDRE
11908,RUA VOLUNTARIOS DA PATRIA,3300,SAO PAULO
11912,RUA FRANCISCO TRAMONTANO,100,SAO PAULO
11914,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE
11916,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,533,SAO BERNARDO DO CAMPO
11970,RUA LUIZ GATTI,977,SAO PAULO
11982,ESTRADA DO M'BOI MIRIM,8350,SAO PAULO
12041,AVENIDA CANGAIBA,2689,SAO PAULO
12053,VIADUTO ANTARTICA,,SAO PAULO
12073,RUA RIACHAO JACUIPE,224,GUARULHOS
12074,RUA JOSE DE OLIVEIRA COELHO,766,SAO PAULO
12075,AVENIDA INOCENCIO SERAFICO,6300,CARAPICUIBA
12116,VIADUTO GRANDE SAO PAULO  IPIRANGA,100,SAO PAULO
12124,AVENIDA DOS BANDEIRANTES,1074,SAO PAULO
12128,ALAMEDA RORAIMA,100,OSASCO
12137,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO
12211,AVENIDA ISALTINO VICTOR DE MORAES,280,EMBU DAS ARTES
12226,AVENIDA MARGINAL DO RIBEIRAO,4632,CARAPICUIBA
12227,AVENIDA ENGENHEIRO CAETANO ALVARES,4800,SAO PAULO
12231,ACESSO ALBERTO BYINGTON,1502,SAO PAULO
12233,ACESSO ESQUERDO   IMIGRANTES,1,SAO PAULO
12301,VIADUTO AIRTON SENNA,10,FERRAZ DE VASCONCELOS
12312,SP 056,10,ITAQUAQUECETUBA
12313,RUA NOSSA SENHORA MAE DOS HOMENS,1182,GUARULHOS
12328,AVENIDA SENADOR TEOTONIO VILELA,3900,SAO PAULO
12329,AVENIDA GIOVANNI GRONCHI,3510,SAO PAULO
12334,AVENIDA TENENTE MARQUES,5300,SANTANA DE PARNAIBA
12384,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO
12385,PRACA QUATORZE BIS,1,SAO PAULO
12391,AVENIDA DOS BANDEIRANTES,200,SAO PAULO
12393,RUA HENRIQUE SCHAUMANN,100,SAO PAULO
12406,RUA HONDURAS,1,SAO PAULO
12407,RUA CELSO DE AZEVEDO MARQUES,454,SAO PAULO
12471,AVENIDA MARGINAL DO RIBEIRAO,2150,CARAPICUIBA
12472,PONTE DO LIMAO,1,SAO PAULO
12478,AVENIDA DOS BANDEIRANTES,485,SAO PAULO
12498,ESTRADA DO M'BOI MIRIM,7000,SAO PAULO
12505,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
12556,AVENIDA CRUZEIRO DO SUL,1707,OSASCO
12558,AVENIDA ARICANDUVA,10,SAO PAULO
12559,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
12564,ACESSO DAS LAGRIMAS,467,SAO CAETANO DO SUL
12568,RUA CONFEDERACAO DOS TAMOIOS,10,SAO PAULO
12569,ESTRADA DO PEDROSO,2000,SANTO ANDRE
12616,SP 031,1,RIBEIRAO PIRES
12632,RUA ANTONIO DE FRANCA E SILVA,100,SAO PAULO
12679,AVENIDA JEAN LIEUTAUD,663,RIO GRANDE DA SERRA
12687,AVENIDA JOAO DE ANDRADE,401,OSASCO
12691,AVENIDA TOWER AUTOMOTIVE,611,ARUJA
12693,AVENIDA VINTE E TRES DE MAIO,3,SAO PAULO
12695,AVENIDA DOS ESTADOS,6393,SANTO ANDRE
12696,AVENIDA DOUTOR ALBERTO JACKSON BYINGTON,2020,OSASCO
12774,RAPOSO TAVARES KM 33 700 PISTA OESTE,,COTIA
12785,ACESSO AVENIDA MIGUEL ESTEFANO,731,SAO PAULO
12791,RUA TIRADENTES,970,DIADEMA
12794,RUA PROFESSOR GUILHERME BELFORT SABINO,1441,SAO PAULO
12801,AVENIDA ROTARY,100,EMBU DAS ARTES
12879,RUA AMARALINA,166,VARGEM GRANDE PAULISTA
12880,TERMINAL PARELHEIROS,1032,SAO PAULO
12881,AVENIDA TONICO LENCI,4076,FRANCO DA ROCHA
12888,PRACA EMBAIXADOR CIRO DE FREITAS VALLE,100,SAO PAULO
12894,ESTRADA PEDREIRA ALVARENGA,6198,DIADEMA
12901,AVENIDA SENADOR VERGUEIRO,100,SAO BERNARDO DO CAMPO
12971,AVENIDA DO ANASTACIO,100,SAO PAULO
12975,RUA MONTEIRO LOBATO,3411,SAO PAULO
12978,AVENIDA INAJAR DE SOUZA,4710,SAO PAULO
12981,VIADUTO TERESA DELTA,10,SAO BERNARDO DO CAMPO
12983,AVENIDA PRESIDENTE TANCREDO NEVES,2020,SAO PAULO
12987,RUA CORONEL SOUZA FRANCO,1185,MOGI DAS CRUZES
13030,AVENIDA DOS ESTADOS,1394,SANTO ANDRE
13032,PARQUE RAPOSO TAVARES,10,SAO PAULO
13046,AVENIDA JOAO PAULO PRIMEIRO,83,SAO PAULO
13052,VIADUTO DONA MATILDE,10,SAO PAULO
13117,RUA MATARAZZO,354,SAO PAULO
13121,SP 015,500,SAO PAULO
13124,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO
13125,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO
13136,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4001,SAO BERNARDO DO CAMPO
13141,PRACA DOMINGOS ANTONIO LOPES,1,FRANCO DA ROCHA
13194,AVENIDA JACU PESSEGO,100,GUARULHOS
13209,ACESSO AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100,SAO PAULO
13210,AVENIDA YOJIRO TAKAOKA,2722,SANTANA DE PARNAIBA
13212,AVENIDA INTERLAGOS,6563,SAO PAULO
13284,AVENIDA PROFESSOR FRANCISCO MORATO,3179,SAO PAULO
13285,RUA JOSE BARROS MAGALDI,2006,SAO PAULO
13311,AVENIDA KEMEL ADDAS,1281,SAO PAULO
13381,AVENIDA LAURO GOMES,100,SAO BERNARDO DO CAMPO
13385,AVENIDA MARGINAL DO RIBEIRAO,4633,CARAPICUIBA
13397,RUA ANTONIO DE FRANCA E SILVA,100,SAO PAULO
13404,AVENIDA VILA EMA,5959,SAO PAULO
13477,ACESSO AVENIDA CIDADE JARDIM,10,SAO PAULO
13479,RUA SALVADOR DALI,1360,SAO PAULO
13484,AVENIDA MARECHAL TITO,2615,SAO PAULO
13491,AVENIDA ALDA,2425,DIADEMA
13494,AVENIDA BRIGADEIRO FARIA LIMA,,SAO PAULO
13496,AVENIDA FRANCISCO MARENGO,2599,SUZANO
13560,AVENIDA NORTE E SUL,600,GUARULHOS
13570,AVENIDA ARRAIAS DO ARAGUAIA,9,SAO PAULO
13636,AVENIDA LAURO GOMES,1150,SANTO ANDRE
13646,RUA HUMBERTO DE CAMPOS,1100,RIBEIRAO PIRES
13655,RUA JOAQUIM RIBEIRO,259,SAO PAULO
13675,RUA DOUTOR ZUQUIM,1034,SAO PAULO
13724,ACESSO PARA A  ANHANGUERA,12,SAO PAULO
13725,IMIGRANTES,100,SAO PAULO
13732,RUA AMARO ALVES DO ROSARIO,4680,SAO PAULO
13737,RUA JAMIL JOAO ZARIFE,899,GUARULHOS
13739,AVENIDA VITAL BRASIL,1,SAO PAULO
13748,AVENIDA DOS ESTADOS,7439,SANTO ANDRE
13823,ACESSO CANAL DE COCAIA,155,SAO PAULO
13827,AVENIDA SANTOS DUMONT,,SAO PAULO
13828,ESTRADA DO M'BOI MIRIM,7899,SAO PAULO
13830,ESTRADA DOS ALVARENGAS,53457,SAO BERNARDO DO CAMPO
13888,RUA SAIRA,295,SAO PAULO
13896,ESTRADA PIRAJUSSARA VALO VELHO,3000,SAO PAULO
13901,ESTRADA DO M'BOI MIRIM,3358,SAO PAULO
13902,AVENIDA MARIA CAMPOS,810,OSASCO
13905,ESTRADA DO ALVARENGA,2700,SAO PAULO
13907,AVENIDA SARGENTO GERALDO SANTANA,1491,SAO PAULO
13960,AVENIDA YOJIRO TAKAOKA,5450,BARUERI
13974,AVENIDA MARECHAL TITO,7003,SAO PAULO
13975,RUA DOUTOR MOISES KAHAN,510,SAO PAULO
14038,AVENIDA TENENTE MARQUES,3968,CAJAMAR
14046,AVENIDA BRASIL,2005,FERRAZ DE VASCONCELOS
14099,RUA JARARAHU,100,SAO PAULO
14107,AVENIDA DOUTOR TIMOTEO PENTEADO,2212,GUARULHOS
14109,PRACA OCAPEGUA,400,SAO PAULO
14119,RUA NITO SONA,1,MOGI DAS CRUZES
14120,AVENIDA GOVERNADOR CARVALHO PINTO,2045,SAO PAULO
14183,AVENIDA CELSO DOS SANTOS,810,SAO PAULO
14223,AVENIDA PROFESSOR FRANCISCO MORATO,3179,SAO PAULO
14225,AVENIDA INTERLAGOS,6330,SAO PAULO
14226,AVENIDA PROFESSOR VICENTE RAO,421,SAO PAULO
14230,ESTRADA DE ITAPECERICA,5104,SAO PAULO
14231,VIADUTO PEDROSO,100,SAO PAULO
14232,AVENIDA RAGUEB CHOHFI,7619,SAO PAULO
14234,AVENIDA DOM PEDRO II,2867,FERRAZ DE VASCONCELOS
14297,AVENIDA DEPUTADO CANTIDIO SAMPAIO,5947,SAO PAULO
14300,RUA CINCO,235,SAO PAULO
14303,AVENIDA JOAO DIAS,100,SAO PAULO
14306,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,469,SAO PAULO
14307,AVENIDA IBIRAMA,235,TABOAO DA SERRA
14324,RUA EGILIO VITORELLO,906,CARAPICUIBA
14355,VIADUTO DO GLICERIO,100,SAO PAULO
14359,PONTE DA VILA GUILHERME,100,SAO PAULO
14370,RUA JOSE MONTEIRO,,SAO PAULO
14428,RUA JAMIL JOAO ZARIFE,21,GUARULHOS
14440,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
14441,AVENIDA DO IMPERADOR,5374,SAO PAULO
14443,AVENIDA ROBERTO KENEDY,3974,SAO BERNARDO DO CAMPO
14444,RUA EDSON,11,SAO PAULO
14445,ESTRADA PROFESSOR LAUDELINO ALVES FERREIRA,1198,FRANCO DA ROCHA
14452,AVENIDA NORDESTINA,2860,SAO PAULO
14463,AVENIDA NORTE E SUL,400,GUARULHOS
14464,RUA ORATORIO,3727,SANTO ANDRE
14526,ACESSO DOUTOR ALVARO DE CAMPOS CARNEIRO,,MOGI DAS CRUZES
14527,AVENIDA DOS BANDEIRANTES,5500,SAO PAULO
14539,ACESSO AVENIDA AFFONSO D TAUNAY,1,SAO PAULO
14545,ACESSO AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO
14593,ESTRADA NOSSA SENHORA DE FATIMA,833,COTIA
14594,AVENIDA CIPRIANO RODRIGUES,192,SAO PAULO
14602,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5036,SANTO ANDRE
14603,ACESSO RUA VEREADOR JOAO BATISTA FITIPALDI,1731,SUZANO
14614,AVENIDA CANGAIBA,5305,SAO PAULO
14618,RUA REVERENDO ISRAEL VIEIRA FERREIRA,79,SAO PAULO
14702,RUA RUI BARBOSA,,SAO PAULO
14718,ACESSO DOUTOR EDUARDO COTCHING,1522,SAO PAULO
14771,RUA SERGIO SHIGERU HARADA,1626,CAJAMAR
14785,AVENIDA MARGINAL,1234,CARAPICUIBA
14790,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
14791,AVENIDA GREGORIO BEZERRA,300,SAO PAULO
14792,AVENIDA SANTO AMARO,6609,SAO PAULO
14793,ESTRADA DO JACARANDA,3034,CARAPICUIBA
14794,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53,SAO PAULO
14856,AVENIDA ARICANDUVA,10300,SAO PAULO
14857,AVENIDA ALCANTARA MACHADO,,SAO PAULO
14862,AVENIDA QUEIROZ FILHO,968,SAO PAULO
14864,AVENIDA INOCENCIO SERAFICO,342,CARAPICUIBA
14878,RUA JOAQUINA DE JESUS,488,GUARULHOS
14936,RUA NOVA BRASILIA,100,SAO PAULO
14943,ESTRADA DOS ALVARENGAS,998,SAO BERNARDO DO CAMPO
15009,ACESSO ACESSO A   BANDEIRANTES,1000,SAO PAULO
15011,AVENIDA PIRES DO RIO,2140,SAO PAULO
15015,AVENIDA VEREADOR JOAO DE LUCA,302,SAO PAULO
15032,RUA AZEVEDO SOARES,973,SAO PAULO
15036,AVENIDA LAURO GOMES,100,SANTO ANDRE
15044,ESTRADA DOM JOAO NERY,3862,SAO PAULO
15048,RUA DA CONSOLACAO,100,SAO PAULO
15061,RUA SIMAO CAETANO NUNES,9,SAO PAULO
15063,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2039,SAO PAULO
15156,VELHA GUARULHOSSAO MIGUEL,,GUARULHOS
15160,RUA DOUTOR AMILTON PRADO,843,FRANCO DA ROCHA
15173,AVENIDA ITAMARATI,1070,SANTO ANDRE
15175,AVENIDA PRESIDENTE TANCREDO NEVES,2800,SAO PAULO
15185,RUA DA GAVEA,1381,SAO PAULO
15187,RUA BENEDITO VALADARES RIBEIRO,1992,GUARULHOS
15242,RUA MARTINS FONTES,,SAO PAULO
15245,AVENIDA JOAO PAULO PRIMEIRO,1712,SAO PAULO
15250,AVENIDA MARECHAL TITO,8254,SAO PAULO
15259,RUA BELA VISTA DO PARAISO,44,GUARULHOS
15313,ACESSO AVENIDA INAJAR DE SOUZA,1418,SAO PAULO
15386,AVENIDA BRASIL,10,SAO PAULO
15393,ESTRADA SANTA INES,2,MAIRIPORA
15402,RUA CANA VERDE,,GUARULHOS
15413,AVENIDA CHICA LUISA,1800,SAO PAULO
15417,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,6607,DIADEMA
15463,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO
15465,AVENIDA MARGINAL DO RIO PINHEIROS,15,SAO PAULO
15484,AVENIDA INAJAR DE SOUZA,4067,SAO PAULO
15487,AVENIDA JOSE ESTIMA FILHO,2125,SAO PAULO
15552,AVENIDA PEDRO ALVARES CABRAL,1001,SAO PAULO
15553,AVENIDA SALIM FARAH MALUF,4288,SAO PAULO
15559,ESTRADA GUARULHOSNAZARE,842,GUARULHOS
15561,RUA VEREADOR JOAO BATISTA FITIPALDI,500,SUZANO
15570,AVENIDA DOS BANDEIRANTES,4563,SAO PAULO
15632,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4281,SAO BERNARDO DO CAMPO
